2565.0,2567.0,2560.0,_id,2566.0,2561.0,2559.0,2563.0,Type of vehicle,ประเภทรถ,2564.0,2562.0
145029,148880,99950.0,1,150113,87521.0,93873.0,27724.0,Sedan (not more than 7 passengers),รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,130717,93742.0
4764,4977,3659.0,2,4852,2372.0,3606.0,13557.0,Microbus & passenger van,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,4402,2467.0
98264,95273,87238.0,3,98443,60353.0,85158.0,1.0,Van & pick up,รถยนต์บรรทุกส่วนบุคคล,92402,62037.0
5,8,53.0,4,14,5.0,51.0,-,Motortricycle,รถยนต์สามล้อส่วนบุคคล,6,6.0
0,0,2.0,5,0,-,-,40.0,Interprovincial taxi,รถยนต์รับจ้างระหว่างจังหวัด,0,-
109,104,193.0,6,142,187.0,192.0,-,Urban taxi,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,130,173.0
0,0,-,7,0,-,-,1.0,Fixed route taxi,รถยนต์สี่ล้อเล็กรับจ้าง,0,-
72,72,119.0,8,81,92.0,127.0,-,Motortricycle taxi (tuk tuk),รถยนต์รับจ้างสามล้อ,71,93.0
0,0,-,9,0,-,-,-,Hotel taxi,รถยนต์บริการธุรกิจ,3,-
2,0,-,10,0,-,-,-,Tour taxi,รถยนต์บริการทัศนาจร,4,-
0,0,-,11,0,-,-,-,Car for hire,รถยนต์บริการให้เช่า,0,-
254379,263433,271134.0,12,262051,178180.0,269374.0,82060.0,Motorcycle,รถจักรยานยนต์,239436,180944.0
7586,8124,9604.0,13,7980,4228.0,9452.0,3883.0,Tractor,รถแทรกเตอร์,7031,4223.0
235,213,213.0,14,219,173.0,189.0,56.0,Road roller,รถบดถนน,232,167.0
2448,2093,6720.0,15,2277,-,6302.0,5.0,Farm vehicle,รถใช้งานเกษตรกรรม,2509,-
29,47,22.0,16,47,15.0,8.0,2.0,Automobile trailer,รถพ่วง,30,16.0
160,118,252.0,17,125,206.0,276.0,3.0,Public motorcycle,รถจักรยานยนต์สาธารณะ,148,181.0
