_id,เลขทะเบียนเดิม,ชื่อผู้ประกอบการ,ปริมาณน้ำเสีย,หน่วย
59,จ3-2(5)-6/44พล,บริษัท ส.ธนวัฒน์พืชผล จำกัด,0.5,ลบ.ม.
60,จ3-2(5)-6/46พล,นายบุญส่ง แตงอ่ำ,0.5,ลบ.ม.
61,จ3-2(5)-6/54พล,นายประยูร ประสาทชัย,0.5,ลบ.ม.
62,จ3-2(5)-6/55พล,นายสาธิต พิทยาเวชวิวัฒน์,0.5,ลบ.ม.
63,จ3-2(5)-6/65พล,นางสาวธันย์ชนก ฟักคง,0.5,ลบ.ม.
64,จ3-2(5)-7/52พล,นายพิทักษ์พงษ์ เกียรติดำรงค์กุล,0.5,ลบ.ม.
65,จ3-2(5)-7/54พล,นางวันชัย ยศปัญญา,0.5,ลบ.ม.
66,จ3-2(5)-7/61พล,นางสาวธันย์ชนก ฟักคง,0.5,ลบ.ม.
67,จ3-2(5)-7/63พล,นางสาวธัญณภัสศ์ มีจันโท,0.5,ลบ.ม.
68,จ3-2(9)-1/45พล,บริษัท สิงหวัฒน์เทรดดิ้ง จำกัด,2,ลบ.ม.
69,จ3-2(9)-6/57พล,นายฤชัย แซ่ฉั่ว,2,ลบ.ม.
70,ธ3-3(1)-1/40พล,บริษัท เจ.คอนสตรัคชั่น จำกัด,2,ลบ.ม.
71,จ3-3(2)-1/65พล,นายแสวง ขอบใจ,0.5,ลบ.ม.
72,จ3-3(2)-115/64พล,บริษัท ทรายชัยประเสริฐ จำกัด,0.5,ลบ.ม.
73,จ3-3(2)-129/63พล,บริษัท เพิ่มพูน บารมี พิษณุโลก จำกัด,0.5,ลบ.ม.
74,จ3-3(2)-145/64พล,นายอนุสรณ์ สีแพร,0.5,ลบ.ม.
75,จ3-3(2)-148/64พล,บริษัท พิษณุโลกคอมเพล็กซ์ จำกัด,0.5,ลบ.ม.
76,จ3-3(2)-185/61พล,บริษัท เพิ่มพูน บารมี จำกัด,0.5,ลบ.ม.
77,จ3-3(2)-187/62พล,บริษัท เพิ่มพูน บารมี จำกัด,0.5,ลบ.ม.
78,จ3-3(2)-190/63พล,นางสาวสายไหม มั่งมี,0.5,ลบ.ม.
79,จ3-3(2)-191/63พล,นางสาวอัญชลี ขุนศรี,0.5,ลบ.ม.
80,จ3-3(2)-211/58พล,นางปิ่นเพชร พูลสวัสดิ์,0.5,ลบ.ม.
81,จ3-3(2)-211/64พล,บริษัท ธิติดา ทรานสปอร์ต จำกัด,0.5,ลบ.ม.
82,จ3-3(2)-212/64พล,นางเฉลียว จันทร์เกษร,0.5,ลบ.ม.
83,จ3-3(2)-268/59พล,นายมานัส พลอยครุฑ,0.5,ลบ.ม.
84,จ3-3(2)-293/61พล,บริษัท เพิ่มพูน บารมี จำกัด,0.5,ลบ.ม.
85,จ3-3(2)-34/64พล,นางสาวจิรนุช ขุนศรี,0.5,ลบ.ม.
86,จ3-3(2)-70/63พล,ห้างหุ้นส่วนจำกัด พิษณุโลกวิวัฒน์พัฒนา,0.5,ลบ.ม.
87,จ3-3(2)-81/56พล,บริษัท พิษณุโลกคอมเพล็กซ์ จำกัด,0.5,ลบ.ม.
88,จ3-3(2)-82/64พล,นายเสกสรรค์ เกตุนาค,0.5,ลบ.ม.
89,จ3-3(4)-1/40พล,นายมานัส พลอยครุฑ,0.5,ลบ.ม.
90,จ3-3(4)-1/42พล,ห้างหุ้นส่วนจำกัด นิคมบางระกำก่อสร้าง,0.5,ลบ.ม.
91,จ3-3(4)-13/56พล,นางสาวจิรนุช ขุนศรี,0.5,ลบ.ม.
92,จ3-3(4)-54/55พล,นางสมศรี ชัยเชย,0.5,ลบ.ม.
93,จ3-3(4)-79/51พล,นายประมวล ขุนศรี,0.5,ลบ.ม.
94,จ3-3(4)-88/48พล,นายประมวล ขุนศรี,0.5,ลบ.ม.
95,จ3-3(4)-89/48พล,นางสาวอัจฉรา อินทร์พิมพ์,0.5,ลบ.ม.
96,3-4(1)-1/35พล,เทศบาลนครพิษณุโลก,50,ลบ.ม.
97,3-4(1)-23/61พล,บริษัท ไพโรจน์ โพลทรีย์ ฟู้ด พิษณุโลก จำกัด,500,ลบ.ม.
98,จ3-4(1)-15/56พล,นางสาวสัตตบงกช สิริวราพาณิช,50,ลบ.ม.
99,จ3-4(1)-2/50พล,นางระเบียบ สิงห์เรือง,50,ลบ.ม.
100,จ3-4(1)-26/62พล,บริษัท เมืองพลการเกษตร จำกัด,200,ลบ.ม.
101,จ3-4(1)-6/58พล,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด,200,ลบ.ม.
102,3-4(3)-1/32พล,ห้างหุ้นส่วนจำกัด ผลิตภัณฑ์สุพัตรา,50,ลบ.ม.
103,จ3-4(3)-11/53พล,นางสิริเพ็ญ พงษ์โอภาส,40,ลบ.ม.
104,จ3-4(3)-29/59พล,ห้างหุ้นส่วนจำกัด ฟาร์มอดุลย์ วังมะด่าน,20,ลบ.ม.
105,จ3-4(6)-5/64พล,บริษัท เบทาโกร เกษตรอุตสาหกรรม จำกัด ,50,ลบ.ม.
106,จ3-4(7)-4/60พล,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),100,ลบ.ม.
107,จ3-5(1)-2/52พล,บริษัท พิษณุโลกโกลด์มิลค์ จำกัด,20,ลบ.ม.
108,จ2-6(3)-1/63พล,บริษัท เอ-วัน ฟู้ดโปรดักส์ จำกัด,20,ลบ.ม.
109,จ3-7(1)-9/50พล,นายธนวิน ธนเศรษฐ์ภูมิไพศาล,5,ลบ.ม.
110,3-8(1)-4/54พล,บริษัท โอเอส อินเตอร์ ฟู้ดส์ จำกัด,50,ลบ.ม.
111,3-8(1)-9/60พล,บริษัท สยาม พีนา แอนด์ ฟรุ๊ตส์ จำกัด,50,ลบ.ม.
112,จ3-8(1)-30/60พล,บริษัท บานาน่าโซไซตี้ จำกัด,2.5,ลบ.ม.
113,จ3-8(1)-33/60พล,บริษัท จิราพรฟู๊ด จำกัด,3.5,ลบ.ม.
114,จ3-8(2)-1/45พล,บริษัท ไทยนิปปอนฟู้ดส์ จำกัด,50,ลบ.ม.
115,จ3-8(2)-14/59พล,นางสุภาภรณ์ จูด้วง,5,ลบ.ม.
116,จ3-8(2)-6/63พล,บริษัท เอ็กโซติค ฟู้ด จำกัด (มหาชน),50,ลบ.ม.
117,ศ3-8(2)-1/34พล,บริษัท วังทองผลพืช จำกัด,500,ลบ.ม.
118,3-9(1)-1/32พล,บริษัท โรงสีเจริญพาณิชย์ จำกัด,2,ลบ.ม.
119,3-9(1)-15/57พล,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ,2,ลบ.ม.
120,3-9(1)-19/50พล,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ,2,ลบ.ม.
121,3-9(1)-31/52พล,ห้างหุ้นส่วนจำกัด พรหมพิรามชัยศิริ,6,ลบ.ม.
122,3-9(1)-31/55พล,บริษัท โรงสีเกาะแก้วเจริญธัญญา 2 จำกัด,2,ลบ.ม.
123,3-9(1)-48/56พล,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,1,ลบ.ม.
124,3-9(1)-63/21พล,บริษัท โรงสีไฟโชครุ่งเรือง จำกัด,1.8,ลบ.ม.
125,3-9(1)-67/52พล,ห้างหุ้นส่วนจำกัด พรหมพิรามชัยศิริ,3.5,ลบ.ม.
126,3-9(1)-71/56พล,บริษัท ที.เอส.พี.ไรซ์ จำกัด,50,ลบ.ม.
127,จ3-9(1)-1/45พล,นายบุญชู วงษ์นิยม,0.3,ลบ.ม.
128,จ3-9(1)-13/55พล,นายฉัตรชัย วิชชุปัญญาพาณิชย์,1,ลบ.ม.
129,จ3-9(1)-3/26พล,นางอมรพร มานะกิจศิริสุทธิ์,0.6,ลบ.ม.
130,จ3-9(1)-34/20พล,นายเปี่ยมศักดิ์ พลอยกิติกูล,0.4,ลบ.ม.
131,จ3-9(1)-46/47พล,นางอินทธิรา ลี้ชัยมงคล,0.2,ลบ.ม.
132,จ3-9(1)-5/37พล,นางมนทิรา ตันพิศมัย,0.2,ลบ.ม.
133,จ3-9(1)-5/42พล,"นายนิรันดร์,เบ็ญจา ลิ้มศิริวงษ์",0.4,ลบ.ม.
134,จ3-9(1)-53/47พล,ห้างหุ้นส่วนจำกัด โรงสีศรีคงเจริญ,2.4,ลบ.ม.
135,จ3-9(1)-6/46พล,ห้างหุ้นส่วนจำกัด มุ่ยเฮงรุ่งเรือง,0.4,ลบ.ม.
136,จ3-9(1)-61/52พล,ห้างหุ้นส่วนจำกัด โชคสันติ,0.4,ลบ.ม.
137,จ3-9(1)-69/48พล,บริษัท ส.ธนวัฒน์พืชผล จำกัด,0.2,ลบ.ม.
138,จ3-9(1)-7/46พล,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,3.2,ลบ.ม.
139,จ3-9(1)-80/55พล,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ,1,ลบ.ม.
140,จ3-9(4)-3/64พล,นางสาวบุศรา บุญขำ,5,ลบ.ม.
141,จ3-9(4)-9/54พล,นายอัคฤทธิ์ เชี่ยวชาญทวีกุล,2,ลบ.ม.
142,จ3-9(6)-36/54พล,นายสุชลธพร แก่ข้างพลู,23,ลบ.ม.
143,จ3-9(6)-76/55พล,ห้างหุ้นส่วนจำกัด สหณรงค์ชัย 2009,23,ลบ.ม.
144,3-10(3)-1/30พล,ห้างหุ้นส่วนจำกัด เส้นหมี่เรืองสิน,50,ลบ.ม.
145,3-10(3)-1/41พล,นายวิชัย มัตยะสุวรรณ,10,ลบ.ม.
146,3-10(3)-2/61พล,บริษัท หงษ์ทองคู่ จำกัด,40,ลบ.ม.
147,จ3-10(3)-1/45พล,บริษัท ศิริวานิช (เอส แอนด์ ดับเบิ้ลยู) จำกัด,5,ลบ.ม.
148,3-11(3)-1/37พล,บริษัท น้ำตาลพิษณุโลก จำกัด,1000,ลบ.ม.
149,จ3-13(8)-1/64พล,บริษัท เค.อาร์.เอส.สไปร์ซี่ ฟู้ดส์ จำกัด,45,ลบ.ม.
150,3-14-19/61พล,บริษัท พิษณุโลกบ่อทอง จำกัด,23,ลบ.ม.
