_id,เลขทะเบียนเดิม,ชื่อผู้ประกอบการ,ปริมาณน้ำเสีย,หน่วย
251,จ3-58(1)-275/56พล,บริษัท ปูนซีเมนต์ไทย (ลำปาง) จำกัด,5.3,ลบ.ม.
252,จ3-58(1)-290/57พล,ห้างหุ้นส่วนจำกัด ถนอมชัยค้าไม้,4.5,ลบ.ม.
253,จ3-58(1)-3/65พล,บริษัท ที เจ คอนกรีต จำกัด,2.4,ลบ.ม.
254,จ3-58(1)-38/55พล,ห้างหุ้นส่วนจำกัด จรูญคอนกรีต,2.6,ลบ.ม.
255,จ3-58(1)-39/56พล,บริษัท เอส-คอน คอนกรีต จำกัด,11,ลบ.ม.
256,จ3-58(1)-4/39พล,บริษัท สิงหวัฒน์คอนกรีต จำกัด,10.5,ลบ.ม.
257,จ3-58(1)-43/61พล,นายศราวุธ ด่านกิตติไกรลาศ,2.5,ลบ.ม.
258,จ3-58(1)-44/55พล,บริษัท อุตรดิตถ์พิชัย จำกัด,2.4,ลบ.ม.
259,จ3-58(1)-49/62พล,บริษัท พีเอ็นซี คอนกรีต กรุ๊ป จำกัด,3.8,ลบ.ม.
260,จ3-58(1)-5/40พล,บริษัท ซี.พี.แอล. จำกัด,6.7,ลบ.ม.
261,จ3-58(1)-56/63พล,ห้างหุ้นส่วนจำกัด บุญเลี้ยงคอนกรีตและวัสดุก่อสร้าง,2.6,ลบ.ม.
262,จ3-58(1)-69/56พล,บริษัท มั่นภักดี จำกัด,6,ลบ.ม.
263,จ3-58(1)-7/39พล,บริษัท รุ่งวิชัยคอนกรีต จำกัด,5.2,ลบ.ม.
264,จ3-58(1)-83/56พล,บริษัท ปูนซิเมนต์ไทย (ลำปาง) จำกัด,3.3,ลบ.ม.
265,จ3-58(1)-85/54พล,บริษัท ซี.พี.ซี.คอนกรีตอัดแรง จำกัด,3.7,ลบ.ม.
266,จ3-58(1)-85/56พล,บริษัท ชัยประเสริฐคอนกรีต จำกัด ,3.5,ลบ.ม.
267,จ3-58(1)-88/63พล,บริษัท บิวดิ้ง อินเตอร์เนชั่นแนล จำกัด,3,ลบ.ม.
268,จ3-58(1)-9/50พล,บริษัท ปูนซิเมนต์ไทย (ลำปาง) จำกัด,3.3,ลบ.ม.
269,จ3-58(1)-90/47พล,บริษัท ปูนซีเมนต์ไทย (ลำปาง) จำกัด,3.3,ลบ.ม.
270,จ3-58(1)-91/58พล,ห้างหุ้นส่วนจำกัด กิจเจริญคอนกรีต ( 2558 ),2.8,ลบ.ม.
271,จ3-58(1)-98/54พล,บริษัท ปูนซิเมนต์ไทย (ลำปาง) จำกัด,2.3,ลบ.ม.
272,จ3-60-1/41พล,นายธวัชชัย กลิ่นรอด,2.1,ลบ.ม.
273,จ3-60-4/38พล,นางพัชรภรณ์ วัฒนกุลชัย,2.8,ลบ.ม.
274,จ3-60-5/38พล,นางสาวบุญยืน ศรีสอาด,1.8,ลบ.ม.
275,จ2-63(2)-121/64พล,ห้างหุ้นส่วนจำกัด พี.พี.เมทัลชีต. ยูพีโฟม,0.4,ลบ.ม.
276,จ2-63(2)-127/64พล,นายปิโยวัฒน์ โรจน์คำลือ,0.9,ลบ.ม.
277,จ2-63(2)-128/64พล,นายสุรัติ หล่อวงศ์กมล,1.3,ลบ.ม.
278,จ2-63(2)-129/64พล,นายปิโยวัฒน์ โรจน์คำลือ,0.6,ลบ.ม.
279,จ2-63(2)-130/64พล,บริษัท พงษ์เพชร ซัพพลาย จำกัด,0.3,ลบ.ม.
280,จ3-63(2)-13/55พล,บริษัท ชัยประเสริฐเมทัลชีท จำกัด,0.6,ลบ.ม.
281,จ3-63(2)-14/52พล,บริษัท ที-วัน เม็ททอลลิค จำกัด,0.8,ลบ.ม.
282,จ3-63(2)-23/60พล,บริษัท เมทัลครีเอท จำกัด,0.8,ลบ.ม.
283,จ3-63(2)-38/58พล,นายชัชวรินทร์ ศรีสุภะ,2.5,ลบ.ม.
284,จ3-63(2)-48/61พล,บริษัท ทรัพย์ทวีพานิช จำกัด,1,ลบ.ม.
285,จ3-63(2)-49/61พล,บริษัท วงศ์ชัย จำกัด,1.5,ลบ.ม.
286,อ2-63(2)-131/64พล,นางอรัญญา ล้อมวงษ์พานิช,0.3,ลบ.ม.
287,อ2-63(2)-132/64พล,นายปิโยวัฒน์ โรจน์คำลือ,0.6,ลบ.ม.
288,อ2-63(2)-133/64พล,ห้างหุ้นส่วนจำกัด จรรยา เมทัลชีท,0.9,ลบ.ม.
289,อ2-63(2)-134/64พล,บริษัท รุ่งวิชัย เมทัลลิค จำกัด,0.5,ลบ.ม.
290,อ2-63(2)-135/64พล,บริษัท โตโยแมชชีนเนอรี่ จำกัด,0.3,ลบ.ม.
291,อ2-63(2)-136/64พล,นางสล่าย ถิ่นวันดี,0.3,ลบ.ม.
292,จ3-64(1)-3/61พล,บริษัท ก.อัครพลสตีลแอนด์ซัพพลาย จำกัด,2.5,ลบ.ม.
293,จ2-64(9)-1/63พล,บริษัท คัทแมกซ์ จำกัด,1.5,ลบ.ม.
294,จ2-64(11)-9/64พล,นายชัยฤกษ์ วงศ์เจริญ,0.7,ลบ.ม.
295,จ3-64(12)-1/41พล,ห้างหุ้นส่วนจำกัด เอ็ม.อี.ดี.วิศวกรรม,5.9,ลบ.ม.
296,จ3-64(12)-1/44พล,บริษัท เอส ซี เจ ซัพพลาย แอนด์เอ็นจิเนียริ่ง จำกัด,6.7,ลบ.ม.
297,จ3-64(12)-18/52พล,บริษัท เอส.ซี.เจ.ซัพพลาย แอนด์ เอ็นจิเนียริ่ง จำกัด,2,ลบ.ม.
298,จ3-64(12)-36/60พล,บริษัท ธีรวิสิฎร์ก่อสร้าง จำกัด,2.9,ลบ.ม.
299,3-64(13)-1/37พล,นายสุนทร วิริยะไชยกุล,1.5,ลบ.ม.
300,จ2-64(13)-178/64พล,นายสำเนา เพิ่มทวี,0.2,ลบ.ม.
301,จ3-64(13)-33/61พล,ห้างหุ้นส่วนจำกัด ต๊กควรเฮงโลหะกิจ,1.2,ลบ.ม.
302,จ3-64(13)-355/55พล,บริษัท 199 อยุธยาการกลึงโลหะกิจ จำกัด,0.6,ลบ.ม.
303,จ3-64(13)-42/62พล,นายสมพงษ์ ทับอิน,0.2,ลบ.ม.
304,จ3-64(13)-45/64พล,บริษัท ส.ยั่งยืน จำกัด,0.5,ลบ.ม.
305,จ3-64(13)-6/57พล,นายเกียรติรัตน์ ธนดลโยธิน,1.5,ลบ.ม.
306,จ3-64(13)-61/63พล,นายณรงค์ ด่านวิไล,0.5,ลบ.ม.
307,จ3-64(13)-8/57พล,ห้างหุ้นส่วนจำกัด พิษณุการุณ,1.6,ลบ.ม.
308,อ2-64(13)-175/64พล,นายคัชรินทร์ อ่อนเกตุ,0.2,ลบ.ม.
309,3-65-1/32พล,นายยุทธชัย วงศ์วีรเดชขจร,0.2,ลบ.ม.
310,3-65-6/15พล,นายนิมิตร ชำนาญช่าง,1.1,ลบ.ม.
311,3-65-6/26พล,นายสัมพันธ์ เศวตนภานนท์,2,ลบ.ม.
312,จ3-65-1/43พล,นายพรชัย แซ่โก,0.5,ลบ.ม.
313,จ3-65-1/51พล,นายสมบุญ ประดุจพงษ์เพ็ชร,1.2,ลบ.ม.
314,จ3-65-5/61พล,ห้างหุ้นส่วนจำกัด พี.อี.ออโต้เทรด,0.3,ลบ.ม.
315,3-66-15/34พล,บริษัท เครื่องจักรกลเกษตรไทย จำกัด,18.3,ลบ.ม.
316,3-66-2/24พล,บริษัท เกษตรพัฒนาอุตสาหกรรม จำกัด,3.2,ลบ.ม.
317,3-66-3/25พล,ห้างหุ้นส่วนจำกัด พิษณุโลกด่านสว่างการเกษตร,1,ลบ.ม.
318,จ3-66-1/51พล,น.ส.อิสรีย์ นิธิจินดารัตน์,1.5,ลบ.ม.
319,จ3-66-21/49พล,บริษัท สยามอิมพลีเม้น จำกัด,2.4,ลบ.ม.
320,จ3-66-3/44พล,นายทรัพย์ หิรัญสุข,0.7,ลบ.ม.
321,จ3-66-3/48พล,นายวิชัย ภูมีแสง,0.4,ลบ.ม.
322,จ3-66-4/38พล,นายชลอ ศรีสุวรรณ,1.8,ลบ.ม.
323,จ3-66-5/53พล,นายธนกร ศรีดีรักฉัตร,0.4,ลบ.ม.
324,จ3-66-8/53พล,นายมานะ อยู่เมือง,0.4,ลบ.ม.
325,3-68-1/29พล,บริษัท พิษณุโลก ช.วิรวัฒน์ จำกัด,2.2,ลบ.ม.
326,จ3-68-13/61พล,ชลัมเบอร์เจอร์โอเวอร์ซีส์ เอส.เอ,0.9,ลบ.ม.
327,จ3-68-6/62พล,บริษัท โอพีเอส ออยฟิลด์ อีควิปเม้นท์ แอนด์ เซอร์วิสเซส จำกัด,1,ลบ.ม.
328,อ2-69-13/64พล,บริษัท พรีเมียร์เครื่องชั่ง จำกัด,0.9,ลบ.ม.
329,จ2-70-35/64พล,บริษัท บางกอกพิษณุพาร์ท จำกัด,1.3,ลบ.ม.
330,จ3-70-16/59พล,ห้างหุ้นส่วนจำกัด พิษณุโลก วี.ซี.คอนสรัคชั่น (2535),2.7,ลบ.ม.
331,จ3-71-17/56พล,บริษัท เซาเออร์ จำกัด,1.7,ลบ.ม.
332,3-77(1)-1/39พล,นางวราภรณ์ วงศ์วีรเดชขจร,1.4,ลบ.ม.
333,3-77(1)-2/33พล,บริษัท ธนะสินพัฒนา (1999) จำกัด,2,ลบ.ม.
334,จ3-77(1)-10/63พล,บริษัท ส.มณีฉายขนส่ง จำกัด,0.4,ลบ.ม.
335,จ3-77(1)-6/62พล,บริษัท เอส เค เจ เทรดเดอร์ จำกัด,1.4,ลบ.ม.
336,จ3-77(1)-7/57พล,ห้างหุ้นส่วนจำกัด เอส.เค.ที.เทรลเลอร์ แอนด์ ทรัค,8,ลบ.ม.
337,3-77(2)-1/35พล,บริษัท ไทยแอโรว์ จำกัด,275.8,ลบ.ม.
338,จ3-77(2)-1/35พล,บริษัท พี.อี.เทคนิค จำกัด,5.9,ลบ.ม.
339,จ3-81(1)-2/55พล,บริษัท เอ็กซา ซีแลม จำกัด,3.9,ลบ.ม.
340,จ3-84(3)-1/65พล,บริษัท เอชเอแอล เจมส์ จำกัด,7.3,ลบ.ม.
341,จ3-86-4/63พล,บริษัท ทอยส์แอนด์จิม จำกัด,1.1,ลบ.ม.
342,3-88-165/56พล,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,1,ลบ.ม.
343,3-88(1)-37/58พล,บริษัท อีเอ โซล่า พิษณุโลก จำกัด,1.7,ลบ.ม.
344,3-88(1)-38/58พล,บริษัท อีเอ โซล่า พิษณุโลก จำกัด,0.2,ลบ.ม.
345,3-88(1)-39/58พล,บริษัท อีเอ โซล่า พิษณุโลก จำกัด,0.4,ลบ.ม.
346,3-88(2)-16/57พล,บริษัท โคลเวอร์ พิษณุโลก จำกัด,12.8,ลบ.ม.
347,3-88-31/57พล,บริษัท พิษณุโลกผลิตไฟฟ้า จำกัด,13.7,ลบ.ม.
348,จ3-90-7/60พล,บริษัท ยูนิเวอร์แซล ยูทีลิตี้ส์ จำกัด (มหาชน),50.9,ลบ.ม.
349,จ2-92-41/64พล,นายไพรัช นาคมอญ,0.7,ลบ.ม.
350,จ2-92-42/64พล,นายณรงค์ศักดิ์ พิณเกษมจิต,0.7,ลบ.ม.
351,จ3-92-5/47พล,บริษัท ที.พี.แปซิฟิค จำกัด,1.5,ลบ.ม.
352,จ3-92-51/62พล,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด,1.5,ลบ.ม.
353,3-95(1)-2/22พล,บริษัท พิษณุโลกเอกการช่าง จำกัด,1.8,ลบ.ม.
354,3-95(1)-7/30พล,นายพงศธร ศรีธรรมศิริ,1,ลบ.ม.
355,จ3-95(1)-10/38พล,บริษัท พิษณุโลกมอเตอร์เซลล์ จำกัด,1.6,ลบ.ม.
356,จ3-95(1)-103/57พล,บริษัท โตโยต้าพิษณุโลก ผู้จำหน่ายโตโยต้า จำกัด,1.9,ลบ.ม.
357,จ3-95(1)-105/62พล,บริษัท นิธิบูรณ์ จำกัด,1.6,ลบ.ม.
358,จ3-95(1)-106/62พล,บริษัท วี กรุ๊ป มิตซูออโต้เซลล์ จำกัด,2.6,ลบ.ม.
359,จ3-95(1)-112/61พล,บริษัท วรเทพออโต้เพ้นท์ จำกัด,1.3,ลบ.ม.
360,จ3-95(1)-118/60พล,นายรังสรรค์ ชัยรัตน์,1.7,ลบ.ม.
361,จ3-95(1)-14/38พล,บริษัท วีไอพีปรีดาซุปเปอร์คาร์ จำกัด,2.3,ลบ.ม.
362,จ3-95(1)-155/53พล,บริษัท อีซูซุ คาร์เซ็นเตอร์เพ้นท์ จำกัด,1.5,ลบ.ม.
363,จ3-95(1)-156/48พล,บริษัท วี กรุ๊ป มิตซูมอเตอร์ออโต้เซลล์ จำกัด ,1.5,ลบ.ม.
364,จ3-95(1)-161/51พล,บริษัท พิษณุโลกยานยนต์ จำกัด,1.7,ลบ.ม.
365,จ3-95(1)-167/56พล,บริษัท วี กรุ๊ป มิตซูออโต้เซลล์ จำกัด,1,ลบ.ม.
366,จ3-95(1)-169/59พล,บริษัท โตโยต้า พรีเมี่ยม พิษณุโลก จำกัด,4.8,ลบ.ม.
367,จ3-95(1)-174/58พล,บริษัท อุทัยยนตการ จำกัด,2,ลบ.ม.
368,จ3-95(1)-178/56พล,ห้างหุ้นส่วนจำกัด ณัชชาทรัค,2.5,ลบ.ม.
369,จ3-95(1)-183/52พล,บริษัท แอล แอนด์ พี แอคเซส จำกัด,1.4,ลบ.ม.
370,จ3-95(1)-189/55พล,บริษัท โตโยต้าพิษณุโลก ผู้จำหน่ายโต้โยต้า จำกัด,6.3,ลบ.ม.
371,จ3-95(1)-19/58พล,นางสาวจันทร์จิรา กลิ่นกรุด,1,ลบ.ม.
372,จ3-95(1)-197/55พล,บริษัท ธนรักษ์มอเตอร์ จำกัด,7.5,ลบ.ม.
373,จ3-95(1)-2/34พล,บริษัท อีซูซุพิษณุโลกฮกอันตึ๊ง จำกัด,6.3,ลบ.ม.
374,จ3-95(1)-2/47พล,บริษัท รวมรัตน์ 88 จำกัด,3,ลบ.ม.
375,จ3-95(1)-202/58พล,บริษัท โตโยต้า เมืองสองแคว จำกัด,6.5,ลบ.ม.
376,จ3-95(1)-225/58พล,บริษัท เอช ดี เจ ออโต้ จำกัด,3.8,ลบ.ม.
377,จ3-95(1)-226/58พล,บริษัท นิธิบูรณ์ จำกัด,3.8,ลบ.ม.
378,จ3-95(1)-229/54พล,บริษัท บี-ควิก จำกัด,1.6,ลบ.ม.
379,จ3-95(1)-236/50พล,นายฉัตรณรงค์ อินใย,0.6,ลบ.ม.
380,จ3-95(1)-250/56พล,บริษัท อีซูซุพิษณุโลกฮกอันตึ๊ง จำกัด,2.5,ลบ.ม.
381,จ3-95(1)-27/35พล,นายเมธี ณรงค์ชัย,1.1,ลบ.ม.
382,จ3-95(1)-3/38พล,บริษัท โตโยต้าพิษณุโลก ผู้จำหน่ายโตโยต้า จำกัด,12.6,ลบ.ม.
383,จ3-95(1)-3/55พล,บริษัท วีเอ็มดี ออโต้เซลส์ จำกัด,6.5,ลบ.ม.
384,จ3-95(1)-33/63พล,บริษัท บีอาร์ เค อินเตอร์ ทรานสปอร์ต จำกัด,3.5,ลบ.ม.
385,จ3-95(1)-35/64พล,บริษัท บี-ควิก จำกัด,1.6,ลบ.ม.
386,จ3-95(1)-4/43พล,บริษัท แอล แอนด์ พี แอคเซส จำกัด,5.3,ลบ.ม.
387,จ3-95(1)-5/37พล,นางสาว ทิพย์สุดา ภู่ศรี,2.8,ลบ.ม.
388,จ3-95(1)-5/42พล,บริษัท อริยะอีควิปเม้นท์ จำกัด,1.1,ลบ.ม.
389,จ3-95(1)-5/43พล,นายวิชัย คงลา,1.2,ลบ.ม.
390,จ3-95(1)-56/52พล,ห้างหุ้นส่วนจำกัด ฟาสเตอร์เพ้นท์,1.6,ลบ.ม.
391,จ3-95(1)-6/34พล,บริษัท โตโยต้า พรีเมี่ยม พิษณุโลก จำกัด,4.6,ลบ.ม.
392,จ3-95(1)-6/45พล,นายแฉล้ม จันทร์เพ็ง,2,ลบ.ม.
393,จ3-95(1)-61/52พล,ห้างหุ้นส่วนจำกัด เอส.เค.ที.เทรลเลอร์ แอนด์ ทรัค,1.4,ลบ.ม.
394,จ3-95(1)-7/37พล,ห้างหุ้นส่วนจำกัด ศรีสหวัฒน์การช่าง,1.7,ลบ.ม.
395,จ3-95(1)-77/55พล,บริษัท บี ที ซี พิษณุไพศาล จำกัด,2,ลบ.ม.
396,จ3-95(1)-79/60พล,ห้างหุ้นส่วนจำกัด แสงอรุณสองแคว,2.6,ลบ.ม.
397,จ3-95(1)-82/63พล,บริษัท บีอาร์ เค อินเตอร์ ทรานสปอร์ต จำกัด,1.9,ลบ.ม.
398,จ3-98-2/59พล,ห้างหุ้นส่วนจำกัด ชิณฐิกุญช์ 999,51.1,ลบ.ม.
399,จ3-98-6/63พล,บริษัท จีเอสเอ็น ลอนดรี้ แอนด์ เซอร์วิส จำกัด,52.4,ลบ.ม.
400,3-105-39/63พล,ห้างหุ้นส่วนจำกัด ป.ปรา พานิช,1,ลบ.ม.
401,3-105-94/63พล,บริษัท ทวีทรัพย์เรืองโรจน์ จำกัด,1.1,ลบ.ม.
402,จ3-105-46/50พล,บริษัท ท่าทองรีไซเคิล (2007) จำกัด,1.2,ลบ.ม.
403,3-106-37/65พล,บริษัท ขวดแก้วรีไซเคิล จำกัด,2,ลบ.ม.
