การว่างงาน,_id,ปี,หญิง,รวม,ชาย,ไตรมาส
ผู้ว่างงาน,1,2561,2467,7270,4803,เฉลี่ย 4 ไตรมาส
ผู้ว่างงาน,2,2561,3450,9104,5654,ไตรมาสที่ 1
ผู้ว่างงาน,3,2561,2725,10012,7287,ไตรมาสที่ 2
ผู้ว่างงาน,4,2561,1624,4963,3339,ไตรมาสที่ 3
ผู้ว่างงาน,5,2561,2070,5001,2931,ไตรมาสที่ 4
อัตราการว่างงาน (%),6,2561,1.4,1.9,2.2,เฉลี่ย 4 ไตรมาส
อัตราการว่างงาน (%),7,2561,1.9,2.3,2.5,ไตรมาสที่ 1
อัตราการว่างงาน (%),8,2561,1.6,2.6,3.3,ไตรมาสที่ 2
อัตราการว่างงาน (%),9,2561,0.9,1.2,1.5,ไตรมาสที่ 3
อัตราการว่างงาน (%),10,2561,1.2,1.3,1.3,ไตรมาสที่ 4
ผู้ว่างงาน,11,2562,2132,6693,4561,เฉลี่ย 4 ไตรมาส
ผู้ว่างงาน,12,2562,1356,3926,2570,ไตรมาสที่ 1
ผู้ว่างงาน,13,2562,3993,8958,4965,ไตรมาสที่ 2
ผู้ว่างงาน,14,2562,2636,8784,6148,ไตรมาสที่ 3
ผู้ว่างงาน,15,2562,543,5107,4564,ไตรมาสที่ 4
อัตราการว่างงาน (%),16,2562,1.2,1.7,2.1,เฉลี่ย 4 ไตรมาส
อัตราการว่างงาน (%),17,2562,0.8,1,1.2,ไตรมาสที่ 1
อัตราการว่างงาน (%),18,2562,2.1,2.3,2.2,ไตรมาสที่ 2
อัตราการว่างงาน (%),19,2562,1.6,2.2,2.8,ไตรมาสที่ 3
อัตราการว่างงาน (%),20,2562,0.3,1.3,2.1,ไตรมาสที่ 4
ผู้ว่างงาน,21,2563,4025,10677,6652,เฉลี่ย 4 ไตรมาส
ผู้ว่างงาน,22,2563,2942,9097,6155,ไตรมาสที่ 1
ผู้ว่างงาน,23,2563,3221,7230,4010,ไตรมาสที่ 2
ผู้ว่างงาน,24,2563,5528,13229,7701,ไตรมาสที่ 3
ผู้ว่างงาน,25,2563,4410,13153,8743,ไตรมาสที่ 4
อัตราการว่างงาน (%),26,2563,2.3,2.6,2.9,เฉลี่ย 4 ไตรมาส
อัตราการว่างงาน (%),27,2563,1.6,2.2,2.7,ไตรมาสที่ 1
อัตราการว่างงาน (%),28,2563,1.9,1.8,1.8,ไตรมาสที่ 2
อัตราการว่างงาน (%),29,2563,3.1,3.3,3.4,ไตรมาสที่ 3
อัตราการว่างงาน (%),30,2563,2.4,3.2,3.9,ไตรมาสที่ 4
ผู้ว่างงาน,31,2564,2893,9117,6224,เฉลี่ย 4 ไตรมาส
ผู้ว่างงาน,32,2564,2130,9838,7708,ไตรมาสที่ 1
ผู้ว่างงาน,33,2564,2487,8625,6138,ไตรมาสที่ 2
ผู้ว่างงาน,34,2564,2659,8680,6020,ไตรมาสที่ 3
ผู้ว่างงาน,35,2564,4298,9327,5029,ไตรมาสที่ 4
อัตราการว่างงาน (%),36,2564,1.7,2.3,2.8,เฉลี่ย 4 ไตรมาส
อัตราการว่างงาน (%),37,2564,1.1,2.4,3.4,ไตรมาสที่ 1
อัตราการว่างงาน (%),38,2564,1.4,2.1,2.8,ไตรมาสที่ 2
อัตราการว่างงาน (%),39,2564,1.6,2.2,2.7,ไตรมาสที่ 3
อัตราการว่างงาน (%),40,2564,2.5,2.3,2.2,ไตรมาสที่ 4
ผู้ว่างงาน,41,2565,3182,9770,6588,เฉลี่ย 4 ไตรมาส
ผู้ว่างงาน,42,2565,2413,9227,6814,ไตรมาสที่ 1
ผู้ว่างงาน,43,2565,4877,12917,8040,ไตรมาสที่ 2
ผู้ว่างงาน,44,2565,4209,10975,6767,ไตรมาสที่ 3
ผู้ว่างงาน,45,2565,1230,5959,4729,ไตรมาสที่ 4
อัตราการว่างงาน (%),46,2565,1.6,2.3,2.7,เฉลี่ย 4 ไตรมาส
อัตราการว่างงาน (%),47,2565,1.3,2.2,2.9,ไตรมาสที่ 1
อัตราการว่างงาน (%),48,2565,2.5,2.9,3.3,ไตรมาสที่ 2
อัตราการว่างงาน (%),49,2565,2.1,2.5,2.8,ไตรมาสที่ 3
อัตราการว่างงาน (%),50,2565,0.6,1.4,2,ไตรมาสที่ 4
ผู้ว่างงาน,51,2566,2075,6713,4638,เฉลี่ย 4 ไตรมาส
ผู้ว่างงาน,52,2566,3866,9909,6043,ไตรมาสที่ 1
ผู้ว่างงาน,53,2566,3016,9768,6753,ไตรมาสที่ 2
ผู้ว่างงาน,54,2566,941,4399,3457,ไตรมาสที่ 3
ผู้ว่างงาน,55,2566,477,2776,2299,ไตรมาสที่ 4
อัตราการว่างงาน (%),56,2566,1.1,1.6,1.9,เฉลี่ย 4 ไตรมาส
อัตราการว่างงาน (%),57,2566,2,2.3,2.5,ไตรมาสที่ 1
อัตราการว่างงาน (%),58,2566,1.7,2.3,2.8,ไตรมาสที่ 2
อัตราการว่างงาน (%),59,2566,0.5,1,1.4,ไตรมาสที่ 3
อัตราการว่างงาน (%),60,2566,0.3,0.7,0.9,ไตรมาสที่ 4
