ชนิดพืช,_id,ปี,พื้นที่เสียหาย,หน่วยไร่,อำเภอ,มูลค่าเสียหาย,หน่วย
ข้าว,1,2564,0,ไร่,เมืองอุทัยธานี,0,บาท
ข้าว,2,2564,54326.5,ไร่,ทัพทัน,"305,097,624.00",บาท
ข้าว,3,2564,53207,ไร่,สว่างอารมณ์,"298,810,512.00",บาท
ข้าว,4,2564,15517.75,ไร่,หนองฉาง,"87,147,684.00",บาท
ข้าว,5,2564,3968.5,ไร่,หนองขาหย่าง,"22,287,096.00",บาท
ข้าว,6,2564,0,ไร่,บ้านไร่,0,บาท
ข้าว,7,2564,0,ไร่,ลานสัก,0,บาท
ข้าว,8,2564,0,ไร่,ห้วยคต,0,บาท
ข้าว,9,2566,0,ไร่,เมืองอุทัยธานี,0,บาท
ข้าว,10,2566,43284.5,ไร่,ทัพทัน,291347879,บาท
ข้าว,11,2566,48002,ไร่,สว่างอารมณ์,312210304.5,บาท
ข้าว,12,2566,0,ไร่,หนองฉาง,0,บาท
ข้าว,13,2566,0,ไร่,หนองขาหย่าง,0,บาท
ข้าว,14,2566,0,ไร่,บ้านไร่,0,บาท
ข้าว,15,2566,15,ไร่,ลานสัก,104692.41,บาท
ข้าว,16,2566,0,ไร่,ห้วยคต,0,บาท
ข้าวโพดเลี้ยงสัตว์,17,2564,0,ไร่,เมืองอุทัยธานี,0,บาท
ข้าวโพดเลี้ยงสัตว์,18,2564,9309.5,ไร่,ทัพทัน,58882959.88,บาท
ข้าวโพดเลี้ยงสัตว์,19,2564,13924,ไร่,สว่างอารมณ์,88069856.96,บาท
ข้าวโพดเลี้ยงสัตว์,20,2564,1296,ไร่,หนองฉาง,8197251.84,บาท
ข้าวโพดเลี้ยงสัตว์,21,2564,34,ไร่,หนองขาหย่าง,215051.36,บาท
ข้าวโพดเลี้ยงสัตว์,22,2564,0,ไร่,บ้านไร่,0,บาท
ข้าวโพดเลี้ยงสัตว์,23,2564,0,ไร่,ลานสัก,0,บาท
ข้าวโพดเลี้ยงสัตว์,24,2564,0,ไร่,ห้วยคต,0,บาท
ข้าวโพดเลี้ยงสัตว์,25,2566,0,ไร่,เมืองอุทัยธานี,0,บาท
ข้าวโพดเลี้ยงสัตว์,26,2566,3532,ไร่,ทัพทัน,9063112,บาท
ข้าวโพดเลี้ยงสัตว์,27,2566,4560.82,ไร่,สว่างอารมณ์,11703064.12,บาท
ข้าวโพดเลี้ยงสัตว์,28,2566,0,ไร่,หนองฉาง,0,บาท
ข้าวโพดเลี้ยงสัตว์,29,2566,0,ไร่,หนองขาหย่าง,0,บาท
ข้าวโพดเลี้ยงสัตว์,30,2566,0,ไร่,บ้านไร่,0,บาท
ข้าวโพดเลี้ยงสัตว์,31,2566,11.5,ไร่,ลานสัก,29509,บาท
ข้าวโพดเลี้ยงสัตว์,32,2566,0,ไร่,ห้วยคต,0,บาท
อ้อยโรงงาน,33,2564,0,ไร่,เมืองอุทัยธานี,0,บาท
อ้อยโรงงาน,34,2564,"4,185.50",ไร่,ทัพทัน,"25,063,164.00",บาท
อ้อยโรงงาน,35,2564,"13,017.80",ไร่,สว่างอารมณ์,"212,183,244.00",บาท
อ้อยโรงงาน,36,2564,"11,570.12",ไร่,หนองฉาง,"17,892,504.00",บาท
อ้อยโรงงาน,37,2564,386.5,ไร่,หนองขาหย่าง,0,บาท
อ้อยโรงงาน,38,2564,"90,274.10",ไร่,บ้านไร่,0,บาท
อ้อยโรงงาน,39,2564,"16,604.60",ไร่,ลานสัก,0,บาท
อ้อยโรงงาน,40,2564,"23,121.86",ไร่,ห้วยคต,0,บาท
อ้อยโรงงาน,41,2566,0,ไร่,เมืองอุทัยธานี,0,บาท
อ้อยโรงงาน,42,2566,700,ไร่,ทัพทัน,62045145.19,บาท
อ้อยโรงงาน,43,2566,5198,ไร่,สว่างอารมณ์,55784955.23,บาท
อ้อยโรงงาน,44,2566,0,ไร่,หนองฉาง,0,บาท
อ้อยโรงงาน,45,2566,0,ไร่,หนองขาหย่าง,0,บาท
อ้อยโรงงาน,46,2566,2040.75,ไร่,บ้านไร่,20368622.28,บาท
อ้อยโรงงาน,47,2566,1087,ไร่,ลานสัก,11630900,บาท
อ้อยโรงงาน,48,2566,69,ไร่,ห้วยคต,733822.2105,บาท
มันสำปะหลัง,49,2564,0,ไร่,เมืองอุทัยธานี,0,บาท
มันสำปะหลัง,50,2564,1537,ไร่,ทัพทัน,9363404,บาท
มันสำปะหลัง,51,2564,8445,ไร่,สว่างอารมณ์,51446940,บาท
มันสำปะหลัง,52,2564,104,ไร่,หนองฉาง,633568,บาท
มันสำปะหลัง,53,2564,0,ไร่,หนองขาหย่าง,0,บาท
มันสำปะหลัง,54,2564,0,ไร่,บ้านไร่,0,บาท
มันสำปะหลัง,55,2564,0,ไร่,ลานสัก,0,บาท
มันสำปะหลัง,56,2564,0,ไร่,ห้วยคต,0,บาท
มันสำปะหลัง,57,2566,0,ไร่,เมืองอุทัยธานี,0,บาท
มันสำปะหลัง,58,2566,9833,ไร่,ทัพทัน,25231478,บาท
มันสำปะหลัง,59,2566,20875,ไร่,สว่างอารมณ์,53565250,บาท
มันสำปะหลัง,60,2566,0,ไร่,หนองฉาง,0,บาท
มันสำปะหลัง,61,2566,0,ไร่,หนองขาหย่าง,0,บาท
มันสำปะหลัง,62,2566,652.25,ไร่,บ้านไร่,1673673.5,บาท
มันสำปะหลัง,63,2566,20898.75,ไร่,ลานสัก,53626192.5,บาท
มันสำปะหลัง,64,2566,380,ไร่,ห้วยคต,975080,บาท
