จำนวน,ที่มา,_id,ปี,รายการ,จังหวัด,หน่วย
3,สำนักงานอุตสาหกรรมจังหวัดสงขลา,1,2562,โรงงานอุตสาหกรรมแปรรูปยางพารา,สงขลา,แห่ง
4,สำนักงานอุตสาหกรรมจังหวัดสงขลา,2,2562,โรงงานอุตสาหกรรมแปรรูปไม้ยางพารา,สงขลา,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดสงขลา,3,2563,โรงงานอุตสาหกรรมแปรรูปยางพารา,สงขลา,แห่ง
8,สำนักงานอุตสาหกรรมจังหวัดสงขลา,4,2563,โรงงานอุตสาหกรรมแปรรูปไม้ยางพารา,สงขลา,แห่ง
6,สำนักงานอุตสาหกรรมจังหวัดสงขลา,5,2564,โรงงานอุตสาหกรรมแปรรูปยางพารา,สงขลา,แห่ง
8,สำนักงานอุตสาหกรรมจังหวัดสงขลา,6,2564,โรงงานอุตสาหกรรมแปรรูปไม้ยางพารา,สงขลา,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดสงขลา,7,2565,โรงงานอุตสาหกรรมแปรรูปยางพารา,สงขลา,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดสงขลา,8,2565,โรงงานอุตสาหกรรมแปรรูปไม้ยางพารา,สงขลา,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดสงขลา,9,2566,โรงงานอุตสาหกรรมแปรรูปยางพารา,สงขลา,แห่ง
6,สำนักงานอุตสาหกรรมจังหวัดสงขลา,10,2566,โรงงานอุตสาหกรรมแปรรูปไม้ยางพารา,สงขลา,แห่ง
