จำนวนคนงาน,_id,จำนวนสถานประกอบการ,ปี,อำเภอ
49116,1,281,2568,เมืองลำพูน
92,2,7,2568,แม่ทา
476,3,22,2568,บ้านโฮ่ง
280,4,18,2568,ลี้
1228,5,41,2568,ป่าซาง
9,6,2,2568,ทุ่งหัวช้าง
1447,7,37,2568,บ้านธิ
168,8,9,2568,เวียงหนองล่อง
49022,9,273,2567,เมืองลำพูน
65,10,6,2567,แม่ทา
476,11,22,2567,บ้านโฮ่ง
275,12,17,2567,ลี้
1130,13,38,2567,ป่าซาง
9,14,2,2567,ทุ่งหัวช้าง
1402,15,34,2567,บ้านธิ
168,16,9,2567,เวียงหนองล่อง
48417,17,257,2566,เมืองลำพูน
65,18,6,2566,แม่ทา
476,19,22,2566,บ้านโฮ่ง
268,20,15,2566,ลี้
1114,21,36,2566,ป่าซาง
3,22,1,2566,ทุ่งหัวช้าง
1264,23,27,2566,บ้านธิ
168,24,9,2566,เวียงหนองล่อง
