Province,Dataset_name,Unit,Dataset_Group,_id,Vlue,Year,หน่วยงานเจ้าของข้อมูล,Source
ปทุมธานี,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,คัน,การขนส่งและโลจิสติกส์,1,31341,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,คัน,การขนส่งและโลจิสติกส์,2,3729,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์บรรทุกส่วนบุคคล,คัน,การขนส่งและโลจิสติกส์,3,30941,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์สามล้อส่วนบุคคล,คัน,การขนส่งและโลจิสติกส์,4,2,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์รับจ้างระหว่างจังหวัด,คัน,การขนส่งและโลจิสติกส์,5,-,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,คัน,การขนส่งและโลจิสติกส์,6,-,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์สี่ล้อเล็กรับจ้าง,คัน,การขนส่งและโลจิสติกส์,7,-,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์รับจ้างสามล้อ,คัน,การขนส่งและโลจิสติกส์,8,-,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์บริการธุรกิจ,คัน,การขนส่งและโลจิสติกส์,9,-,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์บริการทัศนาจร,คัน,การขนส่งและโลจิสติกส์,10,-,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถยนต์บริการให้เช่า,คัน,การขนส่งและโลจิสติกส์,11,-,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
ปทุมธานี,รถจักรยานยนต์,คัน,การขนส่งและโลจิสติกส์,12,63947,2561,สำนักงานขนส่งจังหวัดปทุมธานี,รายงานสถิติจังหวัดปทุมธานี
