_id,ผลรวม,ปี,ประจำทาง,อันดับ,เดือน,มาตรฐานรถ,ไม่ประจําทาง,ส่วนบุคคล
120,4,2568,1,4,เมษายน,ม.2 (จ) รถปรับอากาศ,2,1
121,2,2568,0,4,เมษายน,ม.2 (จ) รถปรับอากาศ (รถตู้ชนิดพิเศษ),2,0
122,2,2568,1,4,เมษายน,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,1,0
123,4,2568,4,4,เมษายน,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
124,2,2568,0,5,พฤษภาคม,ม.1 (ข) รถปรับอากาศพิเศษ,2,0
125,1,2568,0,5,พฤษภาคม,ม.2 (ค) รถปรับอากาศ,0,1
126,3,2568,0,5,พฤษภาคม,ม.2 (จ) รถปรับอากาศ,3,0
127,1,2568,0,5,พฤษภาคม,ม.2 (จ) รถปรับอากาศ (รถตู้ชนิดพิเศษ),1,0
128,1,2568,0,5,พฤษภาคม,ม.3 (ง) รถที่ไม่มีเครื่องปรับอากาศ,0,1
129,1,2568,1,5,พฤษภาคม,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
130,2,2568,0,6,มิถุนายน,ม.1 (ข) รถปรับอากาศพิเศษ,2,0
131,1,2568,0,6,มิถุนายน,ม.2 (ก) รถปรับอากาศ,1,0
132,4,2568,0,6,มิถุนายน,ม.2 (จ) รถปรับอากาศ,4,0
133,1,2568,0,6,มิถุนายน,ม.2 (จ) รถปรับอากาศ (รถตู้ชนิดพิเศษ),1,0
134,1,2568,0,6,มิถุนายน,ม.3 (ง) รถที่ไม่มีเครื่องปรับอากาศ,1,0
135,1,2568,1,6,มิถุนายน,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
136,1,2568,0,7,กรกฎาคม,ม.1 (ข) รถปรับอากาศพิเศษ,0,1
137,1,2568,0,7,กรกฎาคม,ม.2 (ก) รถปรับอากาศ,1,0
138,5,2568,0,7,กรกฎาคม,ม.2 (จ) รถปรับอากาศ,5,0
139,1,2568,0,7,กรกฎาคม,ม.2 (จ) รถปรับอากาศ (รถตู้ชนิดพิเศษ),1,0
140,3,2568,3,7,กรกฎาคม,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
141,1,2568,0,8,สิงหาคม,ม.1 (ข) รถปรับอากาศพิเศษ,1,0
142,1,2568,0,8,สิงหาคม,ม.2 (ก) รถปรับอากาศ,1,0
143,1,2568,0,8,สิงหาคม,ม.2 (จ) รถปรับอากาศ,1,0
144,1,2568,0,8,สิงหาคม,ม.3 (ง) รถที่ไม่มีเครื่องปรับอากาศ,1,0
145,5,2568,5,8,สิงหาคม,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
146,4,2568,0,9,กันยายน,ม.2 (ก) รถปรับอากาศ,4,0
147,12,2568,0,9,กันยายน,ม.2 (จ) รถปรับอากาศ,12,0
148,4,2568,0,9,กันยายน,ม.3 (จ) รถที่ไม่มีเครื่องปรับอากาศ,1,3
149,3,2568,3,9,กันยายน,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
150,3,2568,0,10,ตุลาคม,ม.1 (ข) รถปรับอากาศพิเศษ,3,0
151,2,2568,0,10,ตุลาคม,ม.2 (ก) รถปรับอากาศ,2,0
152,3,2568,3,10,ตุลาคม,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
153,1,2568,0,11,พฤศจิกายน,ม.1 (ข) รถปรับอากาศพิเศษ,1,0
154,1,2568,0,11,พฤศจิกายน,ม.2 รถปรับอากาศ,1,0
155,2,2568,0,11,พฤศจิกายน,ม.2 (ก) รถปรับอากาศ,2,0
156,2,2568,0,11,พฤศจิกายน,ม.2 (ค) รถปรับอากาศ,0,2
157,1,2568,0,11,พฤศจิกายน,ม.2 (ง) รถปรับอากาศ,0,1
158,2,2568,0,11,พฤศจิกายน,ม.2 (จ) รถปรับอากาศ,2,0
159,1,2568,1,11,พฤศจิกายน,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
160,4,2568,0,12,ธันวาคม,ม.1 (ข) รถปรับอากาศพิเศษ,4,0
161,11,2568,0,12,ธันวาคม,ม.2 (จ) รถปรับอากาศ,11,0
162,1,2568,0,12,ธันวาคม,ม.2 (จ) รถปรับอากาศ (รถตู้ชนิดพิเศษ),1,0
163,1,2568,1,12,ธันวาคม,ม.3 (ข) รถที่ไม่มีเครื่องปรับอากาศ,0,0
164,7,2568,7,12,ธันวาคม,ม.3 (ฉ) รถที่ไม่มีเครื่องปรับอากาศ,0,0
165,1,2568,0,12,ธันวาคม,ม.4 (ข) รถสองชั้น,1,0
