id,ข้าวนาปี,กล้วยน้ำว้า,_id,กล้วยไข่,กล้วยหอม,ลำไย,อำเภอ
1,75236.25,714.59,1,1.5,21.35,1302.83,เมืองตาก
2,23192.27,118.79,2,31.5,27.83,716.42,บ้านตาก
3,17701.74,82.57,3,1041.66,9,3115.94,สามเงา
4,58485.8,429.78,4,2.75,10,28.5,แม่ระมาด
5,69316.75,670.39,5,98,127.5,112.38,ท่าสองยาง
6,51510.89,496.71,6,43.54,405.42,64.74,แม่สอด
7,14095.75,691.28,7,266.68,740.56,60.2,พบพระ
8,35400,1044.08,8,0,25,11.25,อุ้มผาง
9,13906.23,477.1,9,73.11,18.25,12228.16,วังเจ้า
,358845.69,4725,10,1559,1385,17640.41,รวม
