Province,Unit,_id,year,value,District,Source
ชัยภูมิ,ไร่,1,2564,"312,675",อำเภอเมืองชัยภูมิ,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,2,2564,"124,516",อำเภอบ้านเขว้า,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,3,2564,"155,308",อำเภอคอนสวรรค์,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,4,2564,"155,955",อำเภอเกษตรสมบูรณ์,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,5,2564,"173,484",อำเภอหนองบัวแดง,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,6,2564,"167,127",อำเภอจัตุรัส,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,7,2564,"79,402",อำเภอบำเหน็จณรงค์,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,8,2564,"45,619",อำเภอหนองบัวระเหว,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,9,2564,"38,267",อำเภอเทพสถิต,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,10,2564,"159,875",อำเภอภูเขียว,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,11,2564,"80,937",อำเภอบ้านแท่น,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,12,2564,"179,004",อำเภอแก้งคร้อ,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,13,2564,"47,538",อำเภอคอนสาร,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,14,2564,"23,414",อำเภอภักดีชุมพล,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,15,2564,"62,369",อำเภอเนินสง่า,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,16,2564,"29,854",อำเภอซับใหญ่,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,17,2565,"320,152",อำเภอเมืองชัยภูมิ,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,18,2565,"125,013",อำเภอบ้านเขว้า,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,19,2565,"147,721",อำเภอคอนสวรรค์,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,20,2565,"147,618",อำเภอเกษตรสมบูรณ์,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,21,2565,"184,549",อำเภอหนองบัวแดง,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,22,2565,"160,835",อำเภอจัตุรัส,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,23,2565,"81,824",อำเภอบำเหน็จณรงค์,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,24,2565,"49,363",อำเภอหนองบัวระเหว,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,25,2565,"40,186",อำเภอเทพสถิต,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,26,2565,"142,203",อำเภอภูเขียว,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,27,2565,"57,077",อำเภอบ้านแท่น,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,28,2565,"159,527",อำเภอแก้งคร้อ,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,29,2565,48061.01,อำเภอคอนสาร,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,30,2565,23400.37,อำเภอภักดีชุมพล,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,31,2565,63404.85,อำเภอเนินสง่า,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,32,2565,33240.78,อำเภอซับใหญ่,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,33,2566,"306,013",อำเภอเมืองชัยภูมิ,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,34,2566,"126,366",อำเภอบ้านเขว้า,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,35,2566,"141,968",อำเภอคอนสวรรค์,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,36,2566,"143,883",อำเภอเกษตรสมบูรณ์,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,37,2566,"184,923",อำเภอหนองบัวแดง,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,38,2566,"154,123",อำเภอจัตุรัส,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,39,2566,"81,594",อำเภอบำเหน็จณรงค์,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,40,2566,"49,693",อำเภอหนองบัวระเหว,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,41,2566,"36,448",อำเภอเทพสถิต,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,42,2566,"139,735",อำเภอภูเขียว,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,43,2566,"54,361",อำเภอบ้านแท่น,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,44,2566,"161,453",อำเภอแก้งคร้อ,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,45,2566,"46,745",อำเภอคอนสาร,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,46,2566,"23,491",อำเภอภักดีชุมพล,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,47,2566,"63,243",อำเภอเนินสง่า,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,48,2566,"27,910",อำเภอซับใหญ่,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,49,2567,"279,800",อำเภอเมืองชัยภูมิ,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,50,2567,"126,179",อำเภอบ้านเขว้า,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,51,2567,"149,339",อำเภอคอนสวรรค์,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,52,2567,"185,533",อำเภอเกษตรสมบูรณ์,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,53,2567,"176,851",อำเภอหนองบัวแดง,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,54,2567,"146,991",อำเภอจัตุรัส,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,55,2567,"84,832",อำเภอบำเหน็จณรงค์,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,56,2567,"49,693",อำเภอหนองบัวระเหว,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,57,2567,"27,255",อำเภอเทพสถิต,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,58,2567,"113,822",อำเภอภูเขียว,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,59,2567,"57,791",อำเภอบ้านแท่น,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,60,2567,"148,359",อำเภอแก้งคร้อ,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,61,2567,"37,110",อำเภอคอนสาร,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,62,2567,"18,043",อำเภอภักดีชุมพล,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,63,2567,"57,817",อำเภอเนินสง่า,สำนักงานเกษตรจังหวัดชัยภูมิ
ชัยภูมิ,ไร่,64,2567,"23,320",อำเภอซับใหญ่,สำนักงานเกษตรจังหวัดชัยภูมิ
