2565.0,2566.0,_id,2561.0,2563.0,ประเภทรถ,2564.0,2562.0
4575.0,4497.0,1,5305.0,3965.0,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,3649.0,5392.0
89.0,83.0,2,32.0,92.0,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,28.0,26.0
2128.0,1617.0,3,2015.0,1818.0,รถยนต์บรรทุกส่วนบุคคล,1740.0,2359.0
1.0,-,4,-,-,รถยนต์สามล้อส่วนบุคคล,-,-
-,-,5,-,-,รถยนต์รับจ้างระหว่างจังหวัด,-,-
-,-,6,-,-,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,-,-
-,-,7,-,-,รถยนต์สี่ล้อเล็กรับจ้าง,-,-
-,-,8,-,-,รถยนต์รับจ้างสามล้อ,-,-
-,-,9,-,-,รถยนต์บริการธุรกิจ,-,-
-,-,10,-,-,รถยนต์บริการทัศนาจร,-,-
-,-,11,-,-,รถยนต์บริการให้เช่า,-,-
20777.0,21066.0,12,20427.0,16319.0,รถจักรยานยนต์,16319.0,19372.0
435.0,232.0,13,489.0,411.0,รถแทรกเตอร์,468.0,453.0
19.0,7.0,14,4.0,5.0,รถบดถนน,20.0,7.0
-,-,15,-,-,รถใช้งานเกษตรกรรม,-,-
,4.0,16,33.0,38.0,รถพ่วง,8.0,72.0
11.0,18.0,17,51.0,29.0,รถจักรยานยนต์สาธารณะ,19.0,39.0
