เดือน,ไม่อันตราย,_id,ปี,อันตราย
1,"47,579.70",1,2563,19036.2
2,"56,685.00",2,2563,19465.7
3,"52,775.70",3,2563,26029.5
4,"38,192.70",4,2563,15856.9
5,"32,941.40",5,2563,19474.2
6,"27,879.30",6,2563,12587
7,"37,917.40",7,2563,13214.8
8,"43,293.40",8,2563,17302.6
9,"44,005.50",9,2563,27431.9
10,"62,554.70",10,2563,18541.6
11,"53,740.00",11,2563,17498.7
12,"55,890.50",12,2563,19468.2
1,"59,613.10",13,2564,20240.1
2,"57,930.80",14,2564,17434.2
3,"74,990.50",15,2564,22112.1
4,"49,759.00",16,2564,16788.2
5,"77,648.00",17,2564,18782.6
6,"60,571.50",18,2564,22489.2
7,"41,366.90",19,2564,15238.6
8,"36,146.50",20,2564,13743.2
9,"69,004.00",21,2564,20852.6
10,"56,546.70",22,2564,21434
11,"58,488.60",23,2564,20465.8
12,"58,446.00",24,2564,22472.8
1,"58,817.60",25,2565,23551.2
2,"58,844.90",26,2565,17589.8
3,"60,813.70",27,2565,26069.8
4,"58,575.80",28,2565,17353.2
5,"53,720.00",29,2565,23993.4
6,"64,026.90",30,2565,23867.7
7,"57,483.20",31,2565,19694.1
8,"57,355.60",32,2565,22287.4
9,"63,083.10",33,2565,24642.2
10,"75,312.70",34,2565,21035.6
11,"65,214.70",35,2565,23845.2
12,"64,757.70",36,2565,22135.9
1,"63,293.62",37,2566,16074.46
2,"60,035.97",38,2566,20090.12
3,"72,828.13",39,2566,24808.79
4,"56,244.66",40,2566,17449.21
5,"59,051.86",41,2566,21052.31
6,"75,731.23",42,2566,27594.13
7,"60,931.33",43,2566,25086.91
8,"59,857.96",44,2566,23686.93
9,"62,190.46",45,2566,20871.83
10,"65,827.99",46,2566,24215.96
11,"16,194.11",47,2566,4152.25
12,"54,649.26",48,2566,36877.12
1,"68,088.12",49,2567,29253.93
2,"75,073.98",50,2567,28081.26
3,"134,444.79",51,2567,21498.96
4,"72,246.49",52,2567,19143.16
5,"30,047.51",53,2567,7874.31
6,"85,112.84",54,2567,18432.61
7,"118,320.31",55,2567,17719.79
8,"122,569.56",56,2567,17514.64
9,"91,910.08",57,2567,18491.78
10,"97,609.31",58,2567,16400.59
11,"92,286.53",59,2567,20065.99
12,"78,947.94",60,2567,15958.85
