จำนวน,ที่มา,_id,ปี พ.ศ.,อำเภอ,หน่วย
14,สำนักงานอุตสาหกรรมจังหวัดลำพูน,1,2562, เมืองลำพูน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,2,2562, แม่ทา,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดลำพูน,3,2562, บ้านโฮ่ง,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดลำพูน,4,2562, ลี้,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดลำพูน,5,2562, ป่าซาง,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดลำพูน,6,2562, ทุ่งหัวช้าง,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดลำพูน,7,2562, บ้านธิ,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,8,2562, เวียงหนองล่อง,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดลำพูน,9,2563, เมืองลำพูน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,10,2563, แม่ทา,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดลำพูน,11,2563, บ้านโฮ่ง,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,12,2563, ลี้,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดลำพูน,13,2563, ป่าซาง,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,14,2563, ทุ่งหัวช้าง,แห่ง
4,สำนักงานอุตสาหกรรมจังหวัดลำพูน,15,2563, บ้านธิ,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,16,2563, เวียงหนองล่อง,แห่ง
11,สำนักงานอุตสาหกรรมจังหวัดลำพูน,17,2564, เมืองลำพูน,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดลำพูน,18,2564, แม่ทา,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,19,2564, บ้านโฮ่ง,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,20,2564, ลี้,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดลำพูน,21,2564, ป่าซาง,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,22,2564, ทุ่งหัวช้าง,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดลำพูน,23,2564, บ้านธิ,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,24,2564, เวียงหนองล่อง,แห่ง
4,สำนักงานอุตสาหกรรมจังหวัดลำพูน,25,2565, เมืองลำพูน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,26,2565, แม่ทา,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,27,2565, บ้านโฮ่ง,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดลำพูน,28,2565, ลี้,แห่ง
5,สำนักงานอุตสาหกรรมจังหวัดลำพูน,29,2565, ป่าซาง,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,30,2565, ทุ่งหัวช้าง,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดลำพูน,31,2565, บ้านธิ,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,32,2565, เวียงหนองล่อง,แห่ง
6,สำนักงานอุตสาหกรรมจังหวัดลำพูน,33,2566, เมืองลำพูน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,34,2566, แม่ทา,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,35,2566, บ้านโฮ่ง,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดลำพูน,36,2566, ลี้,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดลำพูน,37,2566, ป่าซาง,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,38,2566, ทุ่งหัวช้าง,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดลำพูน,39,2566, บ้านธิ,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,40,2566, เวียงหนองล่อง,แห่ง
8,สำนักงานอุตสาหกรรมจังหวัดลำพูน,41,2567, เมืองลำพูน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,42,2567, แม่ทา,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,43,2567, บ้านโฮ่ง,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดลำพูน,44,2567, ลี้,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,45,2567, ป่าซาง,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดลำพูน,46,2567, ทุ่งหัวช้าง,แห่ง
4,สำนักงานอุตสาหกรรมจังหวัดลำพูน,47,2567, บ้านธิ,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดลำพูน,48,2567, เวียงหนองล่อง,แห่ง
