จำนวน,_id,ปี,ชนิดของพืชไม้ผล,รายการ
4136.48,80,2562,ผักหวานป่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2399.36,81,2563,กล้วยหอม,เนื้อที่เพาะปลูก (ไร่)
2399.36,82,2563,กล้วยหอม,เนื้อที่เก็บเกี่ยว (ไร่)
4847.57,83,2563,กล้วยหอม,ผลผลิต (ตัน)
2020.36,84,2563,กล้วยหอม,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2510.19,85,2563,กล้วยน้ำว้า,เนื้อที่เพาะปลูก (ไร่)
2506.19,86,2563,กล้วยน้ำว้า,เนื้อที่เก็บเกี่ยว (ไร่)
4117.97,87,2563,กล้วยน้ำว้า,ผลผลิต (ตัน)
1643.12,88,2563,กล้วยน้ำว้า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
1716.33,89,2563,น้อยหน่า,เนื้อที่เพาะปลูก (ไร่)
1715.61,90,2563,น้อยหน่า,เนื้อที่เก็บเกี่ยว (ไร่)
1715.61,91,2563,น้อยหน่า,ผลผลิต (ตัน)
1000,92,2563,น้อยหน่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
7961.1,93,2563,มะม่วง,เนื้อที่เพาะปลูก (ไร่)
7946.02,94,2563,มะม่วง,เนื้อที่เก็บเกี่ยว (ไร่)
6356.82,95,2563,มะม่วง,ผลผลิต (ตัน)
800,96,2563,มะม่วง,ผลผลิตเฉลี่ยต่อไร่ (กก.)
434.01,97,2563,มะขาม,เนื้อที่เพาะปลูก (ไร่)
431.51,98,2563,มะขาม,เนื้อที่เก็บเกี่ยว (ไร่)
64.73,99,2563,มะขาม,ผลผลิต (ตัน)
150,100,2563,มะขาม,ผลผลิตเฉลี่ยต่อไร่ (กก.)
49.18,101,2563,องุ่น,เนื้อที่เพาะปลูก (ไร่)
49.18,102,2563,องุ่น,เนื้อที่เก็บเกี่ยว (ไร่)
44.26,103,2563,องุ่น,ผลผลิต (ตัน)
900,104,2563,องุ่น,ผลผลิตเฉลี่ยต่อไร่ (กก.)
4951.31,105,2563,ปาล์มน้ำมัน,เนื้อที่เพาะปลูก (ไร่)
4946.81,106,2563,ปาล์มน้ำมัน,เนื้อที่เก็บเกี่ยว (ไร่)
11555.75,107,2563,ปาล์มน้ำมัน,ผลผลิต (ตัน)
2336,108,2563,ปาล์มน้ำมัน,ผลผลิตเฉลี่ยต่อไร่ (กก.)
1143.35,109,2563,ยางพารา,เนื้อที่เพาะปลูก (ไร่)
1117.1,110,2563,ยางพารา,เนื้อที่เก็บเกี่ยว (ไร่)
223.42,111,2563,ยางพารา,ผลผลิต (ตัน)
200,112,2563,ยางพารา,ผลผลิตเฉลี่ยต่อไร่ (กก.)
789.12,113,2563,ยูคาลิปตัส,เนื้อที่เพาะปลูก (ไร่)
788.87,114,2563,ยูคาลิปตัส,เนื้อที่เก็บเกี่ยว (ไร่)
10.26,115,2563,ยูคาลิปตัส,ผลผลิต (ตัน)
13,116,2563,ยูคาลิปตัส,ผลผลิตเฉลี่ยต่อไร่ (กก.)
169.53,117,2563,ผักหวานป่า,เนื้อที่เพาะปลูก (ไร่)
169.53,118,2563,ผักหวานป่า,เนื้อที่เก็บเกี่ยว (ไร่)
50.86,119,2563,ผักหวานป่า,ผลผลิต (ตัน)
300,120,2563,ผักหวานป่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
5824,121,2564,กล้วยหอม,เนื้อที่เพาะปลูก (ไร่)
3183.5,122,2564,กล้วยหอม,เนื้อที่เก็บเกี่ยว (ไร่)
7258.38,123,2564,กล้วยหอม,ผลผลิต (ตัน)
2280,124,2564,กล้วยหอม,ผลผลิตเฉลี่ยต่อไร่ (กก.)
4884.75,125,2564,กล้วยน้ำว้า,เนื้อที่เพาะปลูก (ไร่)
2422.25,126,2564,กล้วยน้ำว้า,เนื้อที่เก็บเกี่ยว (ไร่)
3633.38,127,2564,กล้วยน้ำว้า,ผลผลิต (ตัน)
1500,128,2564,กล้วยน้ำว้า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
1200.5,129,2564,น้อยหน่า,เนื้อที่เพาะปลูก (ไร่)
926,130,2564,น้อยหน่า,เนื้อที่เก็บเกี่ยว (ไร่)
1481.6,131,2564,น้อยหน่า,ผลผลิต (ตัน)
1600,132,2564,น้อยหน่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
8044.5,133,2564,มะม่วง,เนื้อที่เพาะปลูก (ไร่)
6809,134,2564,มะม่วง,เนื้อที่เก็บเกี่ยว (ไร่)
8170.8,135,2564,มะม่วง,ผลผลิต (ตัน)
1200,136,2564,มะม่วง,ผลผลิตเฉลี่ยต่อไร่ (กก.)
352,137,2564,มะขาม,เนื้อที่เพาะปลูก (ไร่)
229,138,2564,มะขาม,เนื้อที่เก็บเกี่ยว (ไร่)
114.5,139,2564,มะขาม,ผลผลิต (ตัน)
500,140,2564,มะขาม,ผลผลิตเฉลี่ยต่อไร่ (กก.)
474,141,2564,องุ่น,เนื้อที่เพาะปลูก (ไร่)
112,142,2564,องุ่น,เนื้อที่เก็บเกี่ยว (ไร่)
112,143,2564,องุ่น,ผลผลิต (ตัน)
1000,144,2564,องุ่น,ผลผลิตเฉลี่ยต่อไร่ (กก.)
7698,145,2564,ปาล์มน้ำมัน,เนื้อที่เพาะปลูก (ไร่)
5965,146,2564,ปาล์มน้ำมัน,เนื้อที่เก็บเกี่ยว (ไร่)
18640.63,147,2564,ปาล์มน้ำมัน,ผลผลิต (ตัน)
3125,148,2564,ปาล์มน้ำมัน,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2265.5,149,2564,ยางพารา,เนื้อที่เพาะปลูก (ไร่)
722,150,2564,ยางพารา,เนื้อที่เก็บเกี่ยว (ไร่)
97.47,151,2564,ยางพารา,ผลผลิต (ตัน)
135,152,2564,ยางพารา,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2206,153,2564,ยูคาลิปตัส,เนื้อที่เพาะปลูก (ไร่)
