ค่าข้อมูล,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,จังหวัด,หน่วย
1.5,สำนักงานสถิติจังหวัดมหาสารคาม,1,2563,รวม,รวม,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.3,สำนักงานสถิติจังหวัดมหาสารคาม,2,2563,ชาย,รวม,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.7,สำนักงานสถิติจังหวัดมหาสารคาม,3,2563,หญิง,รวม,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.9,สำนักงานสถิติจังหวัดมหาสารคาม,4,2563,รวม,ไตรมาส 1,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.9,สำนักงานสถิติจังหวัดมหาสารคาม,5,2563,ชาย,ไตรมาส 1,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
3.2,สำนักงานสถิติจังหวัดมหาสารคาม,6,2563,หญิง,ไตรมาส 1,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.7,สำนักงานสถิติจังหวัดมหาสารคาม,7,2563,รวม,ไตรมาส 2,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.9,สำนักงานสถิติจังหวัดมหาสารคาม,8,2563,ชาย,ไตรมาส 2,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.3,สำนักงานสถิติจังหวัดมหาสารคาม,9,2563,หญิง,ไตรมาส 2,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.2,สำนักงานสถิติจังหวัดมหาสารคาม,10,2563,รวม,ไตรมาส 3,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.4,สำนักงานสถิติจังหวัดมหาสารคาม,11,2563,ชาย,ไตรมาส 3,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.1,สำนักงานสถิติจังหวัดมหาสารคาม,12,2563,หญิง,ไตรมาส 3,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
2.0,สำนักงานสถิติจังหวัดมหาสารคาม,13,2563,รวม,ไตรมาส 4,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.8,สำนักงานสถิติจังหวัดมหาสารคาม,14,2563,ชาย,ไตรมาส 4,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
2.3,สำนักงานสถิติจังหวัดมหาสารคาม,15,2563,หญิง,ไตรมาส 4,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.4,สำนักงานสถิติจังหวัดมหาสารคาม,16,2564,รวม,รวม,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.5,สำนักงานสถิติจังหวัดมหาสารคาม,17,2564,ชาย,รวม,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.9,สำนักงานสถิติจังหวัดมหาสารคาม,18,2564,หญิง,รวม,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.4,สำนักงานสถิติจังหวัดมหาสารคาม,19,2564,รวม,ไตรมาส 1,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.0,สำนักงานสถิติจังหวัดมหาสารคาม,20,2564,ชาย,ไตรมาส 1,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.9,สำนักงานสถิติจังหวัดมหาสารคาม,21,2564,หญิง,ไตรมาส 1,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.4,สำนักงานสถิติจังหวัดมหาสารคาม,22,2564,รวม,ไตรมาส 2,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.6,สำนักงานสถิติจังหวัดมหาสารคาม,23,2564,ชาย,ไตรมาส 2,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.9,สำนักงานสถิติจังหวัดมหาสารคาม,24,2564,หญิง,ไตรมาส 2,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.9,สำนักงานสถิติจังหวัดมหาสารคาม,25,2564,รวม,ไตรมาส 3,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.9,สำนักงานสถิติจังหวัดมหาสารคาม,26,2564,ชาย,ไตรมาส 3,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.0,สำนักงานสถิติจังหวัดมหาสารคาม,27,2564,หญิง,ไตรมาส 3,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.7,สำนักงานสถิติจังหวัดมหาสารคาม,28,2564,รวม,ไตรมาส 4,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
,สำนักงานสถิติจังหวัดมหาสารคาม,29,2564,ชาย,ไตรมาส 4,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.7,สำนักงานสถิติจังหวัดมหาสารคาม,30,2564,หญิง,ไตรมาส 4,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.7,สำนักงานสถิติจังหวัดมหาสารคาม,31,2565,รวม,รวม,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.6,สำนักงานสถิติจังหวัดมหาสารคาม,32,2565,ชาย,รวม,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.0,สำนักงานสถิติจังหวัดมหาสารคาม,33,2565,หญิง,รวม,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.8,สำนักงานสถิติจังหวัดมหาสารคาม,34,2565,รวม,ไตรมาส 1,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.8,สำนักงานสถิติจังหวัดมหาสารคาม,35,2565,ชาย,ไตรมาส 1,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.8,สำนักงานสถิติจังหวัดมหาสารคาม,36,2565,หญิง,ไตรมาส 1,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.2,สำนักงานสถิติจังหวัดมหาสารคาม,37,2565,รวม,ไตรมาส 2,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.0,สำนักงานสถิติจังหวัดมหาสารคาม,38,2565,ชาย,ไตรมาส 2,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.5,สำนักงานสถิติจังหวัดมหาสารคาม,39,2565,หญิง,ไตรมาส 2,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.0,สำนักงานสถิติจังหวัดมหาสารคาม,40,2565,รวม,ไตรมาส 3,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
0.5,สำนักงานสถิติจังหวัดมหาสารคาม,41,2565,ชาย,ไตรมาส 3,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
1.6,สำนักงานสถิติจังหวัดมหาสารคาม,42,2565,หญิง,ไตรมาส 3,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
,สำนักงานสถิติจังหวัดมหาสารคาม,43,2565,รวม,ไตรมาส 4,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
,สำนักงานสถิติจังหวัดมหาสารคาม,44,2565,ชาย,ไตรมาส 4,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
,สำนักงานสถิติจังหวัดมหาสารคาม,45,2565,หญิง,ไตรมาส 4,อัตราการว่างงาน,มหาสารคาม,ร้อยละ
