จำนวน,_id,ปี,เพศ,ไตรมาส,หน่วย
1211,1,2564,ชาย,ไตรมาส1,คน
1168,2,2564,ชาย,ไตรมาส2,คน
1246,3,2564,ชาย,ไตรมาส3,คน
1364,4,2564,ชาย,ไตรมาส4,คน
2069,5,2564,หญิง,ไตรมาส1,คน
2010,6,2564,หญิง,ไตรมาส2,คน
2278,7,2564,หญิง,ไตรมาส3,คน
393,8,2564,หญิง,ไตรมาส4,คน
1142,9,2565,ชาย,ไตรมาส1,คน
1212,10,2565,ชาย,ไตรมาส2,คน
207,11,2565,ชาย,ไตรมาส3,คน
437,12,2565,ชาย,ไตรมาส4,คน
828,13,2565,หญิง,ไตรมาส1,คน
1169,14,2565,หญิง,ไตรมาส2,คน
2235,15,2565,หญิง,ไตรมาส3,คน
2252,16,2565,หญิง,ไตรมาส4,คน
1592,17,2566,ชาย,ไตรมาส1,คน
661,18,2566,ชาย,ไตรมาส2,คน
1383,19,2566,ชาย,ไตรมาส3,คน
800,20,2566,ชาย,ไตรมาส4,คน
824,21,2566,หญิง,ไตรมาส1,คน
1194,22,2566,หญิง,ไตรมาส2,คน
1120,23,2566,หญิง,ไตรมาส3,คน
951,24,2566,หญิง,ไตรมาส4,คน
154,25,2567,ชาย,ไตรมาส1,คน
-,26,2567,หญิง,ไตรมาส1,คน
