2565.0,_id,2561.0,2563.0,กลุ่มเป้าหมาย,หมายเหตุ,2564.0,2562.0
29,1,0.0,36,แรงงานใหม่,,120,67
80,2,0.0,233,ผู้ประกอบอาชีพอิสระ,,0,112
185,3,80.0,360,ผู้สงอายุ,,108,141
40,4,0.0,20,ผู้ว่างงาน/ถูกเลิกจ้าง,,78,0
30,5,0.0,20,กลุ่มOTOP /กลุ่มอาชีพ,,0,60
102,6,81.0,208,แรงงานนอกระบบ,,160,123
325,7,1182.0,418,แรงงานในสถานประกอบกิจการ,,386,389
0,8,7500.0,0,ผู้มีบัตรสวัสดิการแห่งรัฐ,,0,20
22,9,207.0,5,นักเรียนยากจน/ทหารก่อนปลดประจำการ/ผู้ด้อยโอกาส/ผู้บำบัดยาเสพติด/ผู้ประสบภัย,,9,103
0,10,64.0,40,ผู้ต้องขัง,,46,92
813,11,9114.0,1340,รวม,,907,1107
,12,,,,,,
,13,พัฒนาทักษะแรงงานตามสาขาอาชีพ โดยจำแนกตามกลุ่มเป้าหมาย ที่กรมพัฒนาฝีมือแรงงานได้จัดสรรมา ,,*การพัฒนาศักยภาพวัยแรงงาน,,,
,14,และสำนักงานพัฒนาฝีมือแรงงานเพชรบูรณ์ได้ดำเนินการในแต่ละปีงบประมาณ,,,,,
