_id,ปี,ราคาเฉลี่ย,มูลค่าผลผลิตรวม,พื้นที่เพาะปลูก,ผลผลิต,ผลผลิตเฉลี่ย
1,2560,9.25,471.18,18283,50939,4329
2,2561,9.91,400.43,16133,40407,3490
3,2562,10.04,546.36,16003,54438,3596
4,2563,10.43,557.44,16560,53446,3528
5,2564,8.49,471.97,17923,55591,3231
