เนื้อที่เพาะปลูก,เก็บเกี่ยวได้,ชนิดพืช,_id,"เกษตรกร
(ราย)",ผลผลิตเฉลี่ย,พ.ศ,เนื้อที่เก็บเกี่ยว
"508,506","303,823",ข้าวนาปี,1,"77,515",601,2564,"505,682"
"279,542","116,728",ลำไย,2,"51,589",425,2564,"274,442"
"60,662",56591,มะม่วง,3,"10,984","1,222",2564,"46,310"
"45,790","11,665",ลิ นจี่,4,"6,162",255,2564,"45,745"
"32,195","3,924",กาแฟ,5,"9,099",130,2564,"30,182"
"29,890","35,628",กระเทียม,6,"3,615","1,193",2564,"29,860"
"10,683","26,390",หอมแดง,7,"2,933","2,470",2564,"10,683"
"8,001","33,255",หอมหัวใหญ่,8,"1,759","4,176",2564,"7,963"
"14,889.61","2,235",ยางพารา (รวม),9,"1,192",174,2564,"12,842.89"
"6,078.97",994,- มีเอกสารสิทธิ์,10,520,-,2564,"5,710.02"
"8,810.64","1,241",- ไม่มีเอกสารสิทธิ์,11,672,-,2564,"7,132.87"
"990,159","590,239",รวม,12,"164,848","10,646",2564,"963,710"
