เดือน,มาตรา 39,มาตรา 40,_id,ปี,สถานประกอบการ,มาตรา 33,หมายเหตุ,ผู้ประกันตน
มกราคม,"16,975","162,604",1,2569,"5,183","170,208",มาตรา 40 ข้อมูล ณ เดือนธันวาคม 2568 เนื่องจากประกันสังคมอยู่ในระหว่างปรับฐานข้อมูล,"349,787"
กุมภาพันธ์,"16,975","162,604",2,2569,"5,183","170,208",มาตรา 40 ข้อมูล ณ เดือนธันวาคม 2568 เนื่องจากประกันสังคมอยู่ในระหว่างปรับฐานข้อมูล,"349,787"
มีนาคม,"17,039","162,604",3,2569,"5,215","168,865",มาตรา 40 ข้อมูล ณ เดือนธันวาคม 2568 เนื่องจากประกันสังคมอยู่ในระหว่างปรับฐานข้อมูล,"348,508"
เมษายน,"16,974","160,927",4,2569,"5,217","170,206",,"348,107"
พฤษภาคม,"16,731","160,208",5,2569,"5,224","172,242",,"349,181"
