_id,ปี,จำนวน,หน่วย,ประเภท
1,2564.0,3568,ไร่,เนื้อที่ยืนต้น
2,2565.0,1153,ไร่,เนื้อที่ยืนต้น
3,2566.0,-3001,ไร่,เนื้อที่ยืนต้น
4,2567P,-4642,ไร่,เนื้อที่ยืนต้น
5,2564.0,24198,ไร่,เนื้อที่ให้ผลรวม 
6,2565.0,14386,ไร่,เนื้อที่ให้ผลรวม 
7,2566.0,3524,ไร่,เนื้อที่ให้ผลรวม 
8,2567P,-1252,ไร่,เนื้อที่ให้ผลรวม 
9,2564.0,81,กิโลกรัมต่อไร่,ผลผลิตเฉลี่ย
10,2565.0,64,กิโลกรัมต่อไร่,ผลผลิตเฉลี่ย
11,2566.0,-26,กิโลกรัมต่อไร่,ผลผลิตเฉลี่ย
12,2567P,-11,กิโลกรัมต่อไร่,ผลผลิตเฉลี่ย
13,2564.0,55309,ตัน,ผลผลิตรวม 
14,2565.0,41468,ตัน,ผลผลิตรวม 
15,2566.0,-7966,ตัน,ผลผลิตรวม 
16,2567P,-6114,ตัน,ผลผลิตรวม 
