ค่าข้อมูล,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,สถานภาพ,จังหวัด,หน่วย
59880,สำนักงานสถิติจังหวัดมหาสารคาม,16,2563,รวม,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
1408,สำนักงานสถิติจังหวัดมหาสารคาม,17,2563,ชาย,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
58472,สำนักงานสถิติจังหวัดมหาสารคาม,18,2563,หญิง,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
77645,สำนักงานสถิติจังหวัดมหาสารคาม,19,2563,รวม,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
37303,สำนักงานสถิติจังหวัดมหาสารคาม,20,2563,ชาย,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
40342,สำนักงานสถิติจังหวัดมหาสารคาม,21,2563,หญิง,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
144694,สำนักงานสถิติจังหวัดมหาสารคาม,22,2563,รวม,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
69534,สำนักงานสถิติจังหวัดมหาสารคาม,23,2563,ชาย,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
75160,สำนักงานสถิติจังหวัดมหาสารคาม,24,2563,หญิง,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
304937,สำนักงานสถิติจังหวัดมหาสารคาม,25,2563,รวม,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
31879,สำนักงานสถิติจังหวัดมหาสารคาม,26,2563,ชาย,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
213058,สำนักงานสถิติจังหวัดมหาสารคาม,27,2563,หญิง,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
88706,สำนักงานสถิติจังหวัดมหาสารคาม,28,2563,รวม,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
2003,สำนักงานสถิติจังหวัดมหาสารคาม,29,2563,ชาย,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
