ค่าข้อมูล,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,สถานภาพ,จังหวัด,หน่วย
77108,สำนักงานสถิติจังหวัดมหาสารคาม,139,2565,รวม,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
34968,สำนักงานสถิติจังหวัดมหาสารคาม,140,2565,ชาย,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
42140,สำนักงานสถิติจังหวัดมหาสารคาม,141,2565,หญิง,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
21049,สำนักงานสถิติจังหวัดมหาสารคาม,142,2565,รวม,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
15164,สำนักงานสถิติจังหวัดมหาสารคาม,143,2565,ชาย,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
5885,สำนักงานสถิติจังหวัดมหาสารคาม,144,2565,หญิง,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
255221,สำนักงานสถิติจังหวัดมหาสารคาม,145,2565,รวม,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
87826,สำนักงานสถิติจังหวัดมหาสารคาม,146,2565,ชาย,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
167395,สำนักงานสถิติจังหวัดมหาสารคาม,147,2565,หญิง,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
67068,สำนักงานสถิติจังหวัดมหาสารคาม,148,2565,รวม,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
872,สำนักงานสถิติจังหวัดมหาสารคาม,149,2565,ชาย,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
66196,สำนักงานสถิติจังหวัดมหาสารคาม,150,2565,หญิง,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
78158,สำนักงานสถิติจังหวัดมหาสารคาม,151,2565,รวม,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
31969,สำนักงานสถิติจังหวัดมหาสารคาม,152,2565,ชาย,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
46189,สำนักงานสถิติจังหวัดมหาสารคาม,153,2565,หญิง,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
22736,สำนักงานสถิติจังหวัดมหาสารคาม,154,2565,รวม,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
17405,สำนักงานสถิติจังหวัดมหาสารคาม,155,2565,ชาย,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
5331,สำนักงานสถิติจังหวัดมหาสารคาม,156,2565,หญิง,ไตรมาส 2,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
219857,สำนักงานสถิติจังหวัดมหาสารคาม,157,2565,รวม,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
78086,สำนักงานสถิติจังหวัดมหาสารคาม,158,2565,ชาย,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
141771,สำนักงานสถิติจังหวัดมหาสารคาม,159,2565,หญิง,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
47369,สำนักงานสถิติจังหวัดมหาสารคาม,160,2565,รวม,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
2986,สำนักงานสถิติจังหวัดมหาสารคาม,161,2565,ชาย,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
44383,สำนักงานสถิติจังหวัดมหาสารคาม,162,2565,หญิง,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
75920,สำนักงานสถิติจังหวัดมหาสารคาม,163,2565,รวม,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
33241,สำนักงานสถิติจังหวัดมหาสารคาม,164,2565,ชาย,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
42679,สำนักงานสถิติจังหวัดมหาสารคาม,165,2565,หญิง,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
17893,สำนักงานสถิติจังหวัดมหาสารคาม,166,2565,รวม,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
10879,สำนักงานสถิติจังหวัดมหาสารคาม,167,2565,ชาย,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
7014,สำนักงานสถิติจังหวัดมหาสารคาม,168,2565,หญิง,ไตรมาส 3,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
237677,สำนักงานสถิติจังหวัดมหาสารคาม,169,2565,รวม,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
85352,สำนักงานสถิติจังหวัดมหาสารคาม,170,2565,ชาย,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
152325,สำนักงานสถิติจังหวัดมหาสารคาม,171,2565,หญิง,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
58829,สำนักงานสถิติจังหวัดมหาสารคาม,172,2565,รวม,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
2298,สำนักงานสถิติจังหวัดมหาสารคาม,173,2565,ชาย,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
56531,สำนักงานสถิติจังหวัดมหาสารคาม,174,2565,หญิง,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
71446,สำนักงานสถิติจังหวัดมหาสารคาม,175,2565,รวม,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
35568,สำนักงานสถิติจังหวัดมหาสารคาม,176,2565,ชาย,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
35879,สำนักงานสถิติจังหวัดมหาสารคาม,177,2565,หญิง,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
21702,สำนักงานสถิติจังหวัดมหาสารคาม,178,2565,รวม,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
13024,สำนักงานสถิติจังหวัดมหาสารคาม,179,2565,ชาย,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
8679,สำนักงานสถิติจังหวัดมหาสารคาม,180,2565,หญิง,ไตรมาส 4,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
239015,สำนักงานสถิติจังหวัดมหาสารคาม,181,2566,รวม,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
90086,สำนักงานสถิติจังหวัดมหาสารคาม,182,2566,ชาย,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
148929,สำนักงานสถิติจังหวัดมหาสารคาม,183,2566,หญิง,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
56866,สำนักงานสถิติจังหวัดมหาสารคาม,184,2566,รวม,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
5855,สำนักงานสถิติจังหวัดมหาสารคาม,185,2566,ชาย,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
51011,สำนักงานสถิติจังหวัดมหาสารคาม,186,2566,หญิง,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
76600,สำนักงานสถิติจังหวัดมหาสารคาม,187,2566,รวม,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
35051,สำนักงานสถิติจังหวัดมหาสารคาม,188,2566,ชาย,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
41549,สำนักงานสถิติจังหวัดมหาสารคาม,189,2566,หญิง,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
16964,สำนักงานสถิติจังหวัดมหาสารคาม,190,2566,รวม,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
13354,สำนักงานสถิติจังหวัดมหาสารคาม,191,2566,ชาย,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
3610,สำนักงานสถิติจังหวัดมหาสารคาม,192,2566,หญิง,รวม,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
239015,สำนักงานสถิติจังหวัดมหาสารคาม,193,2566,รวม,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
90086,สำนักงานสถิติจังหวัดมหาสารคาม,194,2566,ชาย,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
148929,สำนักงานสถิติจังหวัดมหาสารคาม,195,2566,หญิง,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,รวม,มหาสารคาม,คน
56866,สำนักงานสถิติจังหวัดมหาสารคาม,196,2566,รวม,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
5855,สำนักงานสถิติจังหวัดมหาสารคาม,197,2566,ชาย,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
51011,สำนักงานสถิติจังหวัดมหาสารคาม,198,2566,หญิง,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,มหาสารคาม,คน
76600,สำนักงานสถิติจังหวัดมหาสารคาม,199,2566,รวม,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
35051,สำนักงานสถิติจังหวัดมหาสารคาม,200,2566,ชาย,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
41549,สำนักงานสถิติจังหวัดมหาสารคาม,201,2566,หญิง,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,มหาสารคาม,คน
16964,สำนักงานสถิติจังหวัดมหาสารคาม,202,2566,รวม,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
13354,สำนักงานสถิติจังหวัดมหาสารคาม,203,2566,ชาย,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
3610,สำนักงานสถิติจังหวัดมหาสารคาม,204,2566,หญิง,ไตรมาส 1,จำนวนผู้ไม่อยู่ในกำลังแรงงาน,อื่น ๆ,มหาสารคาม,คน
