เดือน,_id,ปี,ผู้ได้รับการบรรจุงาน,ผู้สมัครงาน,ตำแหน่งงานว่าง
ตุลาคม,1,2563,72,81,88
พฤศจิกายน,2,2563,268,284,300
ธันวาคม,3,2563,125,136,212
มกราคม,4,2564,69,87,111
กุมภาพันธ์,5,2564,106,122,111
มีนาคม,6,2564,77,101,99
เมษายน,7,2564,241,260,260
พฤษภาคม,8,2564,203,216,588
มิถุนายน,9,2564,75,84,69
กรกฎาคม,10,2564,57,70,61
สิงหาคม,11,2564,161,171,208
กันยายน,12,2564,56,63,58
ตุลาคม,13,2564,66,95,86
พฤศจิกายน,14,2564,159,160,174
ธันวาคม,15,2564,113,120,160
มกราคม,16,2565,100,113,133
กุมภาพันธ์,17,2565,82,108,135
มีนาคม,18,2565,83,114,89
เมษายน,19,2565,104,143,172
พฤษภาคม,20,2565,113,149,123
มิถุนายน,21,2565,43,62,78
กรกฎาคม,22,2565,58,68,74
สิงหาคม,23,2565,50,58,114
กันยายน,24,2565,50,65,58
ตุลาคม,25,2565,57,73,70
พฤศจิกายน,26,2565,111,130,153
ธันวาคม,27,2565,105,196,404
มกราคม,28,2566,95,118,251
กุมภาพันธ์,29,2566,6,138,199
มีนาคม,30,2566,87,115,505
เมษายน,31,2566,109,145,117
พฤษภาคม,32,2566,68,95,351
มิถุนายน,33,2566,64,100,81
กรกฎาคม,34,2566,67,97,75
สิงหาคม,35,2566,80,97,85
กันยายน,36,2566,14,24,48
ตุลาคม,37,2566,23,33,33
พฤศจิกายน,38,2566,93,135,136
ธันวาคม,39,2566,89,118,128
มกราคม,40,2567,119,188,167
กุมภาพันธ์,41,2567,49,100,106
มีนาคม,42,2567,54,99,97
เมษายน,43,2567,114,164,232
พฤษภาคม,44,2567,73,115,168
มิถุนายน,45,2567,119,144,134
กรกฎาคม,46,2567,97,152,197
สิงหาคม,47,2567,71,94,151
กันยายน,48,2567,82,70,342
ตุลาคม,49,2567,74,135,127
พฤศจิกายน,50,2567,89,143,110
ธันวาคม,51,2567,154,231,170
มกราคม,52,2568,86,122,219
กุมภาพันธ์,53,2568,64,85,264
มีนาคม,54,2568,57,108,126
เมษายน,55,2568,70,126,124
พฤษภาคม,56,2568,77,122,94
มิถุนายน,57,2568,87,107,238
กรกฎาคม,58,2568,72,101,253
สิงหาคม,59,2568,112,109,262
กันยายน,60,2568,31,20,61
ตุลาคม,61,2568,160,195,258
พฤศจิกายน,62,2568,200,259,236
ธันวาคม,63,2568,228,313,286
มกราคม,64,2569,171,200,192
กุมภาพันธ์,65,2569,126,181,207
มีนาคม,66,2569,97,165,135
เมษายน,67,2569,123,181,242
พฤษภาคม,68,2569,144,175,167
