province,sex,quarter,occupation,_id,year,value,attribute,unit,source
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 1,ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,30,2566,144736,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 1,ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,31,2566,173978,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 1,ผู้ประกอบอาชีพงานพื้นฐาน,32,2566,423688,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,หญิง,ไตรมาสที่ 1,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,33,2566,1067,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 2,รวมยอด,34,2566,5737524,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 2,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,35,2566,347909,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 2,ผู้ประกอบวิชาชีพด้านต่าง ๆ,36,2566,586942,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 2,เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,37,2566,569943,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 2,เสมียน,38,2566,489324,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 2,พนักงานบริการและผู้จำหน่ายสินค้า,39,2566,1559897,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 2,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,40,2566,29929,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 2,ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,41,2566,656553,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 2,ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักรและผู้ปฏิบัติงานด้านการประกอบ,42,2566,802960,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 2,ผู้ประกอบอาชีพงานพื้นฐาน,43,2566,682375,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,รวม,ไตรมาสที่ 2,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,44,2566,11693,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 2,รวมยอด,45,2566,2963282,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 2,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,46,2566,203963,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 2,ผู้ประกอบวิชาชีพด้านต่าง ๆ,47,2566,278185,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 2,เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,48,2566,264850,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 2,เสมียน,49,2566,137928,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 2,พนักงานบริการและผู้จำหน่ายสินค้า,50,2566,675621,,คน,สำนักงานสถิติแห่งชาติ
กรุงเทพมหานคร,ชาย,ไตรมาสที่ 2,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,51,2566,22839,,คน,สำนักงานสถิติแห่งชาติ
