_id,ปี,สถานประกอบการ,ลูกจ้าง,ขนาดสถานประกอบการ (คน)
1,2564,"1,969","4,163",1-4 คน
2,2564,"1,237","8,417",5-9 คน
3,2564,379,"5,067",10-19 คน
4,2564,234,"7,223",20 - 49 คน
5,2564,81,"5,465",50 - 99 คน
6,2564,77,27637,100 คนขึ้นไป
7,2565,"2,014","4,252",1-4 คน
8,2565,"1,242","8,445",5-9 คน
9,2565,461,"6,028",10-19 คน
10,2565,241,"7,640",20 - 49 คน
11,2565,75,"5,219",50 - 99 คน
12,2565,73,39071,100 คนขึ้นไป
13,2566,"2,036","4,277",1-4 คน
14,2566,"1,266","8,611",5-9 คน
15,2566,474,"6,228",10-19 คน
16,2566,232,"7,094",20 - 49 คน
17,2566,99,"6,842",50 - 99 คน
18,2566,70,35359,100 คนขึ้นไป
