จำนวน,_id,ปี,อำเภอ,หน่วยวัด
6,1,2560,เมืองสุราษฎร์ธานี,โรงงาน
11,2,2560,กาญจนดิษฐ์,โรงงาน
16,3,2560,พุนพิน,โรงงาน
1,4,2560,ดอนสัก,โรงงาน
3,5,2560,เกาะสมุย,โรงงาน
0,6,2560,เกาะพะงัน,โรงงาน
4,7,2560,ไชยา,โรงงาน
5,8,2560,คีรีรัฐนิคม,โรงงาน
1,9,2560,บ้านตาขุน,โรงงาน
4,10,2560,พนม,โรงงาน
6,11,2560,ท่าฉาง,โรงงาน
9,12,2560,บ้านนาสาร,โรงงาน
2,13,2560,บ้านนาเดิม,โรงงาน
5,14,2560,เคียนซา,โรงงาน
6,15,2560,เวียงสระ,โรงงาน
7,16,2560,พระแสง,โรงงาน
3,17,2560,ท่าชนะ,โรงงาน
2,18,2560,ชัยบุรี,โรงงาน
1,19,2560,วิภาวดี,โรงงาน
6,20,2561,เมืองสุราษฎร์ธานี,โรงงาน
15,21,2561,กาญจนดิษฐ์,โรงงาน
19,22,2561,พุนพิน,โรงงาน
3,23,2561,ดอนสัก,โรงงาน
3,24,2561,เกาะสมุย,โรงงาน
0,25,2561,เกาะพะงัน,โรงงาน
4,26,2561,ไชยา,โรงงาน
6,27,2561,คีรีรัฐนิคม,โรงงาน
2,28,2561,บ้านตาขุน,โรงงาน
4,29,2561,พนม,โรงงาน
7,30,2561,ท่าฉาง,โรงงาน
11,31,2561,บ้านนาสาร,โรงงาน
5,32,2561,บ้านนาเดิม,โรงงาน
5,33,2561,เคียนซา,โรงงาน
6,34,2561,เวียงสระ,โรงงาน
8,35,2561,พระแสง,โรงงาน
3,36,2561,ท่าชนะ,โรงงาน
2,37,2561,ชัยบุรี,โรงงาน
2,38,2561,วิภาวดี,โรงงาน
6,39,2562,เมืองสุราษฎร์ธานี,โรงงาน
15,40,2562,กาญจนดิษฐ์,โรงงาน
20,41,2562,พุนพิน,โรงงาน
3,42,2562,ดอนสัก,โรงงาน
3,43,2562,เกาะสมุย,โรงงาน
0,44,2562,เกาะพะงัน,โรงงาน
4,45,2562,ไชยา,โรงงาน
6,46,2562,คีรีรัฐนิคม,โรงงาน
2,47,2562,บ้านตาขุน,โรงงาน
5,48,2562,พนม,โรงงาน
7,49,2562,ท่าฉาง,โรงงาน
12,50,2562,บ้านนาสาร,โรงงาน
5,51,2562,บ้านนาเดิม,โรงงาน
5,52,2562,เคียนซา,โรงงาน
6,53,2562,เวียงสระ,โรงงาน
8,54,2562,พระแสง,โรงงาน
3,55,2562,ท่าชนะ,โรงงาน
2,56,2562,ชัยบุรี,โรงงาน
2,57,2562,วิภาวดี,โรงงาน
6,58,2563,เมืองสุราษฎร์ธานี,โรงงาน
16,59,2563,กาญจนดิษฐ์,โรงงาน
21,60,2563,พุนพิน,โรงงาน
3,61,2563,ดอนสัก,โรงงาน
3,62,2563,เกาะสมุย,โรงงาน
0,63,2563,เกาะพะงัน,โรงงาน
4,64,2563,ไชยา,โรงงาน
6,65,2563,คีรีรัฐนิคม,โรงงาน
2,66,2563,บ้านตาขุน,โรงงาน
5,67,2563,พนม,โรงงาน
7,68,2563,ท่าฉาง,โรงงาน
12,69,2563,บ้านนาสาร,โรงงาน
5,70,2563,บ้านนาเดิม,โรงงาน
6,71,2563,เคียนซา,โรงงาน
6,72,2563,เวียงสระ,โรงงาน
8,73,2563,พระแสง,โรงงาน
3,74,2563,ท่าชนะ,โรงงาน
2,75,2563,ชัยบุรี,โรงงาน
2,76,2563,วิภาวดี,โรงงาน
6,77,2564,เมืองสุราษฎร์ธานี,โรงงาน
16,78,2564,กาญจนดิษฐ์,โรงงาน
22,79,2564,พุนพิน,โรงงาน
3,80,2564,ดอนสัก,โรงงาน
3,81,2564,เกาะสมุย,โรงงาน
0,82,2564,เกาะพะงัน,โรงงาน
4,83,2564,ไชยา,โรงงาน
6,84,2564,คีรีรัฐนิคม,โรงงาน
2,85,2564,บ้านตาขุน,โรงงาน
5,86,2564,พนม,โรงงาน
7,87,2564,ท่าฉาง,โรงงาน
12,88,2564,บ้านนาสาร,โรงงาน
5,89,2564,บ้านนาเดิม,โรงงาน
6,90,2564,เคียนซา,โรงงาน
6,91,2564,เวียงสระ,โรงงาน
8,92,2564,พระแสง,โรงงาน
4,93,2564,ท่าชนะ,โรงงาน
2,94,2564,ชัยบุรี,โรงงาน
2,95,2564,วิภาวดี,โรงงาน
6,96,2565,เมืองสุราษฎร์ธานี,โรงงาน
18,97,2565,กาญจนดิษฐ์,โรงงาน
22,98,2565,พุนพิน,โรงงาน
3,99,2565,ดอนสัก,โรงงาน
3,100,2565,เกาะสมุย,โรงงาน
0,101,2565,เกาะพะงัน,โรงงาน
4,102,2565,ไชยา,โรงงาน
6,103,2565,คีรีรัฐนิคม,โรงงาน
2,104,2565,บ้านตาขุน,โรงงาน
5,105,2565,พนม,โรงงาน
7,106,2565,ท่าฉาง,โรงงาน
12,107,2565,บ้านนาสาร,โรงงาน
5,108,2565,บ้านนาเดิม,โรงงาน
6,109,2565,เคียนซา,โรงงาน
6,110,2565,เวียงสระ,โรงงาน
8,111,2565,พระแสง,โรงงาน
4,112,2565,ท่าชนะ,โรงงาน
2,113,2565,ชัยบุรี,โรงงาน
2,114,2565,วิภาวดี,โรงงาน
7,115,2566,เมืองสุราษฎร์ธานี,โรงงาน
20,116,2566,กาญจนดิษฐ์,โรงงาน
22,117,2566,พุนพิน,โรงงาน
3,118,2566,ดอนสัก,โรงงาน
3,119,2566,เกาะสมุย,โรงงาน
0,120,2566,เกาะพะงัน,โรงงาน
4,121,2566,ไชยา,โรงงาน
