_id,ค่าเฉลี่ย,หน่วย,เดือน
1,6.95,บาท,ม.ค.
2,7,บาท,ก.พ.
3,6.34,บาท,มี.ค.
4,5.25,บาท,เม.ย.
5,4.38,บาท,พ.ค.
6,4,บาท,มิ.ย.
7,4.55,บาท,ก.ค.
8,5.75,บาท,ส.ค.
9,6.41,บาท,ก.ย.
10,6.04,บาท,ต.ค.
11,6.41,บาท,พ.ย.
12,6.33,บาท,ธ.ค.
