ลูกจ้างเอกชน,_id,ปี,นายจ้าง,ช่วยธุรกิจครัวเรือน,ทำงานส่วนตัว,ลูกจ้างรัฐบาล,เพศ,ไตรมาส,การรวมกลุ่ม
"41,376",1,2564,"1,633","74,459","147,111","16,895",ชาย,ไตรมาส 1,"2,971"
"25,847",2,2564,"1,566","71,061","109,431","21,494",หญิง,ไตรมาส 1,"2,780"
"41,332",3,2564,"2,939","93,440","148,473","17,914",ชาย,ไตรมาส 2,0
"22,589",4,2564,"3,694","95,769","112,195","29,848",หญิง,ไตรมาส 2,0
"20,458",5,2564,"1,644","106,862","154,450","21,755",ชาย,ไตรมาส 3,0
"21,809",6,2564,"2,210","122,566","111,782","24,032",หญิง,ไตรมาส 3,100
"20,561",7,2564,"1,673","110,299","145,069","20,008",ชาย,ไตรมาส 4,0
"18,849",8,2564,250,"117,266","120,536","21,245",หญิง,ไตรมาส 4,625
"48,978",9,2565,"2,646","65,015","145,340","26,364",ชาย,ไตรมาส 1,0
"20,628",10,2565,"1,183","85,268","103,670","26,287",หญิง,ไตรมาส 1,0
"44,431",11,2565,"3,037","77,383","147,247","23,958",ชาย,ไตรมาส 2,0
"23,517",12,2565,0,"96,962","122,353","25,166",หญิง,ไตรมาส 2,0
"36,358",13,2565,"2,231","93,133","139,549","20,714",ชาย,ไตรมาส 3,0
"18,848",14,2565,0,"97,230","126,057","22,093",หญิง,ไตรมาส 3,0
"25,863",15,2565,"2,463","101,154","141,544","26,144",ชาย,ไตรมาส 4,0
"13,631",16,2565,"1,230","89,958","124,441","25,100",หญิง,ไตรมาส 4,0
"54,846",17,2566,"2,810","69,390","131,142","21,979",ชาย,ไตรมาส 1,0
"26,497",18,2566,"1,565","79,445","107,330","30,121",หญิง,ไตรมาส 1,0
"39,942",19,2566,"3,600","87,905","151,705","18,576",ชาย,ไตรมาส 2,0
"19,149",20,2566,455,"102,484","118,556","30,594",หญิง,ไตรมาส 2,0
"29,316",21,2566,"1,685","96,385","143,564","21,814",ชาย,ไตรมาส 3,0
"17,110",22,2566,80,"100,484","126,209","21,783",หญิง,ไตรมาส 3,0
"39,609",23,2566,605,"86,326","135,395","24,105",ชาย,ไตรมาส 4,0
"13,512",24,2566,375,"97,261","122,633","24,910",หญิง,ไตรมาส 4,0
"56,665",25,2567,"4,402","75,022","118,021","24,611",ชาย,ไตรมาส 1,0
"31,886",26,2567,394,"78,444","87,675","29,339",หญิง,ไตรมาส 1,0
"45,067",27,2567,"2,006","86,112","122,936","22,181",ชาย,ไตรมาส 2,0
"25,737",28,2567,0,"88,185","106,647","27,699",หญิง,ไตรมาส 2,0
"43,663",29,2567,"1,547","92,774","129,386","28,339",ชาย,ไตรมาส 3,0
"24,567",30,2567,495,"105,635","120,412","26,870",หญิง,ไตรมาส 3,0
"52,810",31,2567,"3,545","80,608","128,735","24,266",ชาย,ไตรมาส 4,0
"31,046",32,2567,679,"87,804","115,666","25,350",หญิง,ไตรมาส 4,0
"43,841",33,2568,"4,363",86064.87,120361.16,22820.8,หญิง,ไตรมาส 1,0
"35,130",34,2568,870,83199.73,104734.5,28351.19,ชาย,ไตรมาส 1,0
