ที่มา,_id,ปี,ค่าข้อมูล (รวม),รายการ,จังหวัด,หน่วย
สำนักงานสถิติจังหวัดชัยนาท,1,2561,"12,458",ค่าจ้างหรือเงินเดือนเฉลี่ยของผู้สูงอายุที่ทำงาน,ชัยนาท,บาท
สำนักงานสถิติจังหวัดชัยนาท,2,2562,"9,238",ค่าจ้างหรือเงินเดือนเฉลี่ยของผู้สูงอายุที่ทำงาน,ชัยนาท,บาท
สำนักงานสถิติจังหวัดชัยนาท,3,2563,"7,043",ค่าจ้างหรือเงินเดือนเฉลี่ยของผู้สูงอายุที่ทำงาน,ชัยนาท,บาท
สำนักงานสถิติจังหวัดชัยนาท,4,2564,"13,963",ค่าจ้างหรือเงินเดือนเฉลี่ยของผู้สูงอายุที่ทำงาน,ชัยนาท,บาท
สำนักงานสถิติจังหวัดชัยนาท,5,2565,"11,427",ค่าจ้างหรือเงินเดือนเฉลี่ยของผู้สูงอายุที่ทำงาน,ชัยนาท,บาท
สำนักงานสถิติจังหวัดชัยนาท,6,2566,"8,181",ค่าจ้างหรือเงินเดือนเฉลี่ยของผู้สูงอายุที่ทำงาน,ชัยนาท,บาท
สำนักงานสถิติจังหวัดชัยนาท,7,2567,"9,049",ค่าจ้างหรือเงินเดือนเฉลี่ยของผู้สูงอายุที่ทำงาน,ชัยนาท,บาท
สำนักงานสถิติจังหวัดชัยนาท,8,2568,"8,631",ค่าจ้างหรือเงินเดือนเฉลี่ยของผู้สูงอายุที่ทำงาน,ชัยนาท,บาท
