_id,ปี,ครัวเรือน,กล้วยหอม(มูลค่า),กล้วยไข่,อำเภอ,กล้วยหอม,กล้วยไข่(มูลค่า),กล้วยน้ำว้า,กล้วยน้ำว้า(มูลค่า)
1,2563,448,12,10,เมืองตาก,0.29,0.1,7,10.57
2,2563,152,12,10,บ้านตาก,0.14,0.87,7,2.04
3,2563,81,12,10,สามเงา,0.42,12.95,7,2.27
4,2563,113,12,10,แม่ระมาด,0.1,0.02,7,5
5,2563,53,12,10,ท่าสองยาง,0.16,0.04,7,2.98
6,2563,165,12,10,แม่สอด,0.59,0.01,7,8.18
7,2563,83,12,10,พบพระ,31.08,3.7,7,5.48
8,2563,245,12,10,อุ้มผาง,0.97,0.59,7,19.26
9,2563,49,12,10,วังเจ้า,0.26,2.82,7,2.39
10,2564,297,11,11,เมืองตาก,0.11,0.05,8,12.09
11,2564,77,11,11,บ้านตาก,0.04,0.03,8,1.83
12,2564,131,11,11,สามเงา,0.07,2.52,8,4.27
13,2564,95,11,11,แม่ระมาด,0.01,,8,9.58
14,2564,19,11,11,ท่าสองยาง,0.14,,8,1.03
15,2564,117,11,11,แม่สอด,0.04,0.51,8,8.76
16,2564,85,11,11,พบพระ,5.01,1.02,8,3.62
17,2564,219,11,11,อุ้มผาง,0.17,,8,23.66
18,2564,35,11,11,วังเจ้า,0.1,1.25,8,2.84
19,2565,223,10,10,เมืองตาก,0.04,0.02,6,7
20,2565,64,10,10,บ้านตาก,0.04,0.05,6,1.18
21,2565,174,10,10,สามเงา,0.19,2.81,6,4.36
22,2565,91,10,10,แม่ระมาด,0.03,,6,5.09
23,2565,24,10,10,ท่าสองยาง,0.11,0.01,6,0.76
24,2565,133,10,10,แม่สอด,0.05,1.49,6,7.81
25,2565,73,10,10,พบพระ,5.01,1.39,6,1.44
26,2565,210,10,10,อุ้มผาง,0.18,0.09,6,17.04
27,2565,33,10,10,วังเจ้า,,1.13,6,1.68
28,2566,195,15,15,เมืองตาก,0.08,0.07,6,6.27
29,2566,73,15,15,บ้านตาก,0.01,0.42,6,0.98
30,2566,290,15,15,สามเงา,0.07,16.32,6,1.93
31,2566,81,15,15,แม่ระมาด,0.01,,6,4.32
32,2566,16,15,15,ท่าสองยาง,0.03,,6,0.72
33,2566,106,15,15,แม่สอด,3.86,0.01,6,5.31
34,2566,55,15,15,พบพระ,4.34,1.31,6,2.15
35,2566,215,15,15,อุ้มผาง,0.17,0.13,6,17.35
36,2566,29,15,15,วังเจ้า,0.03,1.61,6,1.35
37,2567,198,20,20,เมืองตาก,0.09,0.1,6,5.99
38,2567,61,20,20,บ้านตาก,0.03,0.25,6,0.82
39,2567,314,20,20,สามเงา,0.07,32.58,6,1
40,2567,52,20,20,แม่ระมาด,0.02,,6,3.26
41,2567,18,20,20,ท่าสองยาง,0.01,,6,1.17
42,2567,97,20,20,แม่สอด,0.01,,6,5.61
43,2567,100,20,20,พบพระ,11.75,0.84,6,3.11
44,2567,178,20,20,อุ้มผาง,0.14,0.2,6,13.81
45,2567,32,20,20,วังเจ้า,0.02,2.26,6,1.93
