﻿year,level_of_edu,_id,value,unit,source
2559,ประถมศึกษาและต่ำกว่า,1,3.89,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,มัธยมศึกษา,2,21.67,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,อนุปริญญา,3,9.24,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,ปริญญาตรีขึ้นไป,4,65.01,ร้อยละ,สำนักงานสถิติแห่งชาติ
2559,อื่นๆ,5,0.19,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ประถมศึกษาและต่ำกว่า,6,3.77,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,มัธยมศึกษา,7,20.49,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,อนุปริญญา,8,10.98,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,ปริญญาตรีขึ้นไป,9,64.44,ร้อยละ,สำนักงานสถิติแห่งชาติ
2560,อื่นๆ,10,0.32,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ประถมศึกษาและต่ำกว่า,11,3.15,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,มัธยมศึกษา,12,20.71,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,อนุปริญญา,13,10.77,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,ปริญญาตรีขึ้นไป,14,65.02,ร้อยละ,สำนักงานสถิติแห่งชาติ
2561,อื่นๆ,15,0.35,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,ประถมศึกษาและต่ำกว่า,16,2.89,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,มัธยมศึกษา,17,20.22,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,อนุปริญญา,18,11.19,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,ปริญญาตรีขึ้นไป,19,65.39,ร้อยละ,สำนักงานสถิติแห่งชาติ
2562,อื่นๆ,20,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,ประถมศึกษาและต่ำกว่า,21,2.65,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,มัธยมศึกษา,22,20.48,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,อนุปริญญา,23,9.53,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,ปริญญาตรีขึ้นไป,24,67.19,ร้อยละ,สำนักงานสถิติแห่งชาติ
2563,อื่นๆ,25,0.14,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,ประถมศึกษาและต่ำกว่า,26,3.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,มัธยมศึกษา,27,23.09,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,อนุปริญญา,28,10.75,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,ปริญญาตรีขึ้นไป,29,62.71,ร้อยละ,สำนักงานสถิติแห่งชาติ
2564,อื่นๆ,30,0.12,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,ประถมศึกษาและต่ำกว่า,31,2.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,มัธยมศึกษา,32,25.24,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,อนุปริญญา,33,10.78,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,ปริญญาตรีขึ้นไป,34,60.89,ร้อยละ,สำนักงานสถิติแห่งชาติ
2565,อื่นๆ,35,0.19,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,ประถมศึกษาและต่ำกว่า,36,2.71,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,มัธยมศึกษา,37,25.52,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,อนุปริญญา,38,10.12,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,ปริญญาตรีขึ้นไป,39,61.35,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,อื่นๆ,40,0.31,ร้อยละ,สำนักงานสถิติแห่งชาติ
