จำนวน,ที่มา,ชนิดพืช,_id,ปี,หน่วย
" 12,682.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,1,2561, ไร่ 
" 11,918.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,2,2561, ไร่ 
 880.00 ,สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,3,2561, ไร่ 
" 1,136.50 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,4,2561, ไร่ 
" 14,729.50 ",สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,5,2561, ไร่ 
" 1,284.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,6,2561, ไร่ 
 789.50 ,สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,7,2561, ไร่ 
 470.00 ,สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,8,2561, ไร่ 
 644.25 ,สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,9,2561, ไร่ 
 271.00 ,สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,10,2561, ไร่ 
 780.50 ,สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,11,2561, ไร่ 
" 20,829.50 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,12,2562, ไร่ 
" 15,148.50 ",สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,13,2562, ไร่ 
" 1,319.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,14,2562, ไร่ 
" 1,807.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,15,2562, ไร่ 
" 9,904.50 ",สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,16,2562, ไร่ 
" 2,375.75 ",สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,17,2562, ไร่ 
" 1,357.50 ",สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,18,2562, ไร่ 
" 1,101.25 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,19,2562, ไร่ 
" 1,614.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,20,2562, ไร่ 
 378.50 ,สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,21,2562, ไร่ 
" 1,165.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,22,2562, ไร่ 
" 18,073.50 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,23,2563, ไร่ 
" 15,906.50 ",สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,24,2563, ไร่ 
" 1,424.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,25,2563, ไร่ 
" 2,108.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,26,2563, ไร่ 
" 12,119.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,27,2563, ไร่ 
" 2,562.75 ",สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,28,2563, ไร่ 
" 1,600.50 ",สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,29,2563, ไร่ 
" 1,213.50 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,30,2563, ไร่ 
" 1,590.75 ",สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,31,2563, ไร่ 
 317.00 ,สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,32,2563, ไร่ 
 636.75 ,สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,33,2563, ไร่ 
" 19,552.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,34,2564, ไร่ 
" 16,835.50 ",สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,35,2564, ไร่ 
" 1,568.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,36,2564, ไร่ 
" 1,765.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,37,2564, ไร่ 
" 14,560.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,38,2564, ไร่ 
" 3,561.75 ",สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,39,2564, ไร่ 
" 1,707.25 ",สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,40,2564, ไร่ 
" 1,169.75 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,41,2564, ไร่ 
" 1,785.25 ",สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,42,2564, ไร่ 
 320.00 ,สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,43,2564, ไร่ 
 779.25 ,สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,44,2564, ไร่ 
" 22,899.50 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,45,2565, ไร่ 
" 17,050.75 ",สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,46,2565, ไร่ 
" 1,841.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,47,2565, ไร่ 
" 2,974.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,48,2565, ไร่ 
" 13,717.00 ",สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,49,2565, ไร่ 
