_id,ปี,มูลค่า (บาท),อำเภอ,พื้นที่เสียหาย (ไร่)
1,2564,0.0,เมืองอุทัยธานี,0.0
2,2564,58882959.88,ทัพทัน,9309.5
3,2564,88069856.96,สว่างอารมณ์,13924.0
4,2564,8197251.84,หนองฉาง,1296.0
5,2564,215051.36,หนองขาหย่าง,34.0
6,2564,0.0,บ้านไร่,0.0
7,2564,0.0,ลานสัก,0.0
8,2564,0.0,ห้วยคต,0.0
9,2566,0.0,เมืองอุทัยธานี,0.0
10,2566,9063112.0,ทัพทัน,3532.0
11,2566,11703064.12,สว่างอารมณ์,4560.82
12,2566,0.0,หนองฉาง,0.0
13,2566,0.0,หนองขาหย่าง,0.0
14,2566,0.0,บ้านไร่,0.0
15,2566,29509.0,ลานสัก,11.5
16,2566,0.0,ห้วยคต,0.0
