VALUE,QUARTER,SOURCE,_id,SEX,HOURS_WEEK,UNIT,REGION,YEAR
188.7,ไตรมาสที่ 2,สำนักงานสถิติแห่งชาติ,1,ชาย, 35-39 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
83.9,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,2,หญิง, 20-29 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
140.7,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,3,หญิง, 30-34 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
184.4,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,4,หญิง, 35-39 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
1681.2,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,5,หญิง, 40-49 ชั่วโมง,พันคน,กรุงเทพมหานคร,2563
375.8,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,6,หญิง, 50 ชั่วโมงขึ้นไป,พันคน,กรุงเทพมหานคร,2563
77.8,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,7,ชาย, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคกลาง,2563
55.9,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,8,ชาย, 10-19 ชั่วโมง,พันคน,ภาคกลาง,2563
250.1,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,9,ชาย, 20-29 ชั่วโมง,พันคน,ภาคกลาง,2563
289.5,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,10,ชาย, 30-34 ชั่วโมง,พันคน,ภาคกลาง,2563
571.4,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,11,ชาย, 35-39 ชั่วโมง,พันคน,ภาคกลาง,2563
4118.8,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,12,ชาย, 40-49 ชั่วโมง,พันคน,ภาคกลาง,2563
1024.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,13,ชาย, 50 ชั่วโมงขึ้นไป,พันคน,ภาคกลาง,2563
67.3,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,14,หญิง, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคกลาง,2563
59.1,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,15,หญิง, 10-19 ชั่วโมง,พันคน,ภาคกลาง,2563
248.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,16,หญิง, 20-29 ชั่วโมง,พันคน,ภาคกลาง,2563
230.9,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,17,หญิง, 30-34 ชั่วโมง,พันคน,ภาคกลาง,2563
620.2,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,18,หญิง, 35-39 ชั่วโมง,พันคน,ภาคกลาง,2563
3364.7,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,19,หญิง, 40-49 ชั่วโมง,พันคน,ภาคกลาง,2563
801.3,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,20,หญิง, 50 ชั่วโมงขึ้นไป,พันคน,ภาคกลาง,2563
31.8,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,21,ชาย, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคเหนือ,2563
70.3,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,22,ชาย, 10-19 ชั่วโมง,พันคน,ภาคเหนือ,2563
299.3,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,23,ชาย, 20-29 ชั่วโมง,พันคน,ภาคเหนือ,2563
275.9,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,24,ชาย, 30-34 ชั่วโมง,พันคน,ภาคเหนือ,2563
414.0,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,25,ชาย, 35-39 ชั่วโมง,พันคน,ภาคเหนือ,2563
1686.7,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,26,ชาย, 40-49 ชั่วโมง,พันคน,ภาคเหนือ,2563
571.2,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,27,ชาย, 50 ชั่วโมงขึ้นไป,พันคน,ภาคเหนือ,2563
32.1,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,28,หญิง, น้อยกว่า 10 ชั่วโมง,พันคน,ภาคเหนือ,2563
84.2,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,29,หญิง, 10-19 ชั่วโมง,พันคน,ภาคเหนือ,2563
274.4,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,30,หญิง, 20-29 ชั่วโมง,พันคน,ภาคเหนือ,2563
231.7,ไตรมาสที่ 3,สำนักงานสถิติแห่งชาติ,31,หญิง, 30-34 ชั่วโมง,พันคน,ภาคเหนือ,2563
