ค่าข้อมูล,ที่มา,_id,ปี,หน่วยนับ,รายการ
"1,367.64",สำนักงานเกษตรจังหวัดนครพนม,1,2561,กิโลกรัมต่อไร่,ปริมาณผลผลิตลิ้นจี่ นพ.1
48.1,สำนักงานเกษตรจังหวัดนครพนม,2,2562,กิโลกรัมต่อไร่,ปริมาณผลผลิตลิ้นจี่ นพ.1
577.95,สำนักงานเกษตรจังหวัดนครพนม,3,2563,กิโลกรัมต่อไร่,ปริมาณผลผลิตลิ้นจี่ นพ.1
-,สำนักงานเกษตรจังหวัดนครพนม,4,2564,กิโลกรัมต่อไร่,ปริมาณผลผลิตลิ้นจี่ นพ.1
773,สำนักงานเกษตรจังหวัดนครพนม,5,2565,กิโลกรัมต่อไร่,ปริมาณผลผลิตลิ้นจี่ นพ.1
773,สำนักงานเกษตรจังหวัดนครพนม,6,2566,กิโลกรัมต่อไร่,ปริมาณผลผลิตลิ้นจี่ นพ.1
285,สำนักงานเกษตรจังหวัดนครพนม,7,2567,กิโลกรัมต่อไร่,ปริมาณผลผลิตลิ้นจี่ นพ.2
695,สำนักงานเกษตรจังหวัดนครพนม,8,2568,กิโลกรัมต่อไร่,ปริมาณผลผลิตลิ้นจี่ นพ.3
