ที่มา,เนื้อที่เพาะปลูก,_id,ปี,ชนิด,เนื้อที่เก็บเกี่ยว,หน่วย
สำนักงานเกษตรจังหวัดสมุทรปราการ,"2,489",1,2562,กล้วยน้ำว้า,"1,475",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,618,2,2562,กล้วยหอม,275,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"11,120",3,2562,มะม่วง,"6,060",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"3,875",4,2562,มะพร้าว,"2,367",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,561",5,2562,มะพร้าวอ่อน,"1,104",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"2,505",6,2563,กล้วยน้ำว้า,"1,438",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,668,7,2563,กล้วยหอม,255,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"8,194",8,2563,มะม่วง,"6,768",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,532",9,2563,มะพร้าว,"1,109",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"2,446",10,2563,มะพร้าวอ่อน,"1,753",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,986",11,2564,กล้วยน้ำว้า,"1,864",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,236,12,2564,กล้วยหอม,207,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"7,010",13,2564,มะม่วง,"6,850",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,709",14,2564,มะพร้าว,"1,662",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,844",15,2564,มะพร้าวอ่อน,"1,805",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"2,355",16,2565,กล้วยน้ำว้า,"2,278",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,273,17,2565,กล้วยหอม,238,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"2,488",18,2565,มะม่วง,"2,432",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,219",19,2565,มะพร้าว,"1,184",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"2,376",20,2565,มะพร้าวอ่อน,"2,341",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,043",21,2566,กล้วยน้ำว้า,"1,029",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,248,22,2566,กล้วยหอม,230,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"2,694",23,2566,มะม่วง,"2,510",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"2,067",24,2566,มะพร้าว,"1,984",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,152",25,2566,มะพร้าวอ่อน,"1,089",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,019",26,2567,กล้วยน้ำว้า,"1,005",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,203,27,2567,กล้วยหอม,195,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"2,654",28,2567,มะม่วง,"2,570",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,744,29,2567,มะพร้าว,726,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"1,101",30,2567,มะพร้าวอ่อน,"1,083",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,822,31,2568,กล้วยน้ำว้า,808,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,321,32,2568,กล้วยหอม,313,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,"2,854",33,2568,มะม่วง,"2,770",ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,548,34,2568,มะพร้าว,530,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,1088,35,2568,มะพร้าวอ่อน,"1,070",ไร่
