จำนวน,ประเภท,ที่มา,_id,ปี,ลำดับ,หน่วย
"9,863,939.60",ถูกเลิกจ้าง,สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,1,บาท
"63,611,852.75",สมัครใจลาออก,สำนักงานประกันสังคมจังหวัดลพบุรี,2,2565,2,บาท
"4,150,787.75",สิ้นสุดสัญญาจ้าง,สำนักงานประกันสังคมจังหวัดลพบุรี,3,2565,3,บาท
"11,603,430.35",ถูกเลิกจ้าง,สำนักงานประกันสังคมจังหวัดลพบุรี,4,2566,4,บาท
"53,082,769.00",สมัครใจลาออก,สำนักงานประกันสังคมจังหวัดลพบุรี,5,2566,5,บาท
"3,439,442.90",สิ้นสุดสัญญาจ้าง,สำนักงานประกันสังคมจังหวัดลพบุรี,6,2566,6,บาท
"12,090,784.65",ถูกเลิกจ้าง,สำนักงานประกันสังคมจังหวัดลพบุรี,7,2567,7,บาท
"45,714,830.75",สมัครใจลาออก,สำนักงานประกันสังคมจังหวัดลพบุรี,8,2567,8,บาท
"2,239,610.85",สิ้นสุดสัญญาจ้าง,สำนักงานประกันสังคมจังหวัดลพบุรี,9,2567,9,บาท
