ค่าข้อมูล,ที่มา,_id,ชื่อชุดข้อมูล,ปี,หน่วยวัด,พืช
673791,สำนักงานเกษตรจังหวัดเพชรบูรณ์,1,ผลผลิตทางการเกษตรด้านพืช,2564,ตัน,ข้าวนาปี
40142,สำนักงานเกษตรจังหวัดเพชรบูรณ์,2,ผลผลิตทางการเกษตรด้านพืช,2564,ตัน,ข้าวนาปรัง
530219,สำนักงานเกษตรจังหวัดเพชรบูรณ์,3,ผลผลิตทางการเกษตรด้านพืช,2564,ตัน,ข้าวโพดเลี้ยงสัตว์
1154313.34,สำนักงานเกษตรจังหวัดเพชรบูรณ์,4,ผลผลิตทางการเกษตรด้านพืช,2564,ตัน,อ้อย
51160,สำนักงานเกษตรจังหวัดเพชรบูรณ์,5,ผลผลิตทางการเกษตรด้านพืช,2564,ตัน,มะขามหวาน
830132,สำนักงานเกษตรจังหวัดเพชรบูรณ์,6,ผลผลิตทางการเกษตรด้านพืช,2565,ตัน,ข้าวนาปี
21425,สำนักงานเกษตรจังหวัดเพชรบูรณ์,7,ผลผลิตทางการเกษตรด้านพืช,2565,ตัน,ข้าวนาปรัง
474466,สำนักงานเกษตรจังหวัดเพชรบูรณ์,8,ผลผลิตทางการเกษตรด้านพืช,2565,ตัน,ข้าวโพดเลี้ยงสัตว์
1686387,สำนักงานเกษตรจังหวัดเพชรบูรณ์,9,ผลผลิตทางการเกษตรด้านพืช,2565,ตัน,อ้อย
52854,สำนักงานเกษตรจังหวัดเพชรบูรณ์,10,ผลผลิตทางการเกษตรด้านพืช,2565,ตัน,มะขามหวาน
751695,สำนักงานเกษตรจังหวัดเพชรบูรณ์,11,ผลผลิตทางการเกษตรด้านพืช,2566,ตัน,ข้าวนาปี
26549,สำนักงานเกษตรจังหวัดเพชรบูรณ์,12,ผลผลิตทางการเกษตรด้านพืช,2566,ตัน,ข้าวนาปรัง
556131,สำนักงานเกษตรจังหวัดเพชรบูรณ์,13,ผลผลิตทางการเกษตรด้านพืช,2566,ตัน,ข้าวโพดเลี้ยงสัตว์
3550310.3,สำนักงานเกษตรจังหวัดเพชรบูรณ์,14,ผลผลิตทางการเกษตรด้านพืช,2566,ตัน,อ้อย
25690,สำนักงานเกษตรจังหวัดเพชรบูรณ์,15,ผลผลิตทางการเกษตรด้านพืช,2566,ตัน,มะขามหวาน
697107,สำนักงานเกษตรจังหวัดเพชรบูรณ์,16,ผลผลิตทางการเกษตรด้านพืช,2567,ตัน,ข้าวนาปี
26086,สำนักงานเกษตรจังหวัดเพชรบูรณ์,17,ผลผลิตทางการเกษตรด้านพืช,2567,ตัน,ข้าวนาปรัง
502076,สำนักงานเกษตรจังหวัดเพชรบูรณ์,18,ผลผลิตทางการเกษตรด้านพืช,2567,ตัน,ข้าวโพดเลี้ยงสัตว์
3343570,สำนักงานเกษตรจังหวัดเพชรบูรณ์,19,ผลผลิตทางการเกษตรด้านพืช,2567,ตัน,อ้อย
25689,สำนักงานเกษตรจังหวัดเพชรบูรณ์,20,ผลผลิตทางการเกษตรด้านพืช,2567,ตัน,มะขามหวาน
724356.291,สำนักงานเกษตรจังหวัดเพชรบูรณ์,21,ผลผลิตทางการเกษตรด้านพืช,2568,ตัน,ข้าวนาปี
41019.27,สำนักงานเกษตรจังหวัดเพชรบูรณ์,22,ผลผลิตทางการเกษตรด้านพืช,2568,ตัน,ข้าวนาปรัง
522784.8182,สำนักงานเกษตรจังหวัดเพชรบูรณ์,23,ผลผลิตทางการเกษตรด้านพืช,2568,ตัน,ข้าวโพดเลี้ยงสัตว์
4017254.304,สำนักงานเกษตรจังหวัดเพชรบูรณ์,24,ผลผลิตทางการเกษตรด้านพืช,2568,ตัน,อ้อย
34286.36546,สำนักงานเกษตรจังหวัดเพชรบูรณ์,25,ผลผลิตทางการเกษตรด้านพืช,2568,ตัน,มะขามหวาน
