จำนวน,_id,ปี,ประเภทแรงงาน,อาชีพ
" 46,663 ",1,2568,แรงงานในระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
" 76,092 ",2,2568,แรงงานในระบบ,วิชาชีพด้านต่าง ๆ
" 85,601 ",3,2568,แรงงานในระบบ,วิชาชีพด้านเทคนิค
" 105,597 ",4,2568,แรงงานในระบบ,เสมียน
" 163,643 ",5,2568,แรงงานในระบบ,พนักงานบริการ
" 9,515 ",6,2568,แรงงานในระบบ,ด้านเกษตรและประมง
" 127,880 ",7,2568,แรงงานในระบบ,ด้านความสามารถทางฝีมือ
" 329,292 ",8,2568,แรงงานในระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
" 174,305 ",9,2568,แรงงานในระบบ,อาชีพพื้นฐานต่าง ๆ
" 97,989 ",10,2568,แรงงานในระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
" 7,640 ",11,2568,แรงงานนอกระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
" 2,104 ",12,2568,แรงงานนอกระบบ,วิชาชีพด้านต่าง ๆ
" 5,813 ",13,2568,แรงงานนอกระบบ,วิชาชีพด้านเทคนิค
" 1,027 ",14,2568,แรงงานนอกระบบ,เสมียน
" 108,971 ",15,2568,แรงงานนอกระบบ,พนักงานบริการ
" 57,923 ",16,2568,แรงงานนอกระบบ,ด้านเกษตรและประมง
" 17,123 ",17,2568,แรงงานนอกระบบ,ด้านความสามารถทางฝีมือ
" 48,141 ",18,2568,แรงงานนอกระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
" 33,470 ",19,2568,แรงงานนอกระบบ,อาชีพพื้นฐานต่าง ๆ
" 7,041 ",20,2568,แรงงานนอกระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"36,804",21,2567,แรงงานในระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
"86,940",22,2567,แรงงานในระบบ,วิชาชีพด้านต่าง ๆ
"103,569",23,2567,แรงงานในระบบ,วิชาชีพด้านเทคนิค
"118,617",24,2567,แรงงานในระบบ,เสมียน
"161,387",25,2567,แรงงานในระบบ,พนักงานบริการ
"10,436",26,2567,แรงงานในระบบ,ด้านเกษตรและประมง
"187,719",27,2567,แรงงานในระบบ,ด้านความสามารถทางฝีมือ
"299,668",28,2567,แรงงานในระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
"160,134",29,2567,แรงงานในระบบ,อาชีพพื้นฐานต่าง ๆ
"29,605",30,2567,แรงงานในระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
"17,274",31,2567,แรงงานนอกระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
"5,179",32,2567,แรงงานนอกระบบ,วิชาชีพด้านต่าง ๆ
"8,312",33,2567,แรงงานนอกระบบ,วิชาชีพด้านเทคนิค
"1,834",34,2567,แรงงานนอกระบบ,เสมียน
"136,250",35,2567,แรงงานนอกระบบ,พนักงานบริการ
"11,130",36,2567,แรงงานนอกระบบ,ด้านเกษตรและประมง
"26,214",37,2567,แรงงานนอกระบบ,ด้านความสามารถทางฝีมือ
"64,204",38,2567,แรงงานนอกระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
"28,293",39,2567,แรงงานนอกระบบ,อาชีพพื้นฐานต่าง ๆ
"2,317",40,2567,แรงงานนอกระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
69776,41,2566,แรงงานในระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
95832,42,2566,แรงงานในระบบ,วิชาชีพด้านต่าง ๆ
125812,43,2566,แรงงานในระบบ,วิชาชีพด้านเทคนิค
155373,44,2566,แรงงานในระบบ,เสมียน
166118,45,2566,แรงงานในระบบ,พนักงานบริการ
4446,46,2566,แรงงานในระบบ,ด้านเกษตรและประมง
206349,47,2566,แรงงานในระบบ,ด้านความสามารถทางฝีมือ
325993,48,2566,แรงงานในระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
139098,49,2566,แรงงานในระบบ,อาชีพพื้นฐานต่าง ๆ
5706,50,2566,แรงงานในระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
14254,51,2566,แรงงานนอกระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
0,52,2566,แรงงานนอกระบบ,วิชาชีพด้านต่าง ๆ
16668,53,2566,แรงงานนอกระบบ,วิชาชีพด้านเทคนิค
0,54,2566,แรงงานนอกระบบ,เสมียน
83114,55,2566,แรงงานนอกระบบ,พนักงานบริการ
25247,56,2566,แรงงานนอกระบบ,ด้านเกษตรและประมง
22761,57,2566,แรงงานนอกระบบ,ด้านความสามารถทางฝีมือ
35011,58,2566,แรงงานนอกระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
14925,59,2566,แรงงานนอกระบบ,อาชีพพื้นฐานต่าง ๆ
0,60,2566,แรงงานนอกระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
57862,61,2565,แรงงานในระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
109925,62,2565,แรงงานในระบบ,วิชาชีพด้านต่าง ๆ
152095,63,2565,แรงงานในระบบ,วิชาชีพด้านเทคนิค
118365,64,2565,แรงงานในระบบ,เสมียน
165973,65,2565,แรงงานในระบบ,พนักงานบริการ
6874,66,2565,แรงงานในระบบ,ด้านเกษตรและประมง
207759,67,2565,แรงงานในระบบ,ด้านความสามารถทางฝีมือ
344962,68,2565,แรงงานในระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
109478,69,2565,แรงงานในระบบ,อาชีพพื้นฐานต่าง ๆ
4031,70,2565,แรงงานในระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
7224,71,2565,แรงงานนอกระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
1138,72,2565,แรงงานนอกระบบ,วิชาชีพด้านต่าง ๆ
8749,73,2565,แรงงานนอกระบบ,วิชาชีพด้านเทคนิค
2782,74,2565,แรงงานนอกระบบ,เสมียน
69081,75,2565,แรงงานนอกระบบ,พนักงานบริการ
18663,76,2565,แรงงานนอกระบบ,ด้านเกษตรและประมง
8498,77,2565,แรงงานนอกระบบ,ด้านความสามารถทางฝีมือ
11471,78,2565,แรงงานนอกระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
4269,79,2565,แรงงานนอกระบบ,อาชีพพื้นฐานต่าง ๆ
0,80,2565,แรงงานนอกระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
25229,81,2564,แรงงานในระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
74136,82,2564,แรงงานในระบบ,วิชาชีพด้านต่าง ๆ
115739,83,2564,แรงงานในระบบ,วิชาชีพด้านเทคนิค
124478,84,2564,แรงงานในระบบ,เสมียน
120106,85,2564,แรงงานในระบบ,พนักงานบริการ
4886,86,2564,แรงงานในระบบ,ด้านเกษตรและประมง
159630,87,2564,แรงงานในระบบ,ด้านความสามารถทางฝีมือ
395279,88,2564,แรงงานในระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
81751,89,2564,แรงงานในระบบ,อาชีพพื้นฐานต่าง ๆ
1458,90,2564,แรงงานในระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
21614,91,2564,แรงงานนอกระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
3035,92,2564,แรงงานนอกระบบ,วิชาชีพด้านต่าง ๆ
8628,93,2564,แรงงานนอกระบบ,วิชาชีพด้านเทคนิค
912,94,2564,แรงงานนอกระบบ,เสมียน
146093,95,2564,แรงงานนอกระบบ,พนักงานบริการ
8633,96,2564,แรงงานนอกระบบ,ด้านเกษตรและประมง
35547,97,2564,แรงงานนอกระบบ,ด้านความสามารถทางฝีมือ
25803,98,2564,แรงงานนอกระบบ,ผู้ปฏิบัติงานโรงงานเครื่องจักร
9075,99,2564,แรงงานนอกระบบ,อาชีพพื้นฐานต่าง ๆ
0,100,2564,แรงงานนอกระบบ,คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น
75654,101,2563,แรงงานในระบบ,ผู้บัญญัติกฎหมายและผู้จัดการ
88670,102,2563,แรงงานในระบบ,วิชาชีพด้านต่าง ๆ
