เงินทุนหมุนเวียน,_id,หน่วยงานเจ้าของ,หน่วย,ชื่อโรงงาน,ปีที่ได้รับอนุญาต,ตำบล,อำเภอ,TSIC,รหัสประเภท
100000000,1,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท สหเรือง จำกัด,2536,บางทรายใหญ่,เมืองมุกดาหาร,10721,1103
1000000,2,สำนักงานอุตสาหกรรมจังหวัด,บาท,พาวเวอร์พี แอนด์รีไซเคิล,2536,คำอาฮวน,เมืองมุกดาหาร,22220,5304
500000,3,สำนักงานอุตสาหกรรมจังหวัด,บาท,สนิทภัณฑ์อุตสาหกรรมห้องเย็น,2536,มุกดาหาร,เมืองมุกดาหาร,52101,9200
"600,000.00",4,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด โรงสีกิมเจ็กซินมุกดาหาร,2536,มุกดาหาร,เมืองมุกดาหาร,10611,901
"100,000.00",5,สำนักงานอุตสาหกรรมจังหวัด,บาท,โรงกลึงเทคนิคยนต์,2536,มุกดาหาร,เมืองมุกดาหาร,25922,6413
1000000,6,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ภาคอีสาณอุบล (ตังปัก) สาขามุกดาหาร,2537,มุกดาหาร,เมืองมุกดาหาร,33121,9501
"10,000,000.00",7,สำนักงานอุตสาหกรรมจังหวัด,บาท,โรงน้ำแข็งเกียรติมุกดา,2537,มุกดาหาร,เมืองมุกดาหาร,10795,1400
"10,000,000.00",8,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท มุกดาธัญญทิพย์ จำกัด,2538,มุกดาหาร,เมืองมุกดาหาร,10611,901
2000000,9,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท ริมโขง คอนกรีต จำกัด,2539,บางทรายใหญ่,เมืองมุกดาหาร,23953,5801
10000000,10,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท สยามนิสสันมุกดาหาร จำกัด,2539,มุกดาหาร,เมืองมุกดาหาร,33121,9501
100000,11,สำนักงานอุตสาหกรรมจังหวัด,บาท,สหกิจคาร์แคร์,2539,มุกดาหาร,เมืองมุกดาหาร,33121,9503
500000,12,สำนักงานอุตสาหกรรมจังหวัด,บาท,มุกดาหารคว้านเจียร์,2541,มุกดาหาร,เมืองมุกดาหาร,28110,6500
1000000,13,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท ชัยวัฒนาธร จำกัด,2542,มุกดาหาร,เมืองมุกดาหาร,16101,3401
3000000,14,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ซี เอ็ม เค เอ็นจิเนียริ่ง กรุ๊ป,2543,ศรีบุญเรือง,เมืองมุกดาหาร,23953,5801
200000,15,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ชื่นชนก,2545,บางทรายใหญ่,เมืองมุกดาหาร,10795,1400
600000,16,สำนักงานอุตสาหกรรมจังหวัด,บาท,โรงงานคอนกรีตผสมเสร็จมุกดาหาร,2545,บางทรายใหญ่,เมืองมุกดาหาร,23953,5801
1000000,17,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ป.มุกดาหาร,2545,บางทรายใหญ่,เมืองมุกดาหาร,33151,7501
200000,18,สำนักงานอุตสาหกรรมจังหวัด,บาท,สุริยาการค้า,2546,น้ำเที่ยง,คำชะอี,10611,901
150000,19,สำนักงานอุตสาหกรรมจังหวัด,บาท,ไทยปราณี,2546,บ้านเป้า,หนองสูง,10611,901
500000,20,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด วิบูลย์เอ็นจิเนียริ่ง,2547,มุกดาหาร,เมืองมุกดาหาร,23953,5801
10000,21,สำนักงานอุตสาหกรรมจังหวัด,บาท,อู่ทศพลเซอร์วิส,2547,มุกดาหาร,เมืองมุกดาหาร,33121,9501
500000,22,สำนักงานอุตสาหกรรมจังหวัด,บาท,,2547,มุกดาหาร,เมืองมุกดาหาร,33121,9501
500000,23,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด ประทุมมาประดิษฐกรรมเฟอร์นิเจอร์,2548,นาสีนวน,เมืองมุกดาหาร,16220,3402
100000,24,สำนักงานอุตสาหกรรมจังหวัด,บาท,อู่ต่อเรือศรีเผย,2548,บางทรายใหญ่,เมืองมุกดาหาร,33151,7501
20000000,25,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัดชัยมงคลมุกดาหาร,2549,ศรีบุญเรือง,เมืองมุกดาหาร,19209,5004
0,26,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),2550,คำป่าหลาย,เมืองมุกดาหาร,10612,902
5000000,27,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท โตโยต้ามุกดาหาร(1993) ผู้จำหน่ายโตโยต้า จำกัด,2550,มุกดาหาร,เมืองมุกดาหาร,33121,9501
38000000,28,สำนักงานอุตสาหกรรมจังหวัด,บาท,โรงฆ่าสัตว์สหกรณ์การเกษตรหนองสูง จำกัด,2550,หนองสูงเหนือ,หนองสูง,10111,401
1000000,29,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),2551,คำป่าหลาย,เมืองมุกดาหาร,10621,906
50000,30,สำนักงานอุตสาหกรรมจังหวัด,บาท,วงษ์พาณิชย์,2552,มุกดาหาร,เมืองมุกดาหาร,25999,6411
2000000,31,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด กรเดชมุกดาหาร,2553,บางทรายใหญ่,เมืองมุกดาหาร,10795,1400
5000000,32,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท พรีเมียร์ไบโอเอนเนอร์จี จำกัด,2553,คำป่าหลาย,เมืองมุกดาหาร,35101,8802
90000000,33,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท พรีเมียร์ไบโอเอนเนอร์จี จำกัด,2553,คำป่าหลาย,เมืองมุกดาหาร,20111,8900
2000000,34,สำนักงานอุตสาหกรรมจังหวัด,บาท,อู่เกรียงไกรเคาะพ่นสี,2553,มุกดาหาร,เมืองมุกดาหาร,33121,9501
13000000,35,สำนักงานอุตสาหกรรมจังหวัด,บาท,อู่ทิพย์เซอร์วิส,2553,คำอาฮวน,เมืองมุกดาหาร,33121,9501
80000,36,สำนักงานอุตสาหกรรมจังหวัด,บาท,อู่รุ่งโรจน์,2553,มุกดาหาร,เมืองมุกดาหาร,33121,9501
840000000,37,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท ดงหลวง ควอลลิตี้ สตาร์ช จำกัด,2553,หนองแคน,ดงหลวง,10622,902
40000000,38,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด สมบูรณ์พูนผล,2554,คำป่าหลาย,เมืองมุกดาหาร,10611,901
300000,39,สำนักงานอุตสาหกรรมจังหวัด,บาท,เมืองโขงการเกษตร,2554,คำอาฮวน,เมืองมุกดาหาร,20121,4301
20000000,40,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท ดนุสิริกำพลการโยธา จำกัด,2554,มุกดาหาร,เมืองมุกดาหาร,19209,5004
110000000,41,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท รับเบอร์แลนด์ โปรดักส์ จำกัด,2554,บางทรายใหญ่,เมืองมุกดาหาร,22191,5203
500000000,42,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท เอ็นเทคโพลิเมอร์ จำกัด,2554,คำป่าหลาย,เมืองมุกดาหาร,22191,5203
500000,43,สำนักงานอุตสาหกรรมจังหวัด,บาท,ห้างหุ้นส่วนจำกัด เค เค มุกดาหารก่อสร้าง,2554,กุดแข้,เมืองมุกดาหาร,23953,5801
600000,44,สำนักงานอุตสาหกรรมจังหวัด,บาท,คอนกรีตผสมเสร็จ มุกดาหาร 3,2554,มุกดาหาร,เมืองมุกดาหาร,23953,5801
200000000,45,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท โรงสีมุกธัญญา จำกัด,2555,มุกดาหาร,เมืองมุกดาหาร,10611,901
1000000,46,สำนักงานอุตสาหกรรมจังหวัด,บาท,บริษัท ฟ้ารุ่งค้าไม้ จำกัด,2555,บางทรายใหญ่,เมืองมุกดาหาร,16220,3402
