ค่าข้อมูล,_id,ปี,รายการ,หน่วย
6000,1,2563,จำนวนเนื้อที่เพาะปลูกมะม่วงน้ำดอกไม้  ,ไร่
5448,2,2564,จำนวนเนื้อที่เพาะปลูกมะม่วงน้ำดอกไม้  ,ไร่
5125,3,2565,จำนวนเนื้อที่เพาะปลูกมะม่วงน้ำดอกไม้  ,ไร่
4745,4,2566,จำนวนเนื้อที่เพาะปลูกมะม่วงน้ำดอกไม้  ,ไร่
4400,5,2567,จำนวนเนื้อที่เพาะปลูกมะม่วงน้ำดอกไม้  ,ไร่
