ความเสียหาย (บาท),_id,ปี,ตาย,ตายและบาดเจ็บ (ราย),รับแจ้ง (คดี),บาดเจ็บ
"181,430",1,2562,131,792,"1,607",661
"204,958",2,2563,168,914,"1,312",746
"155,000",3,2564,81,897,"1,269",816
"85,000",4,2565,71,507,676,436
"90,400",5,2566,170,468,"1,306",298
