_id,รายชื่อสถานประกอบการ,ปี,ระดับ
560,บริษัท แลงก้า พลาสติก จำกัด,2565,1
561,บริษัท แอพคอน แฟบริเคชั่น แอนด์ คอนสตรัคชั่น จำกัด,2565,1
562,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,2565,1
563,ลี้เจริญ,2565,1
564,บริษัท บีบีบี อินโนเวชั่น จำกัด,2565,1
565,บริษัท ไจแอนท์ อินเตอร์โฮลดิ้ง จำกัด,2565,1
566,บริษัท โดวะ เมทัลเทค ชลบุรี จำกัด,2565,1
567,ลานมัน ป.มีชัย 2,2565,1
568,บริษัท 331 ราชาคัลเล็ต จำกัด,2565,1
569,บริษัท แทวุง จำกัด,2565,1
570,บริษัท แคนยอน เอเชีย (ไทยแลนด์) จำกัด,2565,1
571,บริษัท คานายามา คาเซอิ (ประเทศไทย) จำกัด,2565,1
572,บริษัท เซอร์พลัส พลาสติก แอนด์ เมทเทิล จำกัด,2565,1
573,บริษัท บัวเงิน จำกัด,2565,1
574,บริษัท เพชร การาจ ออโต้ จำกัด,2565,1
575,บริษัท ศรีราชา แพคกิ้งวู้ด จำกัด (สาขาที่ 6),2565,1
576,บริษัท เอ็มพี แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,2565,1
577,บริษัท เคพีซี คาร์ตัน จำกัด,2565,1
578,นายสมชาย เกตุวัตถา,2565,1
579,ห้างหุ้นส่วนจำกัด พี.เอ็ม.รับเบอร์ ไทร์,2565,1
580,บริษัท มานา แพ็คเกจจิ้ง จำกัด,2565,1
581,บริษัท แด-เอ อีเลคโทรนิคส์ (ประเทศไทย) จำกัด,2565,1
582,บริษัท สิริ เคมิคอล อินดัสตรี้ จำกัด,2565,1
583,ห้างหุ้นส่วนจำกัด อาร์ เอส พลาสติก,2565,1
584,บริษัท เมืองแมนการโยธา จำกัด,2565,1
585,ห้างหุ้นส่วนจำกัด เอส.ที.พี.รีไซเคิล,2565,1
586,บริษัท จิงโกะ โซลาร์ (ไทยแลนด์) จำกัด (ผู้สนับสนุน สหกรณ์ผู้เลี้ยงไก่ไข่ชลบุรี จำกัด),2565,1
587,บริษัท เหยียนยู่ (ประเทศไทย) จำกัด,2565,1
588,บริษัท มาสด้า ชลบุรี จำกัด (มหาชน),2565,1
589,บริษัท พีพีพี พรอสเพอร์ เอ็นจิเนียริ่ง จำกัด,2565,1
590,บริษัท ส.สินนรา ผลิตภัณฑ์คอนกรีต จำกัด,2565,1
591,บริษัท วี เทคนิค รีไซเคิล จำกัด,2565,1
592,บริษัท เจีย เฟิง จำกัด,2565,1
593,นายนพดล แก้วสุข,2565,1
594,บริษัท โชคสหพัฒน์ แอนด์ ซัพพลาย จำกัด,2565,1
595,บริษัท เอ็ม.พี.เอ็นจิเนียริ่ง แอนด์ ซัพพลาย จำกัด,2565,1
596,บริษัท ซาร์คอน (ทีเอช) จำกัด,2565,1
597,บริษัท สุนทรธัญทรัพย์ จำกัด,2565,1
598,นางสาวนันทนา ม่วงโสภา,2565,1
599,บริษัท ไทรุส ครีเอเต็ด เจมส์ จำกัด,2565,1
600,บริษัท ขุมเพชรอินเตอร์พลาส จำกัด,2565,1
601,บริษัท เอคเซลเลนท์ อินดัสตรี้ส์ จำกัด,2565,1
602,บริษัท อู่บ้านบึง บอดี้คาร์ จำกัด,2565,1
603,บริษัท เจ.เอ็น.ทรานสอส (ประเทศไทย) จำกัด,2565,1
604,บริษัท วอเตอร์แอนด์แซนด์สยาม จำกัด,2565,1
605,บริษัท ศลิตา คอนกรีต จำกัด,2565,1
606,บริษัท โชคนำชัยการาจ จำกัด,2565,1
607,สามัคคีการช่าง,2565,1
608,บริษัท สุกใส พลาสติก จำกัด,2565,1
609,บริษัท ไทย อาโอกิ จำกัด,2565,1
610,บริษัท ทอนเทค พรีซิชั่น ทูลลิ่ง (ประเทศไทย) จำกัด,2565,1
611,บริษัท เซอร์เฟส ทรีทเม้นท์ เทคโนโลยี (ประเทศไทย) จำกัด,2565,1
612,บริษัท ไทยล่อน (ไทยแลนด์) จำกัด,2565,1
613,บริษัท แซฟฟรอน ลิฟวิ่ง จำกัด,2565,1
614,บริษัท ชานซ์ เทคโนโลยี จำกัด,2565,1
615,บริษัท คลีน ซิตี้ พาวเวอร์ พัทยา จำกัด,2565,1
616,บริษัท เซกิเนะ เทคโนโลยี (ไทยแลนด์) จำกัด,2565,1
617,บริษัท อีโค่ อินฟินิค จำกัด,2565,1
618,บริษัท กา จิน เทค จำกัด,2565,1
619,บริษัท ยูนิเวอร์แซล แฟคเตอร์รี่ จำกัด,2565,1
620,บริษัท ไทย ยูว่า อาร์ แอนด์ ดี แมนูแฟคเจอริ่ง จำกัด,2565,1
621,บริษัท บุญธรรม ชลบุรี จำกัด,2565,1
622,บริษัท โอกาวา เอเชีย จำกัด,2565,1
623,บี-ควิก สาขาโรบินสัน ชลบุรี,2565,1
624,บริษัท อีซูซุ ตะวันออก ชลบุรี จำกัด,2565,1
625,บริษัท บีเอสเอฟ (ประเทศไทย) จำกัด,2565,1
626,บริษัท พบธรรมเจริญรุ่งเรือง เซอร์วิส จำกัด,2565,1
627,บริษัท ควอลิตี้ สตีล จำกัด,2565,1
628,บริษัท แคมพ์ เอ็นยิเนียริ่ง กรุ๊ป จำกัด,2565,1
629,บริษัท แอสต้า พาวเวอร์ จำกัด (ผู้สนับสนุน สหกรณ์โคนมบ้านบึง จำกัด),2565,1
630,ไบโอเกษตรภัณฑ์,2565,1
631,บริษัท พงศ์นิพิฐ พลาสติก แมนูแฟคเจอริ่ง จำกัด,2565,1
632,บริษัท แอ็ลไลแอ็นซ์ กรุ๊ป จำกัด,2565,1
633,บริษัท มาสด้า ชลบุรี จำกัด (มหาชน),2565,1
634,บริษัท เอชเอพีเอ็ม แมกน่า ซีทติ้ง ซิสเทม (ไทยแลนด์) จำกัด,2565,1
635,บริษัท เอ-เทค พลาสแมท จำกัด,2565,1
636,ห้างหุ้นส่วนจำกัด ณัฐชา ตะวันออก กรุ๊ป,2565,1
637,บริษัท เจ.เอ เซอร์วิส แอนด์ ซัพพลาย จำกัด,2565,1
638,บริษัท ฟลีท เอ็นจิเนียริ่ง จำกัด,2565,1
639,บริษัท ไอโอ้ เทค (ไทยแลนด์) จำกัด,2565,1
640,บริษัท ไทยอีสเทิร์น ไบโอ พาวเวอร์ จำกัด,2565,1
641,บริษัท บี.เค.พลาสติก จำกัด,2565,1
642,บริษัท โชติทิวัตถ์ พลาสติก จำกัด,2565,1
643,บริษัท พนัสรุ่งเจริญ จำกัด,2565,1
644,บริษัท ไทย หยวน แมชชิน (ไทยแลนด์) จำกัด,2565,1
645,ห้างหุ้นส่วนจำกัด เบญจวรรณ คอนสตรัคชั่น แอนด์ เซอร์วิส,2565,1
646,สถานีผลิตน้ำประปา เขาหินลาด,2565,1
647,บริษัท ซิงจุน จำกัด,2565,1
648,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน),2565,1
649,ห้างหุ้นส่วนจำกัด เอ.ซี.อินเตอร์เนชั่นนัลเอนเตอร์ไทรส์,2565,1
650,นายอานนท์ นพเกตุ,2565,1
651,บริษัท อาปา สตีล อินเตอร์เทรด จำกัด,2565,1
652,บริษัท อาร์ซี สตีล จำกัด,2565,1
653,นายพันศักดิ์ สถิตย์ถาวรชัย,2565,1
654,บริษัท ซิลเวอร์เลค วินยาร์ด จำกัด,2565,1
655,บริษัท เค.พี.เอส เปเปอร์ แอนด์ พลาสติก จำกัด,2565,1
656,นางสาวชุลีกร อยู่ให้นาน,2565,1
657,บริษัท ช ทวี จำกัด (มหาชน),2565,1
658,บริษัท วาฟา วีฮิเคิล จำกัด,2565,1
659,บริษัท พีแอนด์ดี เมทัล โปรดักส์ จำกัด,2565,1
660,บริษัท บูรพารวมเศษ จำกัด,2565,1
661,บริษัท แพรคติคัม เอนจิเนียริ่ง จำกัด,2565,1
662,ห้างหุ้นส่วนจำกัด เค.ที.มิกซ์เมทัลแอนด์พลาสติก,2565,1
663,บริษัท มงคลกรีน วู๊ด แอนด์ ซัพพลาย จำกัด,2565,1
664,บริษัท ไทย โบฮีเมียน โลจิสติกส์ แอนด์ ซัพพลาย จำกัด,2565,1
665,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,2565,1
666,บริษัท ไทยตงหลี จำกัด,2565,1
667,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,2565,1
668,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,2565,1
669,บริษัท เอส.วาย.แมนูแฟคเจอรี่ง จำกัด,2565,1
670,ห้างหุ้นส่วนจำกัด เอส.พี.สตีล เอ็นจิเนียริ่ง,2565,1
671,บริษัท ไทยพีพี มินิแฟคทอรี่ จำกัด,2565,1
672,บริษัท วัน ฟาส เทค เอ็นจิเนียริ่ง จำกัด,2565,1
673,บริษัท ซีแคท ชิปส์ จำกัด,2565,1
674,บริษัท เอฟเอ็นที เอนเจิล จำกัด,2565,1
675,บริษัท ซัน ติ่ง จำกัด,2565,1
676,ห้างหุ้นส่วนจำกัด คุณเพื่อคุณ,2565,1
677,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,2565,1
678,บริษัท เอสซีเอ็น พรีซิชั่น อินดัสเตรียล (ไทยแลนด์) จำกัด,2565,1
679,บริษัท ฮีโร่ เอ็นจิเนียริ่ง (ประเทศไทย) จำกัด,2565,1
680,บริษัท เอ.เค.เอส.กรุ๊ป จำกัด,2565,1
681,บริษัท พี ทู เอส เกศเมือง จำกัด,2565,1
682,บริษัท เซจิน ทูบ เทค (ไทยแลนด์) จำกัด,2565,1
683,บริษัท เอสทีวี โมลด์ แอนด์ ดาย จำกัด,2565,1
684,บริษัท ชลวรรษ 1994 จำกัด,2565,1
685,บริษัท ฮัวเหม่ย (ประเทศไทย) จำกัด,2565,1
686,บริษัท เอสเอ็ม คิงส์ ฟรุ๊ต จำกัด,2565,1
687,บริษัท หยังเม่าไทยอินดัสเตรียล จำกัด,2565,1
688,บริษัท ซุปเปอร์ สตีล เอ็นเตอร์ไพรส์ จำกัด,2565,1
689,นายสหชาติ แซ่โค้ว,2565,1
690,บริษัท เจี๋ยเซ่ง พลาสติก จำกัด,2565,1
691,บริษัท จินดา ออโต้ เพ้นท์ จำกัด,2565,1
692,บริษัท สระบุรี เอส ไอ ที ลิสซิ่ง จำกัด,2565,1
693,บริษัท ไทยยนต์ชลบุรี ผู้จำหน่ายโตโยต้า จำกัด,2565,1
694,บริษัท โตโยต้าชัวร์ ไทยยนต์ชลบุรี ยูสคาร์ จำกัด,2565,1
695,บริษัท หยง เหว่ย ไบโอแมส เอ็นเนอจี้ จำกัด,2565,1
696,บริษัท ยู วอน เอ็นอาร์ที (ประเทศไทย) จำกัด,2565,1
697,บริษัท โกลพาร์คส์ จำกัด,2565,1
698,บริษัท ไดเวอร์เจนท์ เวิร์คกรุ๊ป จำกัด,2565,1
699,บริษัท สุรศักดิ์ เมทัล จำกัด,2565,1
700,บริษัท สุรศักดิ์ เมทัล จำกัด,2565,1
701,บริษัท เสบียง 111 จำกัด,2565,1
702,บริษัท วู้ดดรอร์ (ไทยแลนด์) จำกัด,2565,1
703,บริษัท พีวีวู้ด จำกัด,2565,1
704,บริษัท ลาบิกซ์ จำกัด,2565,1
705,บริษัท แอ็ดวานซ์ พรีแฟบ จำกัด,2565,1
706,บริษัท เจ้น ฟา อินดัสเทรียล จำกัด,2565,1
707,บริษัท ไทย โกลเด้น ออยล์ จำกัด,2565,1
708,บริษัท แอล จี เอช เครน จำกัด,2565,1
709,บริษัท ท็อป เอสพีพี จำกัด,2565,1
710,บริษัท บุญณรงค์อุตสาหกรรมพลาสติก จำกัด,2565,1
711,บริษัท วีเอ็มซี โปรไฟล์ จำกัด,2565,1
712,บริษัท ไทยมุ้ย คอร์ปอเรชั่น จำกัด (มหาชน),2565,1
713,บริษัท ซีอาร์เอ็ม โค้ทติ้ง จำกัด,2565,1
714,ห้างหุ้นส่วนจำกัด วิเศษเจริญ การสกรีน,2565,1
715,บริษัท พี.เอ็น.เอส.เอ.เพลทติ้ง จำกัด,2565,1
716,บริษัท เจนเซ่น เอ็นจิเนียริ่ง แอนด์ ซัพพลาย (ประเทศไทย) จำกัด,2565,1
717,บริษัท สุทธิยนต์ไอซ์ จำกัด,2565,1
718,บริษัท ฮัวยี จำกัด,2565,1
719,บริษัท ทีพีซีนิค จำกัด,2565,1
720,บริษัท ชลบุรี ไมนิ่ง จำกัด,2565,1
721,บริษัท วิคเตอร์ พร็อพเพอร์ตี้ กรุ๊ป จำกัด,2565,1
722,บริษัท วิคเตอร์ พร็อพเพอร์ตี้ กรุ๊ป จำกัด,2565,1
723,ห้างหุ้นส่วนจำกัด ศรีรัตน ปราโมทย์,2565,1
724,บริษัท เอส.เค.วาย คอนสตรัคชั่น จำกัด,2565,1
725,ห้างหุ้นส่วนจำกัด โชคอุปถัมภ์,2565,1
726,บริษัท ดับบลิวเอส เอวิเอชั่น เซอร์วิส จำกัด,2565,1
727,บริษัท เอเบิล อีสเทิร์น พาเลท จำกัด,2565,1
728,บริษัท ศรีราชา แพคกิ้ง วู้ด จำกัด (สาขาที่ 3),2565,1
729,บริษัท เบสโชะ ไวร์ แอสเซ็มบลี่ (ประเทศไทย) จำกัด,2565,1
730,บริษัท เรดโฟลว์ (ประเทศไทย) จำกัด,2565,1
731,บริษัท เอฟโอเอ็มเอ็ม (เอเชีย) จำกัด,2565,1
732,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),2565,1
733,บริษัท ฮาสโก้ - ซีพี จำกัด,2565,1
734,บริษัท เยนเฟิง (ไทยแลนด์) จำกัด,2565,1
735,บริษัท เอสเอไอซี มอเตอร์ - ซีพี จำกัด,2565,1
736,บริษัท วี แสตมปิ้ง พาร์ท จำกัด,2565,1
737,บริษัท ไอเจทีที (ประเทศไทย) จำกัด,2565,1
738,บริษัท โร๊คคลิ่ง ออโตโมทีฟ ชลบุรี จำกัด,2565,1
739,บริษัท สปีดเวย์ เอ็นเตอร์ไพรส์ จำกัด,2565,1
740,บริษัท โนะฮาราเด็นเคน (ประเทศไทย) จำกัด,2565,1
741,บริษัท ออโตลิฟ (ประเทศไทย) จำกัด,2565,1
742,บริษัท ไทย ซันเคียว จำกัด,2565,1
743,บริษัท เอ.ที.เอ็น. คาสติ้ง จำกัด,2565,1
744,บริษัท เทอร์ไบน์แอโร รีแพร์ จำกัด,2565,1
745,บริษัท ดับบลิวเอชเอ ยูทิลิตี้ส์ แอนด์ พาวเวอร์ จำกัด (มหาชน),2565,1
746,บริษัท เมก้า โปเท็นซี จำกัด,2565,1
747,บริษัท เดบโบราห์ เซอร์วิสเซส (ประเทศไทย) จำกัด,2565,1
748,บริษัท ชลบุรีสเปเชียล โลจิสติกส์ กรุ๊ป จำกัด,2565,1
749,ห้างหุ้นส่วนจำกัด เอส วาย ที เอ็นจิเนียริ่ง ได แอนด์ พาร์ทส,2565,1
750,บริษัท สินสวัสดิ์ เมทัล จำกัด,2565,1
751,บริษัท ดองซุง อิเล็คทรอนิคส์ จำกัด,2565,1
752,บริษัท ไลอ้อน (ประเทศไทย) จำกัด,2565,1
753,บริษัท ทิพย์ศรศิริ จำกัด,2565,1
754,บริษัท โรจนะ อินดัสเตรียล แมเนจเม้นท์ จำกัด,2565,1
755,บริษัท อันมาร์ จำกัด,2565,1
756,ช.ฟู้ดแอนด์มาร์เก็ตติ้ง,2565,1
757,บริษัท แหลมฉบัง อิมเม็กซ์ จำกัด,2565,1
758,บริษัท พีเคพี โกร จำกัด,2565,1
759,นางศิริพร มงคลธนวัฒน์,2565,1
760,นายวินิจ จบไตรเภท,2565,1
761,บริษัท ซี.เอ็น.ซี.วีเอส แมชชีน จำกัด,2565,1
762,บริษัท เอ็มแอนด์ดี พรีซิชั่น เวิร์ค จำกัด,2565,1
763,บริษัท เพิ่มคุณค่า จำกัด,2565,1
764,นางสาวรัชนี หมอยาดี,2565,1
765,บริษัท ซีบีไอ (ประเทศไทย) จำกัด,2565,1
766,บริษัท กาโตะ พรีซิชั่น จำกัด,2565,1
767,บริษัท วีเอ็มที พรีซิชั่น จำกัด,2565,1
768,บริษัท ทวิน สตาร์ จำกัด,2565,1
769,บริษัท นอร์ทเทอร์นกลาส จำกัด,2565,1
770,ห้างหุ้นส่วนจำกัด ชลบุรีธารทิพย์,2565,1
771,บริษัท นิค เทคโนโลยี จำกัด,2565,1
772,บริษัท เอส.เจ.เอ็ม.เบลท์ติ้ง (ประเทศไทย) จำกัด,2565,1
773,ห้างหุ้นส่วนจำกัด พนัสพันธุ์สัตว์,2565,1
774,บริษัท ที.เอ.พี. ดายส์ เมคกิ้ง จำกัด,2565,1
775,บริษัท เครซี่ แฟ็คทอรี่ เทร็ดดิ้ง จำกัด,2565,1
776,บริษัท ซีเอสเค พลาสติก จำกัด,2565,1
777,ห้างหุ้นส่วนจำกัด พัฒน์ณรี รับเบอร์,2565,1
778,บริษัท ทีที คอร์ปอเรชั่น จำกัด,2565,1
779,โรงน้ำแข็ง สุขสวัสดิ์ พันเสด็จ,2565,1
780,บริษัท คลาสซี่ พลาสติก จำกัด,2565,1
781,บริษัท เท่ กิยอง อินดัสทรี (ประเทศไทย) จำกัด,2565,1
782,บริษัท ศรีราชา แอสเซทส์ จำกัด,2565,1
783,บริษัท เอสทีพี แอนด์ ไอ จำกัด (มหาชน),2565,1
784,บริษัท ชาญนคร เอ็ม & อาร์ จำกัด,2565,1
785,บริษัท อิชิ อลูมิเนียม (ประเทศไทย) จำกัด,2565,1
786,บริษัท พี.อาร์.ที.(เอเชีย) จำกัด,2565,1
787,บริษัท สมาย คอนเทนเนอร์ อุตสาหกรรม จำกัด,2565,1
788,บริษัท ชุน เฉิน ชาง พลาสติก จำกัด,2565,1
789,บริษัท ซุน คอนสตรัคชั่น แอนด์ เอ็นจิเนียริ่ง จำกัด,2565,1
790,บริษัท พี.เอส.เอ๊าท์ดอร์ โพรดัคชั่น จำกัด สาขาชลบุรี,2565,1
791,นายเอนก เจียรวงศ์สกุล,2565,1
792,บริษัท ภคิน แพ็คเกจจิ้ง จำกัด,2565,1
793,นายเอนก เจียรวงศ์สกุล,2565,1
794,บริษัท เดียม เอเชีย (ประเทศไทย) จำกัด,2565,1
795,บริษัท สตูป้า ศูนย์เก้า จำกัด,2565,1
796,บริษัท ทรัพย์เจริญรุ่งเรืองสตีล จำกัด,2565,1
797,บริษัท พรีคาสท์ คิงดอม จำกัด,2565,1
798,บริษัท บีอาร์. บูรพา ซัพพลาย จำกัด,2565,1
799,บริษัท หนองปรือ อุตสาหกรรม จำกัด,2565,1
800,บริษัท หลุยส์ เดคคอเรชั่น แอนด์ ดีไซน์ จำกัด,2565,1
801,บริษัท สยาม โคแนน จำกัด,2565,1
802,ห้างหุ้นส่วนจำกัด รัตนชาติก่อสร้าง,2565,1
803,บริษัท ยูเนียน แอนด์ โอจิ อินเตอร์แพ็ค จำกัด,2565,1
804,บริษัท ซี.เอ็น แอดวานซ์ ซัพพลาย จำกัด,2565,1
805,บริษัท โชคหิรัญการเกษตร จำกัด,2565,1
806,บริษัท แอ็ดวานซ์ พรีแฟบ จำกัด,2565,1
807,บริษัท ซาน เหอ จุ้น เฉิน พลาสติก อินเตอร์ จำกัด,2565,1
808,บริษัท บูรพาณิชย์ จำกัด,2565,1
809,บริษัท เวสต์ พรีซิชั่น เอ็นจิเนียริ่ง (ประเทศไทย) จำกัด,2565,1
810,บริษัท กิติพร จำกัด,2565,1
811,บริษัท พีพี แอนด์ พี อินเตอร์ พาร์ท จำกัด,2565,1
812,นายภูวเดช จินาเคียน,2565,1
813,นางสาวสุราตรี เจริญศรี,2565,1
814,บริษัท แมกซ์ โฟลว์ อินดัสทรี้ จำกัด,2565,1
815,บริษัท ซีโนแพ็ค จำกัด,2565,1
816,บริษัท เพอมาเน้นท์ คอนสตรัคชั่น จำกัด,2565,1
817,บริษัท ชินวา อินเทค จำกัด,2565,1
818,บริษัท เทรด แมททีเรียล 2014 จำกัด,2565,1
819,บริษัท ชอไชยวัฒน์อุตสาหกรรม จำกัด,2565,1
820,บริษัท เจ.เจ.คอยล์เซ็นเตอร์ จำกัด,2565,1
821,บริษัท ฟีซ่า เอ็มเอฟจี เอเชีย จำกัด,2565,1
822,บริษัท โรจนินทร์ โลหะกิจ จำกัด,2565,1
823,บริษัท ศิลามาศ ทรานสปอร์ต จำกัด,2565,1
824,บริษัท ทิมิโก้ (ไทยแลนด์) จำกัด,2565,1
825,บริษัท ซินหยวน เฮ้าโฮลด์ (ไทยแลนด์) จำกัด,2565,1
826,บริษัท นพกร เอ็นจิเนียริ่ง จำกัด,2565,1
827,บริษัท สยามแอดวานซ์ เมทัล จำกัด,2565,1
828,ห้างหุ้นส่วนจำกัด ดี เอช ซี เทรดดิ้ง,2565,1
829,บริษัท ยูไนเต็ด เวสท์ แมเนจเม้นท์ จำกัด,2565,1
830,บริษัท ไทยอีสเทิร์น ท้อปซีดส์ ออยล์ จำกัด,2565,1
831,บริษัท เคเอ็ม.ไวร์ คัท จำกัด,2565,1
832,บริษัท 3เอ็มบี จำกัด,2565,1
833,บริษัท คาโรไลน์ คอร์ปอเรชั่น จำกัด,2565,1
834,บริษัท เงินมงคล พลาสติก ซัพพลาย จำกัด,2565,1
835,บริษัท เกาสุ แพคกิ้ง (ศรีราชา) อินดัสตรี้ จำกัด,2565,1
836,บริษัท ทีซี ออโต้ฮับ (ประเทศไทย) จำกัด,2565,1
837,นายพีระพงศ์ หาญตา,2565,1
838,นายพีระพงศ์ หาญตา,2565,1
839,บริษัท 888 ส่งเสริม จำกัด,2565,1
840,บริษัท ธนณัฐ โปรแพค ซัพพลาย จำกัด,2565,1
841,บริษัท จิน เบ๋า ลี่ จำกัด,2565,1
842,บริษัท จิน เบ๋า ลี่ จำกัด,2565,1
843,บริษัท ซี.เค.กรุ๊ป อิมพอร์ต แอนด์ เอ็กซพอร์ต จำกัด,2565,1
844,บริษัท ซี.เค.กรุ๊ป อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด,2565,1
845,บริษัท ซี.เค.กรุ๊ป อิมพอร์ต แอนด์ เอ็กซ์พอร์ต จำกัด,2565,1
846,บริษัท ซุ่นไท่ แพ็คกิ้ง แมททีเรียล (ประเทศไทย) จำกัด,2565,1
847,บริษัท ดี เค พลาสติก (ประเทศไทย) จำกัด,2565,1
848,บริษัท ไทยคิวบิค เทคโนโลยี่ จำกัด,2565,1
849,บริษัท เค.เอ็น.ไฮเทค จำกัด,2565,1
850,บริษัท ไทย ดงลี่ พลาสติก อินดัสทรี่ จำกัด,2565,1
851,นายมงคล พรมแดน,2565,1
852,ห้างหุ้นส่วนจำกัด เอ็ม เอส เอ โมลด์,2565,1
853,บริษัท ธนะทรัพย์พลาสติก รีไซเคิล จำกัด,2565,1
854,บริษัท ภูศรี พรีซีชั่น จำกัด,2565,1
855,บริษัท เฟ่ย ไทย พลาสติก จำกัด,2565,1
856,บริษัท นิสโก (ประเทศไทย) จำกัด,2565,1
857,บริษัท คิวเอ็ม อินเตอร์เทค จำกัด,2565,1
858,บริษัท ว่านซิง อินดัสเทรียล จำกัด,2565,1
859,บริษัท วิสุทธิ์ พลาสติก จำกัด,2565,1
860,บริษัท สวนอุตสาหกรรม มังกรทองชลบุรี จำกัด,2565,1
861,ห้างหุ้นส่วนจำกัด อาร์.เอส.อาร์.เอ็นเตอร์ไพรส์,2565,1
862,บริษัท สวนอุตสาหกรรม มังกรทองชลบุรี จำกัด,2565,1
863,บริษัท สวนอุตสาหกรรม มังกรทองชลบุรี จำกัด,2565,1
864,บริษัท รีไลแอนซ์ เอ็นจิเนียริ่ง (บ่อวิน) จำกัด,2565,1
865,บริษัท สวนอุตสาหกรรม มังกรทองชลบุรี จำกัด,2565,1
866,บริษัท โรงปุ๋ยบ่อทอง จำกัด,2565,1
867,บริษัท สามเอซี (ไทยแลนด์) จำกัด,2565,1
868,บริษัท อิฟง จำกัด,2565,1
869,บริษัท อิฟง จำกัด,2565,1
870,บริษัท เอ.เอ็น.เค.พลาสติก จำกัด,2565,1
871,บริษัท เอเซีย รีไซเคิล แอนด์ เซอร์วิส จำกัด,2565,1
872,บริษัท เอเซีย รีไซเคิล แอนด์ เซอร์วิส จำกัด,2565,1
873,บริษัท เอ็มที เซ็นเตอร์เทรด จำกัด,2565,1
874,บริษัท เอ็มที เซ็นเตอร์เทรด จำกัด,2565,1
875,บริษัท เอ็มที เซ็นเตอร์เทรด จำกัด,2565,1
876,ห้างหุ้นส่วนจำกัด จงฝู อินเตอร์เนชั่นแนล,2565,1
877,บริษัท พาณิชย์ แพคเก็จ จำกัด,2565,1
878,บริษัท บุรีรัมย์ธงชัยก่อสร้าง จำกัด,2565,1
879,นางสาววรัทชยา มะหิรัญ,2565,1
880,บริษัท ติ่ง ซิน สแตนเลส จำกัด,2565,1
881,ห้างหุ้นส่วนจำกัด โชคบูรพา รีเทค,2565,1
882,บริษัท 99 กะรัตคอนกรีต จำกัด,2565,1
883,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,2565,1
884,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,2565,1
885,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,2565,1
886,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,2565,1
887,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,2565,1
888,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,2565,1
889,บริษัท เอส.เจ.ซี.คอนกรีต จำกัด,2565,1
890,บริษัท อี้ เซิ่ง สตีล อินดัสตรี จำกัด,2565,1
891,บริษัท ฮัวเหม่ย (ประเทศไทย) จำกัด,2565,1
892,บริษัท ฮัวเหม่ย (ประเทศไทย) จำกัด,2565,1
893,บริษัท ทีเอชซี พลาสติก อินดัสทรี จำกัด,2565,1
894,บริษัท ฮัวเหม่ย (ประเทศไทย) จำกัด,2565,1
895,บริษัท เอเซ๊ย ปั๊ม เอ็นจิเนียริ่ง จำกัด,2565,1
896,บริษัท เอซีอี ครีเอชั่น จำกัด,2565,1
897,บริษัท ซูกะ สตีล (ไทยแลนด์) จำกัด,2565,1
898,บริษัท บึงทอง เทค จำกัด,2565,1
899,บริษัท มูราทานิ แมชชีน (ไทยแลนด์) จำกัด,2565,1
900,บริษัท แนค กรุ๊ป จำกัด,2565,1
901,บริษัท ฉี อัน จำกัด,2565,1
902,บริษัท สยาม โคชิ จำกัด,2565,1
903,บริษัท หยู ซิน โมลด์ เทคโนโลยี จำกัด,2565,1
904,บริษัท อี.ที.ซี.เอ็นจิเนียริ่ง จำกัด,2565,1
905,บริษัท โอเคดี อินเตอร์ไพร์ส จำกัด,2565,1
906,บริษัท อีสเทิร์น พอร์ท แมเนจเม้นท์ คอร์ปอเรชั่น จำกัด,2565,1
907,บริษัท อี.ที.ซี.เอ็นจิเนียริ่ง จำกัด,2565,1
908,บริษัท รักษาสิ่งแวดล้อมและรีไซเคิล จำกัด,2565,1
909,บริษัท รักษาสิ่งแวดล้อมและรีไซเคิล จำกัด,2565,1
910,นายอนันต์ โกกนุทาภรณ์,2565,1
911,บริษัท ไทย เมวะ จำกัด,2565,1
912,บริษัท ทีพีแอล 168 จำกัด,2565,1
913,บริษัท พี เอส ซี ไบโอแก๊ส จำกัด,2565,1
914,บริษัท พี เจ ยูเนี่ยน พลาสติก จำกัด,2565,1
915,บริษัท ซิง ไล ฟา จำกัด,2565,1
916,นายเจริญ เฉลิมโชค,2565,1
917,บี-ควิก สาขาบิ๊กซี สัตหีบ,2565,1
918,นายประพันธ์ พรมภักษร,2565,1
919,บริษัท ไท่เหิง ฮาร์ดแวร์ เทคโนโลยี จำกัด,2565,1
