_id,รายชื่อสถานประกอบการ,ปี,ระดับ
346,บริษัท อีซูซุ ตะวันออก ชลบุรี จำกัด,2565,1
347,บริษัท อีซูซุ ตะวันออกชลบุรี จำกัด,2565,1
348,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน),2565,1
349,บริษัท ชลบุรี ไมนิ่ง จำกัด,2565,1
350,ห้างหุ้นส่วนจำกัด พีเอฟเอ็น เอเลเมนท์,2565,1
351,บริษัท โชคนำชัย ขนส่ง จำกัด,2565,1
352,บริษัท อิตาเลียนไทย ดีเวล๊อปเมนต์ จำกัด (มหาชน),2565,1
353,บริษัท เอกสรัล พลาสเคม จำกัด,2565,1
354,ศรีรัตน ปราโมทย์,2565,1
355,นายรุ่งอนันท์ นิลแท้,2565,1
356,บริษัท สามชัย พารา แพ็คกิ้ง จำกัด,2565,1
357,บริษัท ก่วง หลง (ไทยแลนด์) จำกัด,2565,1
358,บริษัท พีเอ็นที อุดมทรัพย์ จำกัด,2565,1
359,บริษัท ไดมอนด์ควอลิตี้ทูลส์ จำกัด,2565,1
360,บริษัท โปรวิชั่น เอ็นจิเนียริ่ง จำกัด,2565,1
361,บริษัท ที.เอ็ม.เอส. ทูลลิ่ง เซอร์วิส จำกัด,2565,1
