_id,ปี,ชื่อโรงงาน,ชื่อเจ้าของ,ประกอบกิจการ,อำเภอ,จังหวัด
20,2565,บริษัท ธนรัฐรพี จำกัด,บริษัท ธนรัฐรพี จำกัด,ผลิตน้ำแข็งก้อนเล็ก,บางละมุง,ชลบุรี
21,2565,บริษัท พัทยา น้ำแข็งหลอด จำกัด,บริษัท พัทยา น้ำแข็งหลอด จำกัด,ผลิตน้ำแข็งหลอด,บางละมุง,ชลบุรี
22,2565,บริษัท บ้านบึงน้ำแข็งซอง จำกัด,บริษัท บ้านบึงน้ำแข็งซอง จำกัด,ทำน้ำแข็งก้อนเล็ก,บ้านบึง,ชลบุรี
23,2565,ห้างหุ้นส่วนจำกัด ชลบุรีธารทิพย์,ห้างหุ้นส่วนจำกัด ชลบุรีธารทิพย์,ทำน้ำแข็งก้อนเล็ก,บ้านบึง,ชลบุรี
24,2565,บริษัท บ้านบึงน้ำแข็งซอง จำกัด,บริษัท บ้านบึงน้ำแข็งซอง จำกัด,ทำน้ำแข็งซอง ,บ้านบึง,ชลบุรี
25,2565,ห้างหุ้นส่วนจำกัด ชลบุรีธารทิพย์ ,ห้างหุ้นส่วนจำกัด ชลบุรีธารทิพย์ ,ทำน้ำแข็งซอง,บ้านบึง,ชลบุรี
26,2565,ห้างหุ้นส่วนจำกัด สมานชัยกิจรุ่งเรือง,ห้างหุ้นส่วนจำกัด สมานชัยกิจรุ่งเรือง,ทำน้ำแข็งก้อนเล็ก,พนัสนิคม,ชลบุรี
27,2565,บริษัท ประกายดาว จำกัด,บริษัท ประกายดาว จำกัด,ผลิตน้ำแข็งก้อนเล็ก,พนัสนิคม,ชลบุรี
28,2565,บริษัท สุทธิยนต์ไอซ์ จำกัด,บริษัท สุทธิยนต์ไอซ์ จำกัด,ผลิตน้ำแข็งหลอด น้ำดื่ม กำลังการผลิต 50 ตันต่อวัน,พนัสนิคม,ชลบุรี
29,2565,ห้างหุ้นส่วนจำกัด สุวรรณวารี ชลบุรี,ห้างหุ้นส่วนจำกัด สุวรรณวารี ชลบุรี,ผลิตน้ำแข็งซอง ,พนัสนิคม,ชลบุรี
30,2565,ห้างหุ้นส่วนจำกัด เจริญโชคดีชลบุรี,ห้างหุ้นส่วนจำกัด เจริญโชคดีชลบุรี,ทำน้ำแข็ง ได้วันละ 724 ซอง,พนัสนิคม,ชลบุรี
31,2565,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งทิพธารา,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งทิพธารา,ทำน้ำแข็งซอง เพิ่มขึ้นอีก 432 ซอง/วัน รวมกับของเดิมเป็น 1728 ซอง/วัน,เมืองชลบุรี,ชลบุรี
32,2565,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งธาราทร,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งธาราทร,ทำน้ำแข็งซองได้วันละ 852 ซอง,เมืองชลบุรี,ชลบุรี
33,2565,ห้างหุ้นส่วนจำกัด คณิศร,ห้างหุ้นส่วนจำกัด คณิศร,ทำน้ำแข็งก้อนเล็ก และน้ำดื่ม,เมืองชลบุรี,ชลบุรี
34,2565,บริษัท น้ำแข็งบูรพา จำกัด,บริษัท น้ำแข็งบูรพา จำกัด,ทำน้ำแข็ง ได้วงันละ 936 ซอง,เมืองชลบุรี,ชลบุรี
35,2565,ห้างหุ้นส่วนจำกัด ชลบุรีธารทิพย์,ห้างหุ้นส่วนจำกัด ชลบุรีธารทิพย์,ทำน้ำแข็งก้อนเล็ก,เมืองชลบุรี,ชลบุรี
36,2565,บริษัท น้ำแข็งธาราวัฒนา จำกัด,บริษัท น้ำแข็งธาราวัฒนา จำกัด,"ทำน้ำแข็งซองวันละ 1,453 ซอง",เมืองชลบุรี,ชลบุรี
37,2565,บริษัท ทำน้ำแข็งชลบุรี จำกัด,บริษัท ทำน้ำแข็งชลบุรี จำกัด,"ผลิตน้ำแข็งซอง เพิ่มขึ้นอีก 588 ซอง/วัน รวมเป็น 1,528 ซอง/วัน",เมืองชลบุรี,ชลบุรี
38,2565,ช.ฟู้ดแอนด์มาร์เก็ตติ้ง,ช.ฟู้ดแอนด์มาร์เก็ตติ้ง,ทำน้ำแข็งหลอด น้ำดื่ม,เมืองชลบุรี,ชลบุรี
39,2565,บริษัท วิมาน น้ำแข็งหลอด จำกัด,บริษัท วิมาน น้ำแข็งหลอด จำกัด,ผลิตน้ำแข็งก้อนเล็ก กำลังการผลิต 90 ตัน/วัน,ศรีราชา,ชลบุรี
40,2565,บริษัท วารีเทพ ศรีราชา จำกัด,บริษัท วารีเทพ ศรีราชา จำกัด,ทำน้ำแข็งก้อนเล็ก ได้วันละ 100 ตัน และทำน้ำดื่ม,ศรีราชา,ชลบุรี
41,2565,โรงงานน้ำแข็งหลอด วรกิจ,โรงงานน้ำแข็งหลอด วรกิจ,ผลิตน้ำแข็งก้อนเล็ก,ศรีราชา,ชลบุรี
42,2565,โชคชัยน้ำแข็งหลอด,โชคชัยน้ำแข็งหลอด,ทำน้ำแข็งก้อนเล็ก,ศรีราชา,ชลบุรี
43,2565,โรงน้ำแข็งวรกิจ,โรงน้ำแข็งวรกิจ,"ผลิตน้ำแข็งซอง รวม 4,000 ซอง/วัน",ศรีราชา,ชลบุรี
44,2565,โรงน้ำแข็ง สุขสวัสดิ์ พันเสด็จ,โรงน้ำแข็ง สุขสวัสดิ์ พันเสด็จ,ทำน้ำแข็งหลอดก้อนเล็ก,ศรีราชา,ชลบุรี
