เดือน,ค่าข้อมูล,ที่มา,_id,ปี,รายการ,หน่วย
ตุลาคม,"71,002",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,1,2566,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
พฤศจิกายน,"66,035",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,2,2566,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
ธันวาคม,"71,977",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,3,2566,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
มกราคม,"71,469",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,4,2567,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
กุมภาพันธ์,"67,097",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,5,2567,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
มีนาคม,"66,169",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,6,2567,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
เมษายน,"66,068",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,7,2567,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
พฤษภาคม,"67,594",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,8,2567,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
มิถุนายน,"65,528",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,9,2567,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
กรกฎาคม,"70,749",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,10,2567,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
สิงหาคม,"71,940",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,11,2567,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
กันยายน,"67,714",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,12,2567,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
ตุลาคม,"68,628",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,13,2567,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
พฤศจิกายน,"72,195",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,14,2567,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
ธันวาคม,"68,744",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,15,2567,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
มกราคม,"78,853",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,16,2568,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
กุมภาพันธ์,"68,636",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,17,2568,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
มีนาคม,"71,659",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,18,2568,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
เมษายน,"67,891",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,19,2568,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
พฤษภาคม,"69,633",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,20,2568,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
มิถุนายน,"68,612",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,21,2568,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
กรกฎาคม,"73,870",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,22,2568,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
สิงหาคม,"68,791",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,23,2568,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
กันยายน,"73,150",โรงพยาบาลศูนย์การแพทย์ มหาวิทยาลัยแม่ฟ้าหลวง,24,2568,ปริมาณขยะติดเชื้อโรงพยาบาลประจำอำเภอ,กิโลกรัม
