_id,พ.ศ.,ที่มา,ผลผลิตรวม,ราคาเฉลี่ย,พื้นที่เพาะปลูก,มูลค่าผลผลิต,ชนิดพืช,ผลผลิตเฉลี่ย
1,2563,สำนักงานเกษตรจังหวัดปทุมธานี,246704.0,7.25,265062,1788.6,ข้าวนาปี,788.29
2,2563,สำนักงานเกษตรจังหวัดปทุมธานี,46148.0,24.5,13730.25,1130.63,กล้วยหอม,3088
3,2563,สำนักงานเกษตรจังหวัดปทุมธานี,34692.0,15.54,7412.28,539.12,กล้วยน้ำว้า,4680.43
4,2563,สำนักงานเกษตรจังหวัดปทุมธานี,30644960.0,15.98,3598,489.7,หญ้าสนาม ,1408
5,2563,สำนักงานเกษตรจังหวัดปทุมธานี,28247.0,3.04,8286.8,85.87,ปาล์มน้ำมัน,3598
6,2563,สำนักงานเกษตรจังหวัดปทุมธานี,8278.0,9.18,2880.63,75.99,ตะไคร้,2873.81
7,2563,สำนักงานเกษตรจังหวัดปทุมธานี,6.0,16,351.9,0.09,ยางพารา,240
8,2564,สำนักงานเกษตรจังหวัดปทุมธานี,222399.0,7.78,310678,1730.26,ข้าวนาปี,715.85
9,2564,สำนักงานเกษตรจังหวัดปทุมธานี,27491.82,27.54,13368.25,757.12,กล้วยหอม,2056.5
10,2564,สำนักงานเกษตรจังหวัดปทุมธานี,28354660.0,15.8,3605.59,448,หญ้าสนาม ,1310.68
11,2564,สำนักงานเกษตรจังหวัดปทุมธานี,17099.16,17.04,7412.28,291.37,กล้วยน้ำว้า,2306.87
12,2564,สำนักงานเกษตรจังหวัดปทุมธานี,26313.68,4.67,8476.93,122.88,ปาล์มน้ำมัน,3104.15
13,2564,สำนักงานเกษตรจังหวัดปทุมธานี,8018.95,10.1,7861,80.99,ตะไคร้,1020.09
14,2564,สำนักงานเกษตรจังหวัดปทุมธานี,53.0,30,363,1.59,ยางพารา,146.01
15,2565,สำนักงานเกษตรจังหวัดปทุมธานี,231749.0,7.12,322170,1650.05,ข้าวนาปี,719
16,2565,สำนักงานเกษตรจังหวัดปทุมธานี,45798.0,26.22,11779,1200.81,กล้วยหอม,3888
17,2565,สำนักงานเกษตรจังหวัดปทุมธานี,31699.0,17.78,10778,563.6,กล้วยน้ำว้า,2941
18,2565,สำนักงานเกษตรจังหวัดปทุมธานี,24232.0,16.14,17858,391.1,หญ้าสนาม ,1357
19,2565,สำนักงานเกษตรจังหวัดปทุมธานี,31849.0,9.9,13465,315.31,ตะไคร้,2365
20,2565,สำนักงานเกษตรจังหวัดปทุมธานี,30183.0,8.52,8535,257.16,ปาล์มน้ำมัน,3536
21,2565,สำนักงานเกษตรจังหวัดปทุมธานี,6002.0,5.63,614,33.79,เตย,9768
22,2565,สำนักงานเกษตรจังหวัดปทุมธานี,0.0,0,363,0,ยางพารา,0
23,2566,สำนักงานเกษตรจังหวัดปทุมธานี,178697.0,8.14,246190,1454,ข้าวนาปี,719
24,2566,สำนักงานเกษตรจังหวัดปทุมธานี,49825.0,20.32,13382,1012,กล้วยหอม,3723
25,2566,สำนักงานเกษตรจังหวัดปทุมธานี,38091.0,13.16,17289,501,กล้วยน้ำว้า,2203
26,2566,สำนักงานเกษตรจังหวัดปทุมธานี,15800.0,17.5,13209,276,หญ้าสนาม ,1196
27,2566,สำนักงานเกษตรจังหวัดปทุมธานี,29369.0,4.66,9220,136,ปาล์มน้ำมัน,3185
28,2566,สำนักงานเกษตรจังหวัดปทุมธานี,17501.0,3.33,8740,58,ตะไคร้,2002
29,2566,สำนักงานเกษตรจังหวัดปทุมธานี,4480.0,12.77,696,57,เตย,6431
30,2566,สำนักงานเกษตรจังหวัดปทุมธานี,0.0,0,210,0,ยางพารา,0
31,2567,สำนักงานเกษตรจังหวัดปทุมธานี,191413.4,10.64,238076.37,2036.64,ข้าวนาปี,804
32,2567,สำนักงานเกษตรจังหวัดปทุมธานี,36267.88,22.02,9191.05,798.62,กล้วยหอม,3946
33,2567,สำนักงานเกษตรจังหวัดปทุมธานี,26132.73,16.65,6743.93,435.11,กล้วยน้ำว้า,3875
34,2567,สำนักงานเกษตรจังหวัดปทุมธานี,9763.84,16.38,8617.69,159.93,ตะไคร้,1133
35,2567,สำนักงานเกษตรจังหวัดปทุมธานี,27815.62,5.07,9725.74,141.03,ปาล์มน้ำมัน,2860
36,2567,สำนักงานเกษตรจังหวัดปทุมธานี,"4,221,12",16.3,3454.27,68.8,หญ้าสนาม ,1222
37,2567,สำนักงานเกษตรจังหวัดปทุมธานี,3205.37,10.15,472.56,32.53,เตย,6783
