ไตรมาส 4,ไตรมาส 1,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,จังหวัด,อุตสาหกรรม
" 422,594 "," 414,602 ",1,2565," 431,705 "," 427,216 ",รวม,สระบุรี,ยอดรวม
" 232,578 "," 226,465 ",2,2565," 235,210 "," 234,705 ",ชาย                         ,สระบุรี,ยอดรวม
" 190,016 "," 188,137 ",3,2565," 196,495 "," 192,511 ",หญิง                        ,สระบุรี,ยอดรวม
" 56,088 "," 60,469 ",4,2565," 61,067 "," 60,705 ",รวม,สระบุรี,เกษตรกรรม การป่าไม้ และการประมง
" 34,322 "," 32,080 ",5,2565," 35,533 "," 33,556 ",ชาย                         ,สระบุรี,เกษตรกรรม การป่าไม้ และการประมง
" 21,765 "," 28,389 ",6,2565," 25,534 "," 27,148 ",หญิง                        ,สระบุรี,เกษตรกรรม การป่าไม้ และการประมง
" 1,488 ", - ,7,2565," 2,220 ", 544 ,รวม,สระบุรี,การทำเหมืองแร่ เหมืองหิน
 995 , - ,8,2565," 1,075 ", - ,ชาย                         ,สระบุรี,การทำเหมืองแร่ เหมืองหิน
 494 , - ,9,2565," 1,145 ", 544 ,หญิง                        ,สระบุรี,การทำเหมืองแร่ เหมืองหิน
" 160,201 "," 156,031 ",10,2565," 162,631 "," 166,404 ",รวม,สระบุรี,การผลิต
" 96,800 "," 89,725 ",11,2565," 97,456 "," 93,341 ",ชาย                         ,สระบุรี,การผลิต
" 63,401 "," 66,307 ",12,2565," 65,176 "," 73,063 ",หญิง                        ,สระบุรี,การผลิต
" 2,212 ", 754 ,13,2565, 661 ," 1,672 ",รวม,สระบุรี,การไฟฟ้า ก๊าซ และไอน้ำ
" 1,583 ", 754 ,14,2565, 462 ," 1,672 ",ชาย                         ,สระบุรี,การไฟฟ้า ก๊าซ และไอน้ำ
 629 , - ,15,2565, 199 , - ,หญิง                        ,สระบุรี,การไฟฟ้า ก๊าซ และไอน้ำ
" 1,251 "," 1,501 ",16,2565, 370 , 649 ,รวม,สระบุรี,การจัดหาน้ำ บำบัดน้ำเสีย
 578 , 794 ,17,2565, 370 , - ,ชาย                         ,สระบุรี,การจัดหาน้ำ บำบัดน้ำเสีย
 673 , 707 ,18,2565, - , 649 ,หญิง                        ,สระบุรี,การจัดหาน้ำ บำบัดน้ำเสีย
" 22,272 "," 18,403 ",19,2565," 17,243 "," 16,856 ",รวม,สระบุรี,การก่อสร้าง
" 16,813 "," 15,032 ",20,2565," 14,543 "," 15,205 ",ชาย                         ,สระบุรี,การก่อสร้าง
" 5,458 "," 3,370 ",21,2565," 2,699 "," 1,651 ",หญิง                        ,สระบุรี,การก่อสร้าง
" 75,966 "," 68,159 ",22,2565," 72,317 "," 65,798 ",รวม,สระบุรี,การขายส่ง การขายปลีก
" 34,851 "," 35,447 ",23,2565," 31,935 "," 32,504 ",ชาย                         ,สระบุรี,การขายส่ง การขายปลีก
" 41,115 "," 32,712 ",24,2565," 40,382 "," 33,294 ",หญิง                        ,สระบุรี,การขายส่ง การขายปลีก
" 18,823 "," 17,856 ",25,2565," 23,043 "," 19,811 ",รวม,สระบุรี,การขนส่ง ที่เก็บสินค้า
" 14,716 "," 15,438 ",26,2565," 17,089 "," 16,929 ",ชาย                         ,สระบุรี,การขนส่ง ที่เก็บสินค้า
" 4,107 "," 2,419 ",27,2565," 5,954 "," 2,882 ",หญิง                        ,สระบุรี,การขนส่ง ที่เก็บสินค้า
" 33,459 "," 33,642 ",28,2565," 35,144 "," 33,869 ",รวม,สระบุรี,กิจกรรมโรงแรม และอาหาร
" 10,677 "," 10,693 ",29,2565," 11,799 "," 11,074 ",ชาย                         ,สระบุรี,กิจกรรมโรงแรม และอาหาร
" 22,782 "," 22,949 ",30,2565," 23,345 "," 22,794 ",หญิง                        ,สระบุรี,กิจกรรมโรงแรม และอาหาร
 709 , 859 ,31,2565," 1,148 "," 1,558 ",รวม,สระบุรี,ข้อมูลข่าวสาร และการสื่อสาร
 709 , 614 ,32,2565," 1,148 "," 1,096 ",ชาย                         ,สระบุรี,ข้อมูลข่าวสาร และการสื่อสาร
-, 245 ,33,2565, - , 462 ,หญิง                        ,สระบุรี,ข้อมูลข่าวสาร และการสื่อสาร
" 4,856 "," 3,683 ",34,2565," 3,334 "," 2,372 ",รวม,สระบุรี,กิจการทางการเงิน และการประกันภัย
" 1,839 "," 1,292 ",35,2565," 1,231 ", 964 ,ชาย                         ,สระบุรี,กิจการทางการเงิน และการประกันภัย
