จำนวนผู้เข้า,_id,กลุ่มเป้าหมาย,จำนวนผู้ผ่าน,จำนวนเป้าหมาย
290278,1,บุคคลทั่วไป,288115,352200
178316,2,ผู้ประกอบอาชีพอิสระ วิสาหกิจชุมชน,177702,134755
148177,3,อื่น ๆ โปรดระบุ,147384,170153
145609,4,นักเรียน นักศึกษา,145162,207997
45967,5,พนักงาน/ลูกจ้างภาคเอกชน,45554,77478
22209,6,บุคลากรภาครัฐ,22150,25991
18526,7,กลุ่มผู้สูงอายุ (อายุ 60 ปีขึ้นไป),18170,22227
12236,8,บุคลากรสถานศึกษา,10712,13803
5875,9,กลุ่มคนพิการ,5755,8166
4138,10,แรงงานใหม่,3984,11992
