sex,_id,year,value,unit
รวม,1,2563,92.34,บาท
ชาย,2,2563,89.64,บาท
หญิง,3,2563,95.58,บาท
รวม,4,2564,88.99,บาท
ชาย,5,2564,86.02,บาท
หญิง,6,2564,92.5,บาท
รวม,7,2565,91.7,บาท
ชาย,8,2565,90.48,บาท
หญิง,9,2565,93.09,บาท
รวม,10,2566,93.26,บาท
ชาย,11,2566,91.81,บาท
หญิง,12,2566,94.89,บาท
รวม,13,2567,91.42,บาท
ชาย,14,2567,89.89,บาท
หญิง,15,2567,93.16,บาท
