_id,ปี,เนื้อที่เก็บเกี่ยว,เนื้อที่เพาะปลูก
1,2561,351,351
2,2562,87,87
3,2563,58,58
4,2564,62,62
5,2565,213,213
6,2566,223,223
7,2567,369,369
