มูลค่าผลผลิตรวม,ผลผลิตเฉลี่ย,_id,ปี,ผลผลิต,ราคาเฉลี่ย,พื้นที่เพาะปลูก
471.18,4329,1,2560,50939,9.25,18283
400.43,3490,2,2561,40407,9.91,16133
546.36,3596,3,2562,54438,10.04,16003
557.44,3528,4,2563,53446,10.43,16560
471.97,3231,5,2564,55591,8.49,17923
