WORK_STATUS,VALUE,SOURCE,_id,UNIT,YEAR
รวม,16393,สำนักงานสถิติแห่งชาติ,1,บาทต่อเดือน,2556
ลูกจ้างรัฐบาล,17452,สำนักงานสถิติแห่งชาติ,2,บาทต่อเดือน,2556
ลูกจ้างเอกชน,16393,สำนักงานสถิติแห่งชาติ,3,บาทต่อเดือน,2556
รวม,17445,สำนักงานสถิติแห่งชาติ,4,บาทต่อเดือน,2557
ลูกจ้างรัฐบาล,16803,สำนักงานสถิติแห่งชาติ,5,บาทต่อเดือน,2557
ลูกจ้างเอกชน,19408,สำนักงานสถิติแห่งชาติ,6,บาทต่อเดือน,2557
รวม,22437,สำนักงานสถิติแห่งชาติ,7,บาทต่อเดือน,2558
ลูกจ้างรัฐบาล,22168,สำนักงานสถิติแห่งชาติ,8,บาทต่อเดือน,2558
ลูกจ้างเอกชน,22514,สำนักงานสถิติแห่งชาติ,9,บาทต่อเดือน,2558
รวม,23761,สำนักงานสถิติแห่งชาติ,10,บาทต่อเดือน,2559
ลูกจ้างรัฐบาล,23779,สำนักงานสถิติแห่งชาติ,11,บาทต่อเดือน,2559
ลูกจ้างเอกชน,23753,สำนักงานสถิติแห่งชาติ,12,บาทต่อเดือน,2559
รวม,23876,สำนักงานสถิติแห่งชาติ,13,บาทต่อเดือน,2560
ลูกจ้างรัฐบาล,23100,สำนักงานสถิติแห่งชาติ,14,บาทต่อเดือน,2560
ลูกจ้างเอกชน,24034,สำนักงานสถิติแห่งชาติ,15,บาทต่อเดือน,2560
รวม,24384,สำนักงานสถิติแห่งชาติ,16,บาทต่อเดือน,2561
ลูกจ้างรัฐบาล,25294,สำนักงานสถิติแห่งชาติ,17,บาทต่อเดือน,2561
ลูกจ้างเอกชน,24193,สำนักงานสถิติแห่งชาติ,18,บาทต่อเดือน,2561
รวม,26568,สำนักงานสถิติแห่งชาติ,19,บาทต่อเดือน,2562
ลูกจ้างรัฐบาล,28362,สำนักงานสถิติแห่งชาติ,20,บาทต่อเดือน,2562
ลูกจ้างเอกชน,26252,สำนักงานสถิติแห่งชาติ,21,บาทต่อเดือน,2562
รวม,27147,สำนักงานสถิติแห่งชาติ,22,บาทต่อเดือน,2563
ลูกจ้างรัฐบาล,26774,สำนักงานสถิติแห่งชาติ,23,บาทต่อเดือน,2563
ลูกจ้างเอกชน,27220,สำนักงานสถิติแห่งชาติ,24,บาทต่อเดือน,2563
รวม,25679,สำนักงานสถิติแห่งชาติ,25,บาทต่อเดือน,2564
ลูกจ้างรัฐบาล,27271,สำนักงานสถิติแห่งชาติ,26,บาทต่อเดือน,2564
ลูกจ้างเอกชน,25390,สำนักงานสถิติแห่งชาติ,27,บาทต่อเดือน,2564
รวม,26436,สำนักงานสถิติแห่งชาติ,28,บาทต่อเดือน,2565
ลูกจ้างรัฐบาล,25481,สำนักงานสถิติแห่งชาติ,29,บาทต่อเดือน,2565
ลูกจ้างเอกชน,26626,สำนักงานสถิติแห่งชาติ,30,บาทต่อเดือน,2565
รวม,26901,สำนักงานสถิติแห่งชาติ,31,บาทต่อเดือน,2566
ลูกจ้างรัฐบาล,25651,สำนักงานสถิติแห่งชาติ,32,บาทต่อเดือน,2566
ลูกจ้างเอกชน,27099,สำนักงานสถิติแห่งชาติ,33,บาทต่อเดือน,2566
