เนื้อที่เพาะปลูก (ไร่),_id,อำเภอ,ที่
3919,1,เมืองตาก,1.0
2652,2,บ้านตาก,2.0
7772,3,สามเงา,3.0
33,4,แม่ระมาด,4.0
12,5,ท่าสองยาง,5.0
90,6,แม่สอด,6.0
91,7,พบพระ,7.0
20,8,อุ้มผาง,8.0
15401,9,วังเจ้า,9.0
29990,10,,รวม
,11,,
,12,,
