_id,ค่าเฉลี่ย,หน่วย,เดือน
1,4.35,บาท,ม.ค.
2,4.25,บาท,ก.พ.
3,4.25,บาท,มี.ค.
4,4.25,บาท,เม.ย.
5,4.25,บาท,พ.ค.
6,4.25,บาท,มิ.ย.
7,4.25,บาท,ก.ค.
8,4.25,บาท,ส.ค.
9,4.25,บาท,ก.ย.
10,4.25,บาท,ต.ค.
11,2.13,บาท,พ.ย.
12,3.38,บาท,ธ.ค.
