ถนน,คนงานชาย,ประเภท,เลขที่,ซอย,คนงานรวม,_id,ลำดับ,ประกอบกิจการ,ตำบล,อำเภอ,คนงานหญิง,ผู้ประกอบการ,หมู่
โพธิ์การ้อง,1,อาหารคน,9,5,4,1,1,ทำก๋วยเตี๋ยว,ท่าราบ,เมืองเพชรบุรี,3,นายเศกสรรค์ จันทรแสงอร่าม,
,3,อาหารคน,387,,3,2,2,ทำเส้นก๋วยเตี๋ยว,ท่ายาง,ท่ายาง,0,นายภูชิต กตเวทวารักษ์,1
ไชยสุรินทร์,7,อาหารคน,31,,7,3,3,ทำซีอิ้ว,คลองกระแชง,เมืองเพชรบุรี,0,นายนที สุวภิรมย์โชติ,
บ้านแหลม,12,อาหารคน,,,12,4,4,"ทำน้ำแข็งซองได้ปีละ60,000ซอง",บ้านแหลม,บ้านแหลม,0,บริษัท บ้านแหลมธารทิพย์ (เพชรบุรี) จำกัด,6
,5,อาหารคน,34,,8,5,5,ทำน้ำแข็งซอง กำลังการผลิตวันละ 65 ตัน และน้ำแข็งก้อนเล็ก กำลังการผลิตวันละ73 ตัน ,เขาใหญ่,ชะอำ,3,บริษัท โรงน้ำแข็ง เขาใหญ่ ชะอำ 2004 จำกัด,3
,7,อาหารคน,1,,12,6,6,แปรรูปผลิตภัณฑ์จากน้ำนมดิบ,เขากระปุก,ท่ายาง,5,สำนักพระราชวัง (โครงการส่วนพระองค์ สวนจิตรลดา),5
สายวัดเกาะแก้ว-บางตะปูน,10,อาหารคน,25,,15,7,7,แกะหอยทุกชนิด,บางตะบูน,บ้านแหลม,5,ฮามากุริ ฟู้ด,1
,27,อาหารคน,11,,33,8,8,ทำน้ำมันจากพืชให้บริสุทธิ์และน้ำมันสำหรับผสมทำไบโอดีเซล,ห้วยท่าช้าง,เขาย้อย,6,บริษัท ปาล์ม ออยล์ เอ็นเนอร์ยี่ อินดัสทรี จำกัด,2
,9,อาหารคน,9,,40,9,9,ผลิตและจำหน่ายขนมไทย,สำมะโรง,เมืองเพชรบุรี,31,บริษัท เพชรบุรี ไทยดีเสิร์ท จำกัด ,5
,0,อาหารคน,124/54,,10,10,10,ผลิต ขนมเปี๊ยะ ขนมลูกเต๋า ขนมพาย และขนมทุกชนิดที่ผลิตจากแป้ง,บ้านหม้อ,เมืองเพชรบุรี,10,นายอภิณัติ งามจิตต์เอื้อ,3
,10,อาหารคน,100,,20,11,11,ทำขนมจีน,นายาง,ชะอำ,10,นายวชรัต วงวาทิน,9
,16,อาหารคน,189,,28,12,12,ทำการผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น (ทำขนมขบเคี้ยว),สระพัง,เขาย้อย,12,บริษัท หัวหลง อินเตอร์เนชั่นแนล ฟู้ดส์ จำกัด,1
,12,อาหารคน,101,,24,13,13,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น (ทำขนมขบเคี้ยว),สระพัง,เขาย้อย,12,บริษัท สตาร์ซัน ฟู้ดส์(ไทยแลนด์) จำกัด,1
