จำนวน,_id,ปี,ประเภทรถ,หน่วย
73633,1,2561,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,คัน
2898,2,2561,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,คัน
65999,3,2561,รถยนต์บรรทุกส่วนบุคคล,คัน
2,4,2561,รถยนต์สามล้อส่วนบุคคล,คัน
,5,2561,รถยนต์รับจ้างระหว่างจังหวัด,คัน
,6,2561,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,คัน
,7,2561,รถยนต์สี่ล้อเล็กรับจ้าง,คัน
12,8,2561,รถยนต์รับจ้างสามล้อ,คัน
,9,2561,รถยนต์บริการธุรกิจ,คัน
,10,2561,รถยนต์บริการทัศนาจร,คัน
,11,2561,รถยนต์บริการให้เช่า,คัน
209783,12,2561,รถจักรยานยนต์,คัน
4986,13,2561,รถแทรกเตอร์,คัน
146,14,2561,รถบดถนน,คัน
127,15,2561,รถใช้งานเกษตรกรรม,คัน
87,16,2561,รถพ่วง,คัน
1466,17,2561,รถจักรยานยนต์สาธารณะ,คัน
79500,18,2562,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,คัน
2815,19,2562,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,คัน
66955,20,2562,รถยนต์บรรทุกส่วนบุคคล,คัน
2,21,2562,รถยนต์สามล้อส่วนบุคคล,คัน
,22,2562,รถยนต์รับจ้างระหว่างจังหวัด,คัน
,23,2562,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,คัน
,24,2562,รถยนต์สี่ล้อเล็กรับจ้าง,คัน
12,25,2562,รถยนต์รับจ้างสามล้อ,คัน
,26,2562,รถยนต์บริการธุรกิจ,คัน
,27,2562,รถยนต์บริการทัศนาจร,คัน
,28,2562,รถยนต์บริการให้เช่า,คัน
210681,29,2562,รถจักรยานยนต์,คัน
5156,30,2562,รถแทรกเตอร์,คัน
151,31,2562,รถบดถนน,คัน
128,32,2562,รถใช้งานเกษตรกรรม,คัน
160,33,2562,รถพ่วง,คัน
1368,34,2562,รถจักรยานยนต์สาธารณะ,คัน
83483,35,2563,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,คัน
2845,36,2563,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,คัน
67151,37,2563,รถยนต์บรรทุกส่วนบุคคล,คัน
2,38,2563,รถยนต์สามล้อส่วนบุคคล,คัน
,39,2563,รถยนต์รับจ้างระหว่างจังหวัด,คัน
,40,2563,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,คัน
,41,2563,รถยนต์สี่ล้อเล็กรับจ้าง,คัน
12,42,2563,รถยนต์รับจ้างสามล้อ,คัน
,43,2563,รถยนต์บริการธุรกิจ,คัน
,44,2563,รถยนต์บริการทัศนาจร,คัน
,45,2563,รถยนต์บริการให้เช่า,คัน
209774,46,2563,รถจักรยานยนต์,คัน
5285,47,2563,รถแทรกเตอร์,คัน
157,48,2563,รถบดถนน,คัน
127,49,2563,รถใช้งานเกษตรกรรม,คัน
198,50,2563,รถพ่วง,คัน
1275,51,2563,รถจักรยานยนต์สาธารณะ,คัน
86378,52,2564,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,คัน
2869,53,2564,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,คัน
67369,54,2564,รถยนต์บรรทุกส่วนบุคคล,คัน
2,55,2564,รถยนต์สามล้อส่วนบุคคล,คัน
,56,2564,รถยนต์รับจ้างระหว่างจังหวัด,คัน
,57,2564,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,คัน
,58,2564,รถยนต์สี่ล้อเล็กรับจ้าง,คัน
12,59,2564,รถยนต์รับจ้างสามล้อ,คัน
,60,2564,รถยนต์บริการธุรกิจ,คัน
,61,2564,รถยนต์บริการทัศนาจร,คัน
,62,2564,รถยนต์บริการให้เช่า,คัน
209817,63,2564,รถจักรยานยนต์,คัน
5547,64,2564,รถแทรกเตอร์,คัน
175,65,2564,รถบดถนน,คัน
127,66,2564,รถใช้งานเกษตรกรรม,คัน
202,67,2564,รถพ่วง,คัน
1167,68,2564,รถจักรยานยนต์สาธารณะ,คัน
89884,69,2565,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,คัน
2902,70,2565,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,คัน
67644,71,2565,รถยนต์บรรทุกส่วนบุคคล,คัน
3,72,2565,รถยนต์สามล้อส่วนบุคคล,คัน
,73,2565,รถยนต์รับจ้างระหว่างจังหวัด,คัน
,74,2565,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,คัน
,75,2565,รถยนต์สี่ล้อเล็กรับจ้าง,คัน
12,76,2565,รถยนต์รับจ้างสามล้อ,คัน
,77,2565,รถยนต์บริการธุรกิจ,คัน
,78,2565,รถยนต์บริการทัศนาจร,คัน
,79,2565,รถยนต์บริการให้เช่า,คัน
213362,80,2565,รถจักรยานยนต์,คัน
5634,81,2565,รถแทรกเตอร์,คัน
180,82,2565,รถบดถนน,คัน
127,83,2565,รถใช้งานเกษตรกรรม,คัน
193,84,2565,รถพ่วง,คัน
1052,85,2565,รถจักรยานยนต์สาธารณะ,คัน
