sex,_id,year,value,unit
รวม,1,2559,8.91,ปี
ชาย,2,2559,8.79,ปี
หญิง,3,2559,9.04,ปี
รวม,4,2560,9.03,ปี
ชาย,5,2560,8.88,ปี
หญิง,6,2560,9.21,ปี
รวม,7,2561,9.06,ปี
ชาย,8,2561,8.9,ปี
หญิง,9,2561,9.26,ปี
รวม,10,2562,9.16,ปี
ชาย,11,2562,8.96,ปี
หญิง,12,2562,9.4,ปี
รวม,13,2563,9.29,ปี
ชาย,14,2563,9.06,ปี
หญิง,15,2563,9.55,ปี
รวม,16,2564,9.35,ปี
ชาย,17,2564,9.13,ปี
หญิง,18,2564,9.61,ปี
รวม,19,2565,9.7,ปี
ชาย,20,2565,9.45,ปี
หญิง,21,2565,9.98,ปี
รวม,22,2566,9.71,ปี
ชาย,23,2566,9.47,ปี
หญิง,24,2566,9.98,ปี
รวม,25,2567,9.71,ปี
ชาย,26,2567,9.45,ปี
หญิง,27,2567,10.02,ปี
รวม,28,2568,9.86,ปี
ชาย,29,2568,9.59,ปี
หญิง,30,2568,10.17,ปี
