ค่าข้อมูล,การศึกษาที่สาเร็จ,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,จังหวัด,หน่วย
8580,สายอาชีวศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,157,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
5899,สายอาชีวศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,158,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
2681,สายอาชีวศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,159,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,160,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,161,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,162,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
60946,อุดมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,163,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
28301,อุดมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,164,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
32646,อุดมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,165,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
40698,สายวิชาการ,สำนักงานสถิติจังหวัดมหาสารคาม,166,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
18098,สายวิชาการ,สำนักงานสถิติจังหวัดมหาสารคาม,167,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
22600,สายวิชาการ,สำนักงานสถิติจังหวัดมหาสารคาม,168,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
13376,สายวิชาชีพ,สำนักงานสถิติจังหวัดมหาสารคาม,169,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
8944,สายวิชาชีพ,สำนักงานสถิติจังหวัดมหาสารคาม,170,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
4433,สายวิชาชีพ,สำนักงานสถิติจังหวัดมหาสารคาม,171,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
6872,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,172,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
1259,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,173,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
5613,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,174,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,อื่น ๆ,สำนักงานสถิติจังหวัดมหาสารคาม,175,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,อื่น ๆ,สำนักงานสถิติจังหวัดมหาสารคาม,176,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,อื่น ๆ,สำนักงานสถิติจังหวัดมหาสารคาม,177,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่ทราบ,สำนักงานสถิติจังหวัดมหาสารคาม,178,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่ทราบ,สำนักงานสถิติจังหวัดมหาสารคาม,179,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่ทราบ,สำนักงานสถิติจังหวัดมหาสารคาม,180,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
388539,รวมยอด,สำนักงานสถิติจังหวัดมหาสารคาม,181,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
207583,รวมยอด,สำนักงานสถิติจังหวัดมหาสารคาม,182,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
180957,รวมยอด,สำนักงานสถิติจังหวัดมหาสารคาม,183,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
84,ไม่มีการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,184,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่มีการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,185,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
84,ไม่มีการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,186,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
78026,ต่ำกว่าประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,187,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
40049,ต่ำกว่าประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,188,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
37977,ต่ำกว่าประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,189,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
117916,ประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,190,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
65297,ประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,191,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
52619,ประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,192,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
47052,มัธยมศึกษาตอนต้น,สำนักงานสถิติจังหวัดมหาสารคาม,193,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
28686,มัธยมศึกษาตอนต้น,สำนักงานสถิติจังหวัดมหาสารคาม,194,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
18365,มัธยมศึกษาตอนต้น,สำนักงานสถิติจังหวัดมหาสารคาม,195,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
80910,มัธยมศึกษาตอนปลาย,สำนักงานสถิติจังหวัดมหาสารคาม,196,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
47865,มัธยมศึกษาตอนปลาย,สำนักงานสถิติจังหวัดมหาสารคาม,197,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
33045,มัธยมศึกษาตอนปลาย,สำนักงานสถิติจังหวัดมหาสารคาม,198,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
72965,สายสามัญ,สำนักงานสถิติจังหวัดมหาสารคาม,199,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
42399,สายสามัญ,สำนักงานสถิติจังหวัดมหาสารคาม,200,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
30566,สายสามัญ,สำนักงานสถิติจังหวัดมหาสารคาม,201,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
7946,สายอาชีวศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,202,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
5466,สายอาชีวศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,203,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
2479,สายอาชีวศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,204,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,205,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,206,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,207,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
64550,อุดมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,208,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
25685,อุดมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,209,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
38865,อุดมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,210,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
38831,สายวิชาการ,สำนักงานสถิติจังหวัดมหาสารคาม,211,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
16200,สายวิชาการ,สำนักงานสถิติจังหวัดมหาสารคาม,212,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
22631,สายวิชาการ,สำนักงานสถิติจังหวัดมหาสารคาม,213,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
17483,สายวิชาชีพ,สำนักงานสถิติจังหวัดมหาสารคาม,214,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
8895,สายวิชาชีพ,สำนักงานสถิติจังหวัดมหาสารคาม,215,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
8588,สายวิชาชีพ,สำนักงานสถิติจังหวัดมหาสารคาม,216,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
8237,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,217,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
591,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,218,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
7646,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,219,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,อื่น ๆ,สำนักงานสถิติจังหวัดมหาสารคาม,220,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,อื่น ๆ,สำนักงานสถิติจังหวัดมหาสารคาม,221,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,อื่น ๆ,สำนักงานสถิติจังหวัดมหาสารคาม,222,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่ทราบ,สำนักงานสถิติจังหวัดมหาสารคาม,223,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่ทราบ,สำนักงานสถิติจังหวัดมหาสารคาม,224,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่ทราบ,สำนักงานสถิติจังหวัดมหาสารคาม,225,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
