ค่าข้อมูล,การศึกษาที่สาเร็จ,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,จังหวัด,หน่วย
42470,สายสามัญ,สำนักงานสถิติจังหวัดมหาสารคาม,20,2565,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
30758,สายสามัญ,สำนักงานสถิติจังหวัดมหาสารคาม,21,2565,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
6489,สายอาชีวศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,22,2565,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
4821,สายอาชีวศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,23,2565,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
1668,สายอาชีวศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,24,2565,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,25,2565,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,26,2565,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,27,2565,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
52899,อุดมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,28,2565,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
21824,อุดมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,29,2565,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
31075,อุดมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,30,2565,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
37020,สายวิชาการ,สำนักงานสถิติจังหวัดมหาสารคาม,31,2565,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
14828,สายวิชาการ,สำนักงานสถิติจังหวัดมหาสารคาม,32,2565,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
22192,สายวิชาการ,สำนักงานสถิติจังหวัดมหาสารคาม,33,2565,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
10029,สายวิชาชีพ,สำนักงานสถิติจังหวัดมหาสารคาม,34,2565,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
5972,สายวิชาชีพ,สำนักงานสถิติจังหวัดมหาสารคาม,35,2565,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
4057,สายวิชาชีพ,สำนักงานสถิติจังหวัดมหาสารคาม,36,2565,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
5850,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,37,2565,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
1024,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,38,2565,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
4826,สายวิชาการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,39,2565,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,อื่น ๆ,สำนักงานสถิติจังหวัดมหาสารคาม,40,2565,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,อื่น ๆ,สำนักงานสถิติจังหวัดมหาสารคาม,41,2565,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,อื่น ๆ,สำนักงานสถิติจังหวัดมหาสารคาม,42,2565,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่ทราบ,สำนักงานสถิติจังหวัดมหาสารคาม,43,2565,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่ทราบ,สำนักงานสถิติจังหวัดมหาสารคาม,44,2565,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่ทราบ,สำนักงานสถิติจังหวัดมหาสารคาม,45,2565,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
369629,รวมยอด,สำนักงานสถิติจังหวัดมหาสารคาม,46,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
208718,รวมยอด,สำนักงานสถิติจังหวัดมหาสารคาม,47,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
160911,รวมยอด,สำนักงานสถิติจังหวัดมหาสารคาม,48,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่มีการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,49,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่มีการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,50,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
,ไม่มีการศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,51,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
70550,ต่ำกว่าประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,52,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
38879,ต่ำกว่าประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,53,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
31670,ต่ำกว่าประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,54,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
106997,ประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,55,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
61450,ประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,56,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
45546,ประถมศึกษา,สำนักงานสถิติจังหวัดมหาสารคาม,57,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
48742,มัธยมศึกษาตอนต้น,สำนักงานสถิติจังหวัดมหาสารคาม,58,2565,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
34912,มัธยมศึกษาตอนต้น,สำนักงานสถิติจังหวัดมหาสารคาม,59,2565,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
13829,มัธยมศึกษาตอนต้น,สำนักงานสถิติจังหวัดมหาสารคาม,60,2565,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,คน
