ที่มา,_id,ชื่อโรงงาน,ประกอบกิจการ,ตำบล,อำเภอ,รายการข้อมูล,จังหวัด,ผู้ประกอบการ
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,11,ทรายกาญจน์รุ่งเรือง,ร่อนล้างหินกรวด ทราย แบบเปียก และแบบแห้งในอุตสาหกรรมก่อสร้างและกรองน้ำ,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท สินกาญจน์รุ่งเรือง จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,12,ปราโมทย์ 1,ดูดทราย ใบอนุญาตใช้เรือเลขที่ 5132-80046,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท สินกาญจน์รุ่งเรือง จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,13,บริษัท สินกาญจน์รุ่งเรือง จำกัด,ดูดทราย,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท สินกาญจน์รุ่งเรือง จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,14,บริษัท สินกาญจน์รุ่งเรือง จำกัด,ดูดทราย,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท สินกาญจน์รุ่งเรือง จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,15,ท่าทรายมิตรเจริญ,ดูดทราย,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,นางศิรินธร จำปาศักดิ์
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,16,ฆ่าสุกร,ฆ่าสุกร,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,นายสมหวัง ปุณยถิรวาณิชย์
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,17,บริษัท เอลเลฟเฟ่น เอมเพอเรอร์ จำกัด,ผลิตภัณฑ์แปรรูปจากเนื้อหมู เช่น หมูหวาน หมูอบ ,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท เอลเลฟเฟ่น เอมเพอเรอร์ จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,18,บริษัท เวอร์จิ้น เอฟ แอนด์ บี จำกัด,ผลิตขนมทองม้วน ผลิตชนิดผลิตภัณฑ์ผลไม้อบแห้งชุบช็อกโกแล็ต เกล็ดทองม้วนคลุกช็อกโกแล็ต และขนมทองม้วนชุบช็อกโกแล็ต,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท เวอร์จิ้น เอฟ แอนด์ บี จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,19,บริษัท เวอร์จิ้น เอฟ แอนด์ บี จำกัด,ผลิตขนมทองม้วน ผลไม้อบแห้ง ผลไม้เคลือบช๊อคโกแลต ,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท เวอร์จิ้น เอฟ แอนด์ บี จำกัด
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,20,เจือพาณิชย์,ทำน้ำแข็งก้อนเล็กได้วันละ 30 ตัน และน้ำดื่ม,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,นายธีรชัย ชุติมันต์
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,21,เจือพานิชย์,ทำน้ำแข็งซอง ได้วันละ 392 ซอง,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,นายธีระชัย ชุติมันต์
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,22,ส.การช่าง,ทำวงกบประตู หน้าต่าง พาเลท เฟอร์นิเจอร์,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,นายธรรมศักดิ์ เอื้อสุขนุกูล
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,23,บริษัท วาย แอนด์ แอล เอ็กซ์ปอร์ต อิมปอร์ต จำกัด,ผลิตแผ่นรองอุปกรณ์ไฟฟ้าจากไม้ เช่น สวิทซ์บอร์ด แผงไม้,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท วาย แอนด์ แอล เอ็กซ์ปอร์ต อิมปอร์ต จำกัด 
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,24,เรือนจำจังหวัดกาญจนบุรี,ทำเครื่องเรือน,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,เรือนจำจังหวัดกาญจนบุรี
สำนักงานอุตสาหกรรมจังหวัดกาญจนบุรี,25,บริษัท เจริญกิจ ซี.เค จำกัด,ผลิตแอสฟัลท์ติกคอนกรีต,ปากแพรก,เมืองกาญจนบุรี,โรงงานอุตสาหกรรม,กาญจนบุรี,บริษัท เจริญกิจ ซี.เค จำกัด 
