LPG ดีเซล ไฟฟ้า,ไม่ใช้เชื้อเพลิง,เบนซิน ไฟฟ้า,ดีเซล,LNG,LPG เบนซิน ไฟฟ้า,LPGและเบนซิน,CNG ดีเซล,CNG LPG,เบนซิน เอทานอล,LPG ดีเซล ไฟฟ้าปลั๊กอิน,เบนซิน ไฟฟ้าปลั๊กอิน,CNG LPG เบนซิน,CNG เบนซิน,ไม่ระบุ,CNG,ไฟฟ้า,ดีเซล ไฟฟ้าปลั๊กอิน,ประเภทรถ,ไฮโดรเจน,ดีเซล ไฟฟ้า,ก๊าซ LPG,_id,เบนซิน,LPGและดีเซล
0,0,359,993,0,0,8,0,0,0,0,9,0,4,0,0,180,1,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,0,0,0,1,867,0
0,0,0,34,0,0,5,0,0,0,0,0,0,6,0,0,0,0,รย.2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,0,0,0,2,3,0
0,0,0,831,0,0,2,0,0,0,0,0,0,0,0,0,0,0,รย.3 รถยนต์บรรทุกส่วนบุคคล,0,0,0,3,20,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,รย.4 รถยนต์สามล้อส่วนบุคคล,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,รย.5 รถยนต์รับจ้างระหว่างจังหวัด,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,รย.6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,รย.7 รถยนต์สี่ล้อเล็กรับจ้าง,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,รย.8 รถยนต์รับจ้างสามล้อ,0,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,รย.9 รถยนต์บริการธุรกิจ,0,0,0,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,รย.10 รถยนต์บริการทัศนาจร,0,0,0,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,รย.11 รถยนต์บริการให้เช่า,0,0,0,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1661,0,รย.12 รถจักรยานยนต์ส่วนบุคคล,0,0,0,12,18414,0
0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,รย.13 รถแทร็กเตอร์,0,0,0,13,0,0
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,รย.14 รถบดถนน,0,0,0,14,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,รย.15 รถใช้ในงานเกษตรกรรม,0,0,0,15,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,รย.16 รถพ่วง,0,0,0,16,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,รย.17  รถจักรยานยนต์สาธารณะ,0,0,0,17,12,0
0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,รถโดยสารประจำทาง,0,0,0,18,0,0
0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,รถโดยสารไม่ประจำทาง,0,0,0,19,0,0
0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,รถโดยสารส่วนบุคคล,0,0,0,20,0,0
0,47,0,171,0,0,0,0,0,0,0,0,0,0,0,4,0,0,รถบรรทุกไม่ประจำทาง,0,0,0,21,1,0
0,102,0,319,0,0,0,0,0,0,0,0,0,0,0,1,0,0,รถบรรทุกส่วนบุคคล,0,0,0,22,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,รถขนาดเล็ก,0,0,0,23,0,0
